"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","53","1"
"Afghanistan","Rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Afghanistan","Urban","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","48","1"
"Afghanistan","Ratio of urban to rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Ratio","0.9","1"
"Afghanistan","Poorest 20%","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","56","1"
"Afghanistan","Richest 20%","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","52","1"
"Afghanistan","Ratio of richest to poorest","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Ratio","0.9","1"
"Albania","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Albania","Rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","2"
"Albania","Urban","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","33","2"
"Albania","Ratio of urban to rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Ratio","0.9","2"
"Algeria","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","19","2"
"Algeria","Rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","19","2"
"Algeria","Urban","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","18","2"
"Algeria","Ratio of urban to rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Ratio","1.0","2"
"Algeria","Poorest 20%","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","15","2"
"Algeria","Richest 20%","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","19","2"
"Algeria","Ratio of richest to poorest","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Ratio","1.2","2"
"Armenia","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","33","1"
"Armenia","Rural","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","28","2"
