"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","61","1"
"Albania","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","70","1"
"Algeria","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","53","2"
"Armenia","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","57","1"
"Azerbaijan","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","36","2"
"Bangladesh","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","35","1"
"Belarus","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","90","2"
"Belize","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","71","2"
"Benin","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","31","1"
"Bhutan","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","74","1"
"Bolivia (Plurinational State of)","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","51","1"
"Bosnia and Herzegovina","Total <5 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","91","2"
