"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Benin","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","1","1"
"Burkina Faso","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","1"
"Cameroon","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","7","1"
"Central African Republic","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","11","1"
"Chad","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","38","1"
"Côte d'Ivoire","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","20","1"
"Djibouti","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","37","1"
"Egypt","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","54","1"
"Eritrea","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","49","1"
"Gambia","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","64","1"
"Ghana","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","2","1"
"Guinea","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","69","1"
"Guinea-Bissau","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","34","1"
"Kenya","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","1"
"Mali","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","73","1"
"Mauritania","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","53","1"
"Niger","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","3","1"
"Nigeria","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","22","1"
"Senegal","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","17","1"
"Sierra Leone","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","72","1"
"Somalia","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","65","1"
"Sub-Saharan Africa","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","21","2"
"Sudan","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","42","3"
"Togo","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","2","1"
"Uganda","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","9","1"
"United Republic of Tanzania","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","6","1"
"Western and Central Africa","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","22","2"
"Yemen","Total","2002-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys","Percent","41","4"

"fnSeqID","Footnote"
"1","Data refer to the most recent year available during the period specified in the column heading. "
"2","Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"3","Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
"4","Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages."
