"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","26","1"
"Albania","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","1"
"Armenia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","2","1"
"Azerbaijan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","4","2"
"Bangladesh","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","40","1"
"Belarus","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","2"
"Belize","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","19","2"
"Benin","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","23","2"
"Bhutan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","15","1"
"Bolivia (Plurinational State of)","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","20","1"
"Burkina Faso","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","28","1"
"Burundi","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","11","1"
"Cambodia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","7","1"
"Cameroon","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","33","2"
"Cape Verde","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","2"
"Central African Republic","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","45","1"
"Chad","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","47","1"
"Colombia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","20","1"
"Congo","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","29","2"
"Costa Rica","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","9","1"
"Côte d'Ivoire","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","29","2"
"Cuba","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","9","1"
"Democratic Republic of the Congo","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","25","1"
"Dominican Republic","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","25","1"
"East Asia and Pacific","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","8","3"
"Eastern and Southern Africa","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","26","4"
"Egypt","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","7","1"
"Eritrea","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","25","2"
"Ethiopia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","1"
"Gabon","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","35","2"
"Gambia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","23","1"
"Georgia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","6","1"
"Ghana","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","16","1"
"Guatemala","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","1"
"Guinea","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","44","2"
"Guinea-Bissau","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","31","2"
"Guyana","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","16","1"
"Haiti","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","15","2"
"Honduras","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","26","2"
"India","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","2"
"Indonesia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","10","1"
"Jamaica","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","16","1"
"Jordan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","4","1"
"Kazakhstan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","2"
"Kenya","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","26","1"
"Kiribati","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","9","1"
"Kyrgyzstan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","2","2"
"Lao People's Democratic Republic","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","55","2"
"Least Developed Countries/Territories","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","28","4"
"Lesotho","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","13","1"
"Liberia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","38","1"
"Madagascar","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","36","1"
"Malawi","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","35","1"
"Maldives","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","1","1"
"Mali","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","46","2"
"Marshall Islands","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","21","1"
"Mauritania","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","19","1"
"Mexico","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","39","1"
"Mongolia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","2","1"
"Morocco","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","8","2"
"Mozambique","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","42","2"
"Namibia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","17","1"
"Nauru","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","1"
"Nepal","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","19","1"
"Nicaragua","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","28","2"
"Niger","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","51","2"
"Nigeria","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","28","1"
"Pakistan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","10","1"
"Papua New Guinea","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","14","2"
"Peru","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","13","1"
"Philippines","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","7","1"
"Republic of Moldova","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","5","2"
"Rwanda","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","5","1"
"Samoa","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","5","1"
"Sao Tome and Principe","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","25","1"
"Senegal","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","1"
"Serbia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","1"
"Sierra Leone","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","38","1"
"Solomon Islands","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","15","1"
"South Africa","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","15","2"
"South Asia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","4"
"South Sudan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","28","5"
"Sri Lanka","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","4","1"
"Sub-Saharan Africa","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","26","4"
"Sudan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","14","5"
"Swaziland","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","22","1"
"Syrian Arab Republic","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","9","2"
"Tajikistan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","4","2"
"Thailand","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","8","2"
"The former Yugoslav Republic of Macedonia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","2","1"
"Timor-Leste","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","9","1"
"Togo","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","17","1"
"Turkey","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","8","2"
"Turkmenistan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","2","2"
"Tuvalu","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","1"
"Uganda","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","33","1"
"Ukraine","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","1"
"United Republic of Tanzania","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","28","1"
"Uzbekistan","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","2","2"
"Viet Nam","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","3","1"
"Western and Central Africa","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","27","4"
"World","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","20","3"
"Zambia","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","34","1"
"Zimbabwe","Total","2007-2011","UN_Demographic and Health Surveys (DHS)","Percent","21","1"

"fnSeqID","Footnote"
"1","Data refer to the most recent year available during the period specified in the column heading. "
"2","Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed."
"3","Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Excludes China."
"4","Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"5","Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
