"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","97","1"
"Algeria","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","79","2"
"Angola","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","70","1"
"Antigua and Barbuda","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Argentina","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Armenia","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Azerbaijan","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Bahrain","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","97","1"
"Bangladesh","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","85","1"
"Belarus","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Benin","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","55","1"
"Bhutan","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","59","2"
"Bolivia (Plurinational State of)","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","91","1"
"Bosnia and Herzegovina","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","97","1"
"Botswana","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Brazil","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Brunei Darussalam","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","97","1"
"Bulgaria","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","99","1"
"Burkina Faso","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","59","1"
"Burundi","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","85","1"
"Cambodia","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","80","1"
"Cameroon","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","80","1"
"Cape Verde","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","89","1"
"CEE/CIS","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","98","3"
"Central African Republic","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","62","1"
"Chad","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","54","1"
"Chile","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"China","Total 15+ yr","2007-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","94","1"
