"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Algeria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","104","1"
"Angola","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","73","1"
"Argentina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Austria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","103","1"
"Azerbaijan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","102","1"
"Bahamas","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","96","1"
"Bangladesh","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","114","1"
"Belgium","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","103","1"
"Belize","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","103","1"
"Bhutan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","105","1"
"Bosnia and Herzegovina","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","99","1"
"Botswana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","104","1"
"Brunei Darussalam","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Bulgaria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","99","1"
"Burkina Faso","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","109","1"
"Burundi","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","118","1"
"Cameroon","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","98","1"
"CEE/CIS","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","2"
"Central African Republic","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","90","1"
"Chad","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","96","1"
"Colombia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Costa Rica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","103","1"
"Côte d'Ivoire","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","96","1"
"Croatia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Cuba","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","102","1"
"Czech Republic","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Democratic Republic of the Congo","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","88","1"
"Denmark","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Djibouti","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Dominica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","105","1"
"Eastern and Southern Africa","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","103","2"
"El Salvador","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Equatorial Guinea","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","108","1"
"Eritrea","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","94","1"
"Estonia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Ethiopia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Fiji","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","95","1"
"Finland","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Gambia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","94","1"
"Georgia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","105","1"
"Germany","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","101","1"
"Ghana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","91","1"
"Guinea","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","76","1"
"Guyana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","96","1"
"Hungary","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Iran (Islamic Republic of)","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Israel","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","98","1"
"Italy","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Jamaica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","102","1"
"Japan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Kazakhstan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Kuwait","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","100","1"
"Kyrgyzstan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","99","1"
"Latin America and Caribbean","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Ratio","102","2"
