"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Ratio","101",""
"Albania","Total","2011","UN_United Nations Population Division","Ratio","108",""
"Algeria","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Angola","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Argentina","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Armenia","Total","2011","UN_United Nations Population Division","Ratio","109",""
"Australia","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Austria","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Ratio","109",""
"Bahamas","Total","2011","UN_United Nations Population Division","Ratio","109",""
"Bahrain","Total","2011","UN_United Nations Population Division","Ratio","102",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Ratio","102",""
"Barbados","Total","2011","UN_United Nations Population Division","Ratio","109",""
"Belarus","Total","2011","UN_United Nations Population Division","Ratio","118",""
"Belgium","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Belize","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Benin","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Bhutan","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Bolivia (Plurinational State of)","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Bosnia and Herzegovina","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Botswana","Total","2011","UN_United Nations Population Division","Ratio","96",""
"Brazil","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Brunei Darussalam","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Bulgaria","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Burkina Faso","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Burundi","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Cambodia","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Cameroon","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Canada","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Cape Verde","Total","2011","UN_United Nations Population Division","Ratio","111",""
"CEE/CIS","Total","2011","UN_United Nations Population Division","Ratio","113","1"
"Central African Republic","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Chad","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Chile","Total","2011","UN_United Nations Population Division","Ratio","108",""
"China","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Colombia","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Comoros","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Congo","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Costa Rica","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Côte d'Ivoire","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Croatia","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Cuba","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Cyprus","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Czech Republic","Total","2011","UN_United Nations Population Division","Ratio","108",""
"Democratic People's Republic of Korea","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Democratic Republic of the Congo","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Denmark","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Djibouti","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Dominican Republic","Total","2011","UN_United Nations Population Division","Ratio","108",""
"East Asia and Pacific","Total","2011","UN_United Nations Population Division","Ratio","105","1"
"Eastern and Southern Africa","Total","2011","UN_United Nations Population Division","Ratio","104","1"
"Ecuador","Total","2011","UN_United Nations Population Division","Ratio","108",""
"Egypt","Total","2011","UN_United Nations Population Division","Ratio","105",""
"El Salvador","Total","2011","UN_United Nations Population Division","Ratio","114",""
"Equatorial Guinea","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Eritrea","Total","2011","UN_United Nations Population Division","Ratio","108",""
"Estonia","Total","2011","UN_United Nations Population Division","Ratio","115",""
"Ethiopia","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Fiji","Total","2011","UN_United Nations Population Division","Ratio","108",""
"Finland","Total","2011","UN_United Nations Population Division","Ratio","108",""
"France","Total","2011","UN_United Nations Population Division","Ratio","108",""
"Gabon","Total","2011","UN_United Nations Population Division","Ratio","103",""
"Gambia","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Georgia","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Germany","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Ghana","Total","2011","UN_United Nations Population Division","Ratio","103",""
"Greece","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Grenada","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Guatemala","Total","2011","UN_United Nations Population Division","Ratio","111",""
"Guinea","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Guinea-Bissau","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Guyana","Total","2011","UN_United Nations Population Division","Ratio","109",""
"Haiti","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Honduras","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Hungary","Total","2011","UN_United Nations Population Division","Ratio","111",""
"Iceland","Total","2011","UN_United Nations Population Division","Ratio","104",""
"India","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Indonesia","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Iran (Islamic Republic of)","Total","2011","UN_United Nations Population Division","Ratio","105",""
"Iraq","Total","2011","UN_United Nations Population Division","Ratio","110",""
"Ireland","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Israel","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Italy","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Jamaica","Total","2011","UN_United Nations Population Division","Ratio","107",""
"Japan","Total","2011","UN_United Nations Population Division","Ratio","109",""
"Jordan","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Kazakhstan","Total","2011","UN_United Nations Population Division","Ratio","118",""
"Kenya","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Kuwait","Total","2011","UN_United Nations Population Division","Ratio","102",""
"Kyrgyzstan","Total","2011","UN_United Nations Population Division","Ratio","113",""
"Lao People's Democratic Republic","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Latin America and Caribbean","Total","2011","UN_United Nations Population Division","Ratio","109","1"
"Latvia","Total","2011","UN_United Nations Population Division","Ratio","115",""
"Least Developed Countries/Territories","Total","2011","UN_United Nations Population Division","Ratio","104","1"
"Lebanon","Total","2011","UN_United Nations Population Division","Ratio","106",""
"Lesotho","Total","2011","UN_United Nations Population Division","Ratio","97",""
"Liberia","Total","2011","UN_United Nations Population Division","Ratio","104",""
"Libya","Total","2011","UN_United Nations Population Division","Ratio","107",""
