"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Azerbaijan","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78",""
"Bahrain","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Bangladesh","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","30",""
"Benin","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","17",""
"Bhutan","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","4",""
"Botswana","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Burkina Faso","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","32",""
"Burundi","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","3",""
"Cambodia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","23",""
"Cameroon","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","9",""
"Cape Verde","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Chad","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","11",""
"China","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Congo","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","9",""
"Côte d'Ivoire","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","30",""
"Democratic Republic of the Congo","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","0",""
"Djibouti","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","0",""
"East Asia and Pacific","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","95","1"
"Eastern and Southern Africa","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","39","1"
"Egypt","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Equatorial Guinea","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Eritrea","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","3",""
"Estonia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Finland","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Gabon","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Gambia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Georgia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","78",""
"Guinea","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","24",""
"Hungary","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"India","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Indonesia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Iran (Islamic Republic of)","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Jordan","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Kenya","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","57",""
"Lao People's Democratic Republic","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","6",""
"Latvia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Least Developed Countries/Territories","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","19","1"
"Lesotho","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","42",""
"Liberia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","91",""
"Lithuania","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Madagascar","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","21",""
"Maldives","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Marshall Islands","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","2",""
"Mauritania","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","21",""
"Mauritius","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Middle East and North Africa","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","75","1"
"Mongolia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","69",""
"Montenegro","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Mozambique","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","20",""
"Nauru","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Nepal","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","20",""
"Netherlands","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"New Zealand","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Niger","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","14",""
"Niue","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","5",""
"Norway","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Palau","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","0",""
"Papua New Guinea","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","45",""
"Portugal","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Romania","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Rwanda","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","11",""
"Samoa","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Sao Tome and Principe","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","15",""
"Senegal","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","32",""
"Seychelles","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Sierra Leone","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","2",""
"Slovakia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Solomon Islands","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","47",""
"Somalia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","0",""
"South Africa","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"South Asia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","90","1"
"South Sudan","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","0","2"
"Sri Lanka","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","39",""
"Sub-Saharan Africa","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","27","1"
"Sudan","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","2","2"
"Switzerland","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","0",""
"Tajikistan","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","18",""
"Thailand","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Timor-Leste","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Togo","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","25",""
"Tonga","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","100",""
"Uganda","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","19",""
"United Republic of Tanzania","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","23",""
"Vanuatu","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","16",""
"Viet Nam","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","30",""
"Western and Central Africa","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","17","1"
"World","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","84","1"
"Yemen","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","13",""
"Zambia","Total","2011","UN_UNICEF and World Health Organization (WHO)","Percent","19",""

"fnSeqID","Footnote"
"1","For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"2","Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
