"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","29","1"
"Albania","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","78","2"
"Algeria","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","39","3"
"Angola","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","77","1"
"Armenia","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","48","4"
"Azerbaijan","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","83","1"
"Bangladesh","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","71","2"
"Belarus","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","38","1"
"Benin","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","76","4"
"Bhutan","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","67","2"
"Bolivia (Plurinational State of)","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","83","2"
"Bosnia and Herzegovina","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","29","1"
"Botswana","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","46","4"
"Brazil","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","70","1"
"Burkina Faso","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","61","2"
"Burundi","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","70","4"
"Cambodia","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","82","4"
"Cameroon","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","63","3"
"Cape Verde","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","80","1"
"Central African Republic","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","56","3"
"Chad","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","46","2"
"China","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","43","4"
"Colombia","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","86","2"
"Comoros","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","34","1"
"Congo","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","78","1"
"Costa Rica","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","92","2"
"Côte d'Ivoire","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","51","1"
"Cuba","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","77","2"
"Democratic People's Republic of Korea","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","31","1"
"Democratic Republic of the Congo","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","52","2"
"Djibouti","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","35","1"
"Dominican Republic","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","88","2"
"East Asia and Pacific","Total 6-8 mo","2007-2011","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF","Percent","57","5"
