"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_United Nations Population Division","Births per woman","6.2",""
"Afghanistan","Total","1990","UN_United Nations Population Division","Births per woman","8.0",""
"Afghanistan","Total","1970","UN_United Nations Population Division","Births per woman","7.7",""
"Albania","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Albania","Total","1990","UN_United Nations Population Division","Births per woman","3.2",""
"Albania","Total","1970","UN_United Nations Population Division","Births per woman","4.9",""
"Algeria","Total","2011","UN_United Nations Population Division","Births per woman","2.2",""
"Algeria","Total","1990","UN_United Nations Population Division","Births per woman","4.7",""
"Algeria","Total","1970","UN_United Nations Population Division","Births per woman","7.4",""
"Angola","Total","2011","UN_United Nations Population Division","Births per woman","5.3",""
"Angola","Total","1990","UN_United Nations Population Division","Births per woman","7.2",""
"Angola","Total","1970","UN_United Nations Population Division","Births per woman","7.3",""
"Argentina","Total","2011","UN_United Nations Population Division","Births per woman","2.2",""
"Argentina","Total","1990","UN_United Nations Population Division","Births per woman","3.0",""
"Argentina","Total","1970","UN_United Nations Population Division","Births per woman","3.1",""
"Armenia","Total","2011","UN_United Nations Population Division","Births per woman","1.7",""
"Armenia","Total","1990","UN_United Nations Population Division","Births per woman","2.5",""
"Armenia","Total","1970","UN_United Nations Population Division","Births per woman","3.2",""
"Australia","Total","2011","UN_United Nations Population Division","Births per woman","2.0",""
"Australia","Total","1990","UN_United Nations Population Division","Births per woman","1.9",""
"Australia","Total","1970","UN_United Nations Population Division","Births per woman","2.7",""
"Austria","Total","2011","UN_United Nations Population Division","Births per woman","1.4",""
"Austria","Total","1990","UN_United Nations Population Division","Births per woman","1.5",""
"Austria","Total","1970","UN_United Nations Population Division","Births per woman","2.3",""
"Azerbaijan","Total","2011","UN_United Nations Population Division","Births per woman","2.2",""
"Azerbaijan","Total","1990","UN_United Nations Population Division","Births per woman","3.0",""
"Azerbaijan","Total","1970","UN_United Nations Population Division","Births per woman","4.6",""
"Bahamas","Total","2011","UN_United Nations Population Division","Births per woman","1.9",""
"Bahamas","Total","1990","UN_United Nations Population Division","Births per woman","2.6",""
"Bahamas","Total","1970","UN_United Nations Population Division","Births per woman","3.5",""
"Bahrain","Total","2011","UN_United Nations Population Division","Births per woman","2.5",""
"Bahrain","Total","1990","UN_United Nations Population Division","Births per woman","3.7",""
"Bahrain","Total","1970","UN_United Nations Population Division","Births per woman","6.5",""
"Bangladesh","Total","2011","UN_United Nations Population Division","Births per woman","2.2",""
"Bangladesh","Total","1990","UN_United Nations Population Division","Births per woman","4.5",""
"Bangladesh","Total","1970","UN_United Nations Population Division","Births per woman","6.9",""
"Barbados","Total","2011","UN_United Nations Population Division","Births per woman","1.6",""
"Barbados","Total","1990","UN_United Nations Population Division","Births per woman","1.7",""
"Barbados","Total","1970","UN_United Nations Population Division","Births per woman","3.1",""
"Belarus","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Belarus","Total","1990","UN_United Nations Population Division","Births per woman","1.9",""
"Belarus","Total","1970","UN_United Nations Population Division","Births per woman","2.3",""
"Belgium","Total","2011","UN_United Nations Population Division","Births per woman","1.8",""
"Belgium","Total","1990","UN_United Nations Population Division","Births per woman","1.6",""
"Belgium","Total","1970","UN_United Nations Population Division","Births per woman","2.2",""
"Belize","Total","2011","UN_United Nations Population Division","Births per woman","2.7",""
"Belize","Total","1990","UN_United Nations Population Division","Births per woman","4.5",""
"Belize","Total","1970","UN_United Nations Population Division","Births per woman","6.3",""
"Benin","Total","2011","UN_United Nations Population Division","Births per woman","5.2",""
"Benin","Total","1990","UN_United Nations Population Division","Births per woman","6.7",""
"Benin","Total","1970","UN_United Nations Population Division","Births per woman","6.7",""
"Bhutan","Total","2011","UN_United Nations Population Division","Births per woman","2.3",""
"Bhutan","Total","1990","UN_United Nations Population Division","Births per woman","5.8",""
"Bhutan","Total","1970","UN_United Nations Population Division","Births per woman","6.7",""
"Bolivia (Plurinational State of)","Total","2011","UN_United Nations Population Division","Births per woman","3.3",""
"Bolivia (Plurinational State of)","Total","1990","UN_United Nations Population Division","Births per woman","4.9",""
"Bolivia (Plurinational State of)","Total","1970","UN_United Nations Population Division","Births per woman","6.6",""
"Bosnia and Herzegovina","Total","2011","UN_United Nations Population Division","Births per woman","1.1",""
"Bosnia and Herzegovina","Total","1990","UN_United Nations Population Division","Births per woman","1.7",""
"Bosnia and Herzegovina","Total","1970","UN_United Nations Population Division","Births per woman","2.9",""
"Botswana","Total","2011","UN_United Nations Population Division","Births per woman","2.7",""
"Botswana","Total","1990","UN_United Nations Population Division","Births per woman","4.7",""
"Botswana","Total","1970","UN_United Nations Population Division","Births per woman","6.6",""
"Brazil","Total","2011","UN_United Nations Population Division","Births per woman","1.8",""
"Brazil","Total","1990","UN_United Nations Population Division","Births per woman","2.8",""
"Brazil","Total","1970","UN_United Nations Population Division","Births per woman","5.0",""
"Brunei Darussalam","Total","2011","UN_United Nations Population Division","Births per woman","2.0",""
"Brunei Darussalam","Total","1990","UN_United Nations Population Division","Births per woman","3.5",""
"Brunei Darussalam","Total","1970","UN_United Nations Population Division","Births per woman","5.8",""
"Bulgaria","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Bulgaria","Total","1990","UN_United Nations Population Division","Births per woman","1.7",""
"Bulgaria","Total","1970","UN_United Nations Population Division","Births per woman","2.2",""
"Burkina Faso","Total","2011","UN_United Nations Population Division","Births per woman","5.8",""
"Burkina Faso","Total","1990","UN_United Nations Population Division","Births per woman","6.8",""
"Burkina Faso","Total","1970","UN_United Nations Population Division","Births per woman","6.6",""
"Burundi","Total","2011","UN_United Nations Population Division","Births per woman","4.2",""
"Burundi","Total","1990","UN_United Nations Population Division","Births per woman","6.5",""
"Burundi","Total","1970","UN_United Nations Population Division","Births per woman","6.8",""
"Cambodia","Total","2011","UN_United Nations Population Division","Births per woman","2.5",""
"Cambodia","Total","1990","UN_United Nations Population Division","Births per woman","5.7",""
"Cambodia","Total","1970","UN_United Nations Population Division","Births per woman","5.9",""
"Cameroon","Total","2011","UN_United Nations Population Division","Births per woman","4.4",""
"Cameroon","Total","1990","UN_United Nations Population Division","Births per woman","5.9",""
"Cameroon","Total","1970","UN_United Nations Population Division","Births per woman","6.2",""
"Canada","Total","2011","UN_United Nations Population Division","Births per woman","1.7",""
"Canada","Total","1990","UN_United Nations Population Division","Births per woman","1.7",""
"Canada","Total","1970","UN_United Nations Population Division","Births per woman","2.2",""
"Cape Verde","Total","2011","UN_United Nations Population Division","Births per woman","2.3",""
"Cape Verde","Total","1990","UN_United Nations Population Division","Births per woman","5.3",""
"Cape Verde","Total","1970","UN_United Nations Population Division","Births per woman","6.9",""
"CEE/CIS","Total","2011","UN_United Nations Population Division","Births per woman","1.8","1"
"CEE/CIS","Total","1990","UN_United Nations Population Division","Births per woman","2.3","1"
"CEE/CIS","Total","1970","UN_United Nations Population Division","Births per woman","2.8","1"
"Central African Republic","Total","2011","UN_United Nations Population Division","Births per woman","4.5",""
"Central African Republic","Total","1990","UN_United Nations Population Division","Births per woman","5.8",""
"Central African Republic","Total","1970","UN_United Nations Population Division","Births per woman","6.0",""
"Chad","Total","2011","UN_United Nations Population Division","Births per woman","5.9",""
"Chad","Total","1990","UN_United Nations Population Division","Births per woman","6.7",""
"Chad","Total","1970","UN_United Nations Population Division","Births per woman","6.5",""
"Chile","Total","2011","UN_United Nations Population Division","Births per woman","1.8",""
"Chile","Total","1990","UN_United Nations Population Division","Births per woman","2.6",""
"Chile","Total","1970","UN_United Nations Population Division","Births per woman","4.0",""
"China","Total","2011","UN_United Nations Population Division","Births per woman","1.6",""
"China","Total","1990","UN_United Nations Population Division","Births per woman","2.3",""
"China","Total","1970","UN_United Nations Population Division","Births per woman","5.5",""
"Colombia","Total","2011","UN_United Nations Population Division","Births per woman","2.3",""
"Colombia","Total","1990","UN_United Nations Population Division","Births per woman","3.1",""
"Colombia","Total","1970","UN_United Nations Population Division","Births per woman","5.6",""
"Comoros","Total","2011","UN_United Nations Population Division","Births per woman","4.9",""
"Comoros","Total","1990","UN_United Nations Population Division","Births per woman","5.6",""
"Comoros","Total","1970","UN_United Nations Population Division","Births per woman","7.1",""
"Congo","Total","2011","UN_United Nations Population Division","Births per woman","4.5",""
"Congo","Total","1990","UN_United Nations Population Division","Births per woman","5.4",""
"Congo","Total","1970","UN_United Nations Population Division","Births per woman","6.3",""
"Costa Rica","Total","2011","UN_United Nations Population Division","Births per woman","1.8",""
"Costa Rica","Total","1990","UN_United Nations Population Division","Births per woman","3.2",""
"Costa Rica","Total","1970","UN_United Nations Population Division","Births per woman","5.0",""
"Côte d'Ivoire","Total","2011","UN_United Nations Population Division","Births per woman","4.3",""
"Côte d'Ivoire","Total","1990","UN_United Nations Population Division","Births per woman","6.3",""
"Côte d'Ivoire","Total","1970","UN_United Nations Population Division","Births per woman","7.9",""
"Croatia","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Croatia","Total","1990","UN_United Nations Population Division","Births per woman","1.7",""
"Croatia","Total","1970","UN_United Nations Population Division","Births per woman","2.0",""
"Cuba","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Cuba","Total","1990","UN_United Nations Population Division","Births per woman","1.8",""
"Cuba","Total","1970","UN_United Nations Population Division","Births per woman","4.0",""
"Cyprus","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Cyprus","Total","1990","UN_United Nations Population Division","Births per woman","2.4",""
"Cyprus","Total","1970","UN_United Nations Population Division","Births per woman","2.6",""
"Czech Republic","Total","2011","UN_United Nations Population Division","Births per woman","1.5",""
"Czech Republic","Total","1990","UN_United Nations Population Division","Births per woman","1.8",""
"Czech Republic","Total","1970","UN_United Nations Population Division","Births per woman","2.0",""
"Democratic People's Republic of Korea","Total","2011","UN_United Nations Population Division","Births per woman","2.0",""
"Democratic People's Republic of Korea","Total","1990","UN_United Nations Population Division","Births per woman","2.4",""
"Democratic People's Republic of Korea","Total","1970","UN_United Nations Population Division","Births per woman","4.0",""
"Democratic Republic of the Congo","Total","2011","UN_United Nations Population Division","Births per woman","5.7",""
"Democratic Republic of the Congo","Total","1990","UN_United Nations Population Division","Births per woman","7.1",""
"Democratic Republic of the Congo","Total","1970","UN_United Nations Population Division","Births per woman","6.2",""
"Denmark","Total","2011","UN_United Nations Population Division","Births per woman","1.9",""
"Denmark","Total","1990","UN_United Nations Population Division","Births per woman","1.7",""
"Denmark","Total","1970","UN_United Nations Population Division","Births per woman","2.1",""
"Djibouti","Total","2011","UN_United Nations Population Division","Births per woman","3.7",""
"Djibouti","Total","1990","UN_United Nations Population Division","Births per woman","6.2",""
"Djibouti","Total","1970","UN_United Nations Population Division","Births per woman","7.4",""
"Dominican Republic","Total","2011","UN_United Nations Population Division","Births per woman","2.5",""
"Dominican Republic","Total","1990","UN_United Nations Population Division","Births per woman","3.5",""
"Dominican Republic","Total","1970","UN_United Nations Population Division","Births per woman","6.2",""
"East Asia and Pacific","Total","2011","UN_United Nations Population Division","Births per woman","1.8","1"
"East Asia and Pacific","Total","1990","UN_United Nations Population Division","Births per woman","2.6","1"
"East Asia and Pacific","Total","1970","UN_United Nations Population Division","Births per woman","5.6","1"
"Eastern and Southern Africa","Total","2011","UN_United Nations Population Division","Births per woman","4.5","1"
"Eastern and Southern Africa","Total","1990","UN_United Nations Population Division","Births per woman","6.0","1"
"Eastern and Southern Africa","Total","1970","UN_United Nations Population Division","Births per woman","6.8","1"
"Ecuador","Total","2011","UN_United Nations Population Division","Births per woman","2.4",""
"Ecuador","Total","1990","UN_United Nations Population Division","Births per woman","3.7",""
"Ecuador","Total","1970","UN_United Nations Population Division","Births per woman","6.3",""
"Egypt","Total","2011","UN_United Nations Population Division","Births per woman","2.7",""
"Egypt","Total","1990","UN_United Nations Population Division","Births per woman","4.4",""
"Egypt","Total","1970","UN_United Nations Population Division","Births per woman","5.9",""
"El Salvador","Total","2011","UN_United Nations Population Division","Births per woman","2.2",""
"El Salvador","Total","1990","UN_United Nations Population Division","Births per woman","4.0",""
"El Salvador","Total","1970","UN_United Nations Population Division","Births per woman","6.2",""
"Equatorial Guinea","Total","2011","UN_United Nations Population Division","Births per woman","5.1",""
"Equatorial Guinea","Total","1990","UN_United Nations Population Division","Births per woman","5.9",""
"Equatorial Guinea","Total","1970","UN_United Nations Population Division","Births per woman","5.7",""
"Eritrea","Total","2011","UN_United Nations Population Division","Births per woman","4.4",""
