"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Rank","23",""
"Afghanistan","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","101",""
"Afghanistan","Total","2000","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","136",""
"Afghanistan","Total","1990","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","192",""
"Afghanistan","Total","1970","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","309",""
"Afghanistan","Female","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","99",""
"Afghanistan","Male","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","103",""
"Albania","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Rank","122",""
"Albania","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","14",""
"Albania","Total","2000","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","26",""
"Albania","Total","1990","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","41",""
"Albania","Female","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","14",""
"Albania","Male","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","15",""
"Algeria","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Rank","74",""
"Algeria","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","30",""
"Algeria","Total","2000","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","46",""
"Algeria","Total","1990","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","66",""
"Algeria","Total","1970","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","199",""
"Algeria","Female","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","28",""
"Algeria","Male","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","32",""
"Andorra","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Rank","184",""
"Andorra","Total","2011","UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)","Deaths per 1000 live births","3",""
