,Ratio of life expectancy at birth of females to males,Total fertility rate (TFR)_1970.0,Total fertility rate (TFR)_1990.0,Total fertility rate (TFR)_2011.0,Neonatal mortality rate,Proportion of new borns protected against tetanus,Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B,Debt service as a percentage of exports of goods and services,Average annual rate of reduction of under-five mortality rate_1970-1990,Average annual rate of reduction of under-five mortality rate_1990-2000,Average annual rate of reduction of under-five mortality rate_1990-2011,Average annual rate of reduction of under-five mortality rate_2000-2011,Average annual rate of reduction of total fertility rate_1970-1990,Average annual rate of reduction of total fertility rate_1990-2011,Proportion of population with access to improved sanitation_Percent_Rural,Proportion of population with access to improved sanitation_Percent_Total,Proportion of population with access to improved sanitation_Percent_Urban,Proportion of population with access to improved sanitation_Ratio_Ratio of urban to rural,Proportion of women 20-24 year-olds who gave birth before age 18,Proportion of pupils starting grade 1 who reach grade 5 (survey data),Population size_Percent_Total 10-19 yr,Population size_Thousand_Total,Population size_Thousand_Total 10-19 yr,Population size_Thousand_Total <18 yr,Population size_Thousand_Total <5 yr,Proportion of 1 year-old children immunised against TB (BCG),Annual number of under-five deaths,Prevalence of underweight (severe) - WHO,Prevalence of wasting (moderate and severe) - WHO,Institutional deliveries,Antenatal care coverage for at least four visits,Life expectancy at birth_1970.0,Life expectancy at birth_1990.0,Life expectancy at birth_2011.0,Proportion of 1 year-old children fully immunised against Hepatitis B,People living with HIVAIDS_Female 15+ yr,People living with HIVAIDS_Total,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Rural Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Urban Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of richest to poorest,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of urban to rural,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Male 15-24 yr Ratio of richest to poorest,Contraceptive prevalence rate (CPR),Adult HIVAIDS prevalence rate_Female 15-24 yr,Adult HIVAIDS prevalence rate_Male 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-49 yr,Timely complementary feeding rate,Central government expenditure allocated to health',Child discipline_Total,Adolescent birth rate,Proportion of under-five children with suspected pneumonia taken to health provider,Proportion of 1 year-old children fully immunised against polio (OPV),Early initiation of breastfeeding (within one hour of birth),Under-five mortality rate (U5MR)_Deaths per 1000 live births_1970.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_1990.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2000.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Female,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Male,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Total,Under-five mortality rate (U5MR)_Rank_2011.0_Total,Exclusive breastfeeding rate,Continued breastfeeding rate,Maternal mortality ratio reported,Maternal mortality ratio (MMR),Crude death rate (CDR)_1970.0,Crude death rate (CDR)_1990.0,Crude death rate (CDR)_2011.0,Proportion of households consuming iodized salt,Proportion of 1 year-old children immunised against DPT1,Crude birth rate (CBR)_1970.0,Crude birth rate (CBR)_1990.0,Crude birth rate (CBR)_2011.0,Annual number of births (Births),Proportion of births attended by skilled health personnel_Percent_Poorest 20%,Proportion of births attended by skilled health personnel_Percent_Richest 20%,Proportion of births attended by skilled health personnel_Percent_Rural,Proportion of births attended by skilled health personnel_Percent_Total,Proportion of births attended by skilled health personnel_Percent_Urban,Proportion of births attended by skilled health personnel_Ratio_Ratio of richest to poorest,Proportion of births attended by skilled health personnel_Ratio_Ratio of urban to rural,Infant mortality rate (IMR)_1990.0,Infant mortality rate (IMR)_2011.0,Caesarean section,Prevalence of overweight (moderate and severe) - WHO,Proportion of population with sustainable access to an improved water source_Rural,Proportion of population with sustainable access to an improved water source_Total,Proportion of population with sustainable access to an improved water source_Urban,Proportion of 1 year-old children immunised against measles,Proportion of under-five children with suspected pneumonia receiving antibiotics,Antenatal care coverage (ANC),Prevalence of underweight (moderate and severe) - WHO_Percent_Poorest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Richest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Rural,Prevalence of underweight (moderate and severe) - WHO_Percent_Total <5 yr,Prevalence of underweight (moderate and severe) - WHO_Percent_Urban,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of poorest to richest,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of rural to urban,Routine EPI vaccines financed by government,Prevalence of stunting (moderate and severe) - WHO,Reduction in under-five mortality rate_1990.0,Reduction in under-five mortality rate_2000.0,Birth registration_Poorest 20%,Birth registration_Ratio of richest to poorest,Birth registration_Ratio of urban to rural,Birth registration_Richest 20%,Birth registration_Rural,Birth registration_Total,Birth registration_Urban,Proportion of infants with low birth weight,Lifetime risk of maternal death,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Total <5 yr,Condom use at last high-risk sex_Female 15-24 yr,Condom use at last high-risk sex_Male 15-24 yr,Proportion of 1 year-old children fully immunised against DPT,Sub-region Name,Region Name
Afghanistan,101,7.7,8,6.2,36,60,66,8,2.4,3.4,3.1,2.7,-0.2,1.2,30,37,60,2,26,90,25,32358,8015,17219,5686,68,128,12,9,33,15,35,42,49,66,1,6,16,18.5714285714286,7.2,37.8,34,30.5,20,56.3333333333333,19.8,36.2,6.82,1.98,3.2,21,0.125,0.15,0.125,0.22,29,2,74,90,61,66,49.8888888888889,309,192,136,99,103,101,23,51.1111111111111,54,330,460,29,22,16,28,86,52,52,43,1408,16,76,31,39,74,4.9,2.4,129,73,4,5,42,50,78,62,64,48,38.7142857142857,14.1428571428571,32.1428571428571,33,22.5714285714286,2.74285714285714,1.48571428571429,60.375,59,47,26,31,1.9,1.8,58,33,37,60,20.4444444444444,32,53,17,36.6666666666667,66,Southern Asia,Asia
Albania,108,4.9,3.2,1.5,7,87,99,9,5.68,4.5,5,5.5,2.1,3.6,93,94,95,1,3,100,17,3216,551,877,203,99,1,2,9,97,67,67,72,77,99,25.25,60.6666666666667,36,36,20,60,21,22,10,38,26,51,3,2,3.8,69,0.125,0.16,0.125,0.285714285714286,78,3,75,11,70,99,43,38.6,41,26,14,15,14,122,39,31,21,27,8,6,6,76,99,33,25,13,41,98,100,99,99,100,1,1,36,13,19,23,94,95,96,99,60,97,8,4,6,5,5,2.2,1.2,100,19,65,46,98,1,1,99,98,99,99,7,2200,54,50.5,55,99,Southern Europe,Europe
Algeria,104,7.4,4.7,2.2,17,90,95,1,5.5,3.6,3.8,3.9,2.3,3.6,88,95,98,1.1,9.66666666666667,93,18,35980,6425,11641,3464,99,21,1,4,95,60.3333333333333,53,67,73,95,13,28.25,12,13,5,20,16,14.5,9,28,10,16,3.7,1.7,3.1,61,0.15,0.15,0.15,0.3,39,5,88,4,53,95,50,199,66,46,28,32,30,74,7,22,93,97,16,6,5,61,99,49,32,20,712,88,98,92,95,98,1.1,1.1,54,26,18,13,79,83,85,95,59,89,5,2,4,3,3,2.4,1.4,51,15,55,35,62.5,2.4,1,99,99,99,99,6,430,19,36.551724137931,51.1851851851852,95,Northern Africa,Africa
Andorra,107.333333333333,2.73333333333333,1.81666666666667,1.43333333333333,1,87,99,15.25,5.68,5.1,4.4,3.8,1.99166666666667,0.975,100,100,100,1,2.66666666666667,99,11.5,86,1293,16,4,96.625,0,0.8,4.6,99.1428571428571,80.75,68.8333333333333,73.5833333333333,78,99,25.25,60.6666666666667,39.25,40.25,25.75,55.75,32,35,19,52,31.75,48.25,2.875,1.6,3.1,56.75,0.125,0.16,0.125,0.285714285714286,53.4,5,62.4,5,86.6,99,30.8,38.6,8,5,3,4,3,184,22.6,16.4,9.85714285714286,10.25,8.5,8.75,9.66666666666667,67,99,19.25,13.5833333333333,10.25,129.166666666667,98.4,99.6,99,99.625,99.6,1,1,7,3,26.4285714285714,19.4,100,100,100,99,69.2,98.8888888888889,3.8,2,2.2,2.2,2.4,2.05,1.12,100,9.6,60,34,97.4,1,1,99.6,99.2,99.2,99,5.75,9841.66666666667,40.6,50.5,59,99,Southern Europe,Europe
Angola,106,7.3,7.2,5.3,43,70,86,4,2.02093023255814,2,2.1,2.1,0.1,1.4,19,58,85,4.5,28.1219512195122,83,24,19618,4720,10399,3393,88,120,7,8,46,50.6666666666667,37,41,51,86,120,230,27.2432432432432,25,18.5806451612903,38.3870967741935,33.5925925925926,32,23.8260869565217,47.0869565217391,24.3513513513513,36.8648648648649,3.91290322580645,1.87567567567568,2.56086956521739,6,1.6,0.6,1.1,2.1,77,2.97619047619048,87.9285714285714,165,49.6818181818182,85,55,221.302325581395,243,199,150,165,158,8,11,37,590.75,450,27,23,14,45,99,52,53,41,803,35.4047619047619,84.2142857142857,26,47,71,3.99285714285714,2.8,144,96,5.36585365853659,6.61111111111111,38,51,60,88,39.4782608695652,80,25.1515151515152,11.9393939393939,21.8461538461538,16,14.8717948717949,2.30606060606061,1.56666666666667,37.2162162162162,29,35,21,17,2.8,1.7,48,19,29,34,12,39,35.3333333333333,36.551724137931,51.1851851851852,86,Sub-Saharan Africa,Africa
Antigua and Barbuda,107.8125,5.3875,3.525,2.39375,4,83.5714285714286,99,10.3448275862069,4.06774193548387,5.9,6,6.1,2.190625,1.778125,70.3666666666667,78.5862068965517,98,1.38965517241379,20.3333333333333,89.3846153846154,19.21875,90,12846.59375,28,8,94.0689655172414,0,1.78571428571429,2.56521739130435,83.56,81.25,60.34375,67.875,73.34375,99,217.035714285714,466.068965517241,40,46,25.1818181818182,50.5454545454546,55,53,21.25,50.75,30.75,44.4166666666667,3.13636363636364,1.64166666666667,2.7,61.5862068965517,0.383333333333333,0.317857142857143,0.337037037037037,0.839285714285714,71.5714285714286,4,77.6666666666667,67,64.2777777777778,99,51.15,105.709677419355,27,15,7,9,8,145,33.7826086956522,33.6818181818182,0,103.84375,10.8125,7.375,6.25,66.2666666666667,99,36.5625,28.28125,19.5625,1559.8125,65.375,94.625,75.75,100,92.15,2.325,1.375,23,6,25.5263157894737,6.91304347826087,82.3703703703704,90.962962962963,95,99,44.4615384615385,100,13.8333333333333,3.58333333333333,9.92857142857143,6.04166666666667,5.64285714285714,6.04166666666667,1.9,19,18.5652173913043,72,49,79.8461538461538,1.20769230769231,1.07142857142857,91.8461538461538,84.6428571428571,89.3181818181818,89,5,698.90625,44,46.2727272727273,63.5,99,Latin America and the Caribbean,Americas
Argentina,110,3.1,3,2.2,8,83.5714285714286,93,16,3.7,3.1,3.2,3.3,0.1,1.5,70.3666666666667,78.5862068965517,83.7333333333333,1.38965517241379,20.3333333333333,89.3846153846154,17,40765,6769,12105,3423,99,10,0,1,99,89,66,72,76,93,35,95,35.8,40.5789473684211,25.1818181818182,50.5454545454546,38.1428571428571,42.5454545454546,21.25,50.75,30.75,44.4166666666667,3.13636363636364,1.64166666666667,2.7,78,0.2,0.2,0.2,0.4,71.5714285714286,6,77.6666666666667,68,64.2777777777778,95,51.15,58,28,20,13,16,14,122,33.7826086956522,28,44,77,9,8,8,66.2666666666667,98,23,22,17,693,65.375,94.625,75.75,95,92.15,2.325,1.375,24,13,25.5263157894737,10,82.3703703703704,90.962962962963,98,93,44.4615384615385,99,13.8333333333333,3.58333333333333,9.92857142857143,2,5.64285714285714,6.04166666666667,1.9,19,8,49,31,79.8461538461538,1.20769230769231,1.07142857142857,91.8461538461538,84.6428571428571,91,89,7,560,44,46.2727272727273,63.5,93,Latin America and the Caribbean,Americas
Armenia,109,3.2,2.5,1.7,11,88.125,95,31,5.42727272727273,4.6,4.7,4.8,1.2,1.8,80,90,95,1.2,2,100,14,3100,435,763,225,96,1,1,4,99,93,70,68,74,95,2.83333333333333,4,10,16,1.66666666666667,8.66666666666667,4,9,2,14,16,16,6.6,1,6.3,55,0.1,0.1,0.1,0.2,48,2,70,28,57,96,36,123.090909090909,47,30,15,19,18,102,35,23,9,30,5,8,9,97,98,23,21,15,47,99,100,99,100,100,1,1,40,16,13,17,97,98,99,97,36,99,8,2,7,5,3,5.3,2.6,73.8,19,63,41,100,1,1,100,100,100,99,7,1700,33,33,86,95,Western Asia,Asia
Australia,106,2.7,1.9,2,3,78.75,92,5.75,4.2,3.8,3.4,2.9,1.9,-0.2,100,100,100,1,12.7142857142857,88,13,22606,2917,5190,1504,92.6923076923077,1,2,3.25,99,92,71,77,82,92,7,22,21.7142857142857,24.2857142857143,18.5714285714286,28.5714285714286,29.5,33.3333333333333,28.25,43.5,23.1666666666667,29.6666666666667,1.75714285714286,1.68333333333333,1.8,71,0.1,0.1,0.1,0.2,68.2857142857143,6,75.75,16,71.5,92,65.1428571428571,21,9,6,4,5,5,165,51.4444444444444,62,106.714285714286,7,9,7,7,57.5,92,20,15,14,307,76.4285714285714,95.4285714285714,71,90.4285714285714,90.8333333333333,1.28571428571429,1.31666666666667,8,4,31,4,100,100,100,94,40.3333333333333,98,8.5,5.75,14.3333333333333,9.25,10.3333333333333,1.76666666666667,1.36666666666667,100,27.5,51,27,56.5,1.71666666666667,1.34,75.8333333333333,58.8,66.1666666666667,70.4,7,8100,51,11.6666666666667,28,92,Australia and New Zealand,Oceania
Austria,107,2.3,1.5,1.4,3,87,83,22.9166666666667,5.6,5.2,3.8,2.6,2.4,0.3,100,100,100,1,3.16666666666667,99.375,11,8413,929,1512,381,89,0,0.875,4.25,100,80.4285714285714,70,75,81,83,5,18,39.2,41.3333333333333,27.2,53.6,32.3333333333333,38,22,48.6666666666667,32.8,48.2,2.58,1.54,2.56666666666667,71.6666666666667,0.2,0.3,0.3,0.4,50,8,66.5714285714286,10,83.2857142857143,83,35.125,29,9,6,4,5,4,169,22.4444444444444,11.75,11.4,4,13,11,9,65.0909090909091,93,15,11,9,74,98.5,99.625,98.8888888888889,100,99.6666666666667,1,1,8,4,24,4,100,100,100,76,68.8333333333333,100,3.71428571428571,1.57142857142857,2.625,2.375,2.25,3.85,1.325,50,9.375,55,25,97.7142857142857,1,1,99.4285714285714,99.1428571428571,99.1428571428571,99,7,18200,38.8571428571429,54.6666666666667,60.6666666666667,83,Western Europe,Europe
