Country,Ratio of life expectancy at birth of females to males,Total fertility rate (TFR)_1970.0,Total fertility rate (TFR)_1990.0,Total fertility rate (TFR)_2011.0,Neonatal mortality rate,Proportion of new borns protected against tetanus,Proportion of 1 year-old children fully immunised against Haemophilus influenzae type B,Debt service as a percentage of exports of goods and services,Average annual rate of reduction of under-five mortality rate_1970-1990,Average annual rate of reduction of under-five mortality rate_1990-2000,Average annual rate of reduction of under-five mortality rate_1990-2011,Average annual rate of reduction of under-five mortality rate_2000-2011,Average annual rate of reduction of total fertility rate_1970-1990,Average annual rate of reduction of total fertility rate_1990-2011,Proportion of households owning at least one ITN,Proportion of population with access to improved sanitation_Percent_Rural,Proportion of population with access to improved sanitation_Percent_Total,Proportion of population with access to improved sanitation_Percent_Urban,Proportion of population with access to improved sanitation_Ratio_Ratio of urban to rural,Proportion of women 20-24 year-olds who gave birth before age 18,Proportion of pupils starting grade 1 who reach grade 5 (survey data),Population size_Percent_Total 10-19 yr,Population size_Thousand_Total,Population size_Thousand_Total 10-19 yr,Population size_Thousand_Total <18 yr,Population size_Thousand_Total <5 yr,Proportion of 1 year-old children immunised against TB (BCG),Annual number of under-five deaths,Prevalence of underweight (severe) - WHO,Prevalence of wasting (moderate and severe) - WHO,Institutional deliveries,Antenatal care coverage for at least four visits,Life expectancy at birth_1970.0,Life expectancy at birth_1990.0,Life expectancy at birth_2011.0,Proportion of 1 year-old children fully immunised against Hepatitis B,People living with HIVAIDS_Female 15+ yr,People living with HIVAIDS_Total,People living with HIVAIDS_Total 0-14 yr,Proportion of women 15-49 year-olds who believe that the practice of female genital mutilationcutting should continue,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Rural Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Urban Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of richest to poorest,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of urban to rural,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Male 15-24 yr Ratio of richest to poorest,Contraceptive prevalence rate (CPR),Adult HIVAIDS prevalence rate_Female 15-24 yr,Adult HIVAIDS prevalence rate_Male 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-49 yr,Timely complementary feeding rate,Central government expenditure allocated to health',Child discipline_Female,Child discipline_Male,Child discipline_Total,Proportion of population in malaria risk areas using effective malaria treatment measures,Adolescent birth rate,Proportion of under-five children with suspected pneumonia taken to health provider,Proportion of 1 year-old children fully immunised against polio (OPV),Early initiation of breastfeeding (within one hour of birth),Under-five mortality rate (U5MR)_Deaths per 1000 live births_1970.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_1990.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2000.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Female,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Male,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Total,Under-five mortality rate (U5MR)_Rank_2011.0_Total,Exclusive breastfeeding rate,Continued breastfeeding rate,Maternal mortality ratio reported,Vitamin A supplementation coverage (full),Maternal mortality ratio (MMR),Crude death rate (CDR)_1970.0,Crude death rate (CDR)_1990.0,Crude death rate (CDR)_2011.0,Proportion of households consuming iodized salt,Proportion of 1 year-old children immunised against DPT1,Crude birth rate (CBR)_1970.0,Crude birth rate (CBR)_1990.0,Crude birth rate (CBR)_2011.0,Father's support for learning,Annual number of births (Births),Proportion of births attended by skilled health personnel_Percent_Poorest 20%,Proportion of births attended by skilled health personnel_Percent_Richest 20%,Proportion of births attended by skilled health personnel_Percent_Rural,Proportion of births attended by skilled health personnel_Percent_Total,Proportion of births attended by skilled health personnel_Percent_Urban,Proportion of births attended by skilled health personnel_Ratio_Ratio of richest to poorest,Proportion of births attended by skilled health personnel_Ratio_Ratio of urban to rural,Infant mortality rate (IMR)_1990.0,Infant mortality rate (IMR)_2011.0,Caesarean section,Prevalence of overweight (moderate and severe) - WHO,Proportion of population with sustainable access to an improved water source_Rural,Proportion of population with sustainable access to an improved water source_Total,Proportion of population with sustainable access to an improved water source_Urban,Proportion of 1 year-old children immunised against measles,Children orphaned due to all causes,Children left in inadequate care_Female,Children left in inadequate care_Male,Children left in inadequate care_Poorest 20%,Children left in inadequate care_Richest 20%,Children left in inadequate care_Total,Proportion of under-five children with suspected pneumonia receiving antibiotics,Female genital mutilationcutting of daughters,Antenatal care coverage (ANC),Prevalence of underweight (moderate and severe) - WHO_Percent_Poorest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Richest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Rural,Prevalence of underweight (moderate and severe) - WHO_Percent_Total <5 yr,Prevalence of underweight (moderate and severe) - WHO_Percent_Urban,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of poorest to richest,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of rural to urban,Routine EPI vaccines financed by government,Prevalence of stunting (moderate and severe) - WHO,Reduction in under-five mortality rate_1990.0,Reduction in under-five mortality rate_2000.0,Birth registration_Poorest 20%,Birth registration_Ratio of richest to poorest,Birth registration_Ratio of urban to rural,Birth registration_Richest 20%,Birth registration_Rural,Birth registration_Total,Birth registration_Urban,Proportion of infants with low birth weight,Lifetime risk of maternal death,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Poorest 20%,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Richest 20%,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Rural,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Total <5 yr,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Urban,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Ratio_Ratio of richest to poorest,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Ratio_Ratio of urban to rural,Children orphaned by AIDS,Female genital mutilationcutting,Proportion of population in malaria risk areas using effective malaria prevention measures,Condom use at last high-risk sex_Female 15-24 yr,Condom use at last high-risk sex_Male 15-24 yr,Proportion of 1 year-old children fully immunised against DPT,Region Name
Afghanistan,101,7.7,8,6.2,36,60,66,0,2.4,3.4,3.1,2.7,-0.2,1.2,0,30,37,60,2,26,90,25,32358,8015,17219,5686,68,128,12,9,33,15,35,42,49,66,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,29,2,74,75,74,0,90,61,66,0,309,192,136,99,103,101,23,0,54,330,100,460,29,22,16,28,86,52,52,43,62,1408,16,76,31,39,74,4.9,2.4,129,73,4,5,42,50,78,62,0,39,42,43,27,40,64,0,48,0,0,0,33,0,0,0,0,59,47,26,31,1.9,1.8,58,33,37,60,0,32,56,52,54,53,48,0.9,0.9,0,0,0,0,0,66,Asia
Albania,108,4.9,3.2,1.5,7,87,99,9,0,4.5,5,5.5,2.1,3.6,0,93,94,95,1,3,100,17,3216,551,877,203,99,1,2,9,97,67,67,72,77,99,0,0,0,0,36,36,20,60,21,22,10,38,26,51,3,2,3.8,69,0,0,0,0,78,3,71,78,75,0,11,70,99,43,0,41,26,14,15,14,122,39,31,21,0,27,8,6,6,76,99,33,25,13,53,41,98,100,99,99,100,1,1,36,13,19,23,94,95,96,99,0,11,14,9,16,13,60,0,97,8,4,6,5,5,2.2,1.2,0,19,65,46,98,1,1,99,98,99,99,7,2200,0,0,36,54,33,0,0.9,0,0,0,0,55,99,Europe
Algeria,104,7.4,4.7,2.2,17,90,95,1,5.5,3.6,3.8,3.9,2.3,3.6,0,88,95,98,1.1,0,93,18,35980,6425,11641,3464,99,21,1,4,95,0,53,67,73,95,0,0,0,0,12,13,5,20,0,0,0,0,10,16,3.7,1.7,0,61,0,0,0,0,39,5,87,89,88,0,4,53,95,50,199,66,46,28,32,30,74,7,22,0,0,97,16,6,5,61,99,49,32,20,0,712,88,98,92,95,98,1.1,1.1,54,26,0,13,79,83,85,95,0,0,0,0,0,0,59,0,89,5,2,4,3,3,2.4,1.4,0,15,55,35,0,0,1,0,99,99,99,6,430,15,19,19,19,18,1.2,1,0,0,0,0,0,95,Africa
Andorra,0,0,0,0,1,0,99,0,0,5.1,4.4,3.8,0,0,0,100,100,100,1,0,0,0,86,0,16,4,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,99,0,0,8,5,3,4,3,184,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,100,100,100,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Europe
Angola,106,7.3,7.2,5.3,43,70,86,4,0,2,2.1,2.1,0.1,1.4,35,19,58,85,4.5,0,83,24,19618,4720,10399,3393,88,120,7,8,46,0,37,41,51,86,120,230,34,0,0,25,0,0,0,32,0,0,0,0,0,0,0,6,1.6,0.6,1.1,2.1,77,0,0,0,0,28,165,0,85,55,0,243,199,150,165,158,8,11,37,0,55,450,27,23,14,45,99,52,53,41,0,803,0,0,26,47,71,0,2.8,144,96,0,0,38,51,60,88,1300,0,0,0,0,0,0,0,80,0,0,0,16,0,0,0,0,29,35,21,17,2.8,1.7,48,19,29,34,12,39,0,0,0,0,0,0,0,140,0,26,0,0,86,Africa
Antigua and Barbuda,0,0,0,0,4,0,99,0,0,5.9,6,6.1,0,0,0,0,0,98,0,0,0,0,90,0,28,8,0,0,0,0,0,0,0,0,0,99,0,0,0,0,40,46,0,0,55,53,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,67,0,99,0,0,27,15,7,9,8,145,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,100,0,0,0,23,6,0,0,0,0,95,99,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,72,49,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Americas
Argentina,110,3.1,3,2.2,8,0,93,16,3.7,3.1,3.2,3.3,0.1,1.5,0,0,0,0,0,0,0,17,40765,6769,12105,3423,99,10,0,1,99,89,66,72,76,93,35,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0.2,0.2,0.2,0.4,0,6,0,0,0,0,68,0,95,0,58,28,20,13,16,14,122,0,28,44,0,77,9,8,8,0,98,23,22,17,0,693,0,0,0,95,0,0,0,24,13,0,10,0,0,98,93,0,0,0,0,0,0,0,0,99,0,0,0,2,0,0,0,0,8,49,31,0,0,0,0,0,91,0,7,560,0,0,0,0,0,0,0,0,0,0,0,0,93,Americas
Armenia,109,3.2,2.5,1.7,11,0,95,31,0,4.6,4.7,4.8,1.2,1.8,0,80,90,95,1.2,2,100,14,3100,435,763,225,96,1,1,4,99,93,70,68,74,95,0,4,0,0,10,16,0,0,4,9,0,0,16,16,0,1,0,55,0.1,0.1,0.1,0.2,48,2,67,72,70,0,28,57,96,36,0,47,30,15,19,18,102,35,23,9,0,30,5,8,9,97,98,23,21,15,0,47,99,100,99,100,100,1,1,40,16,13,17,97,98,99,97,0,0,0,0,0,0,36,0,99,8,2,7,5,3,5.3,2.6,0,19,63,41,100,1,1,100,100,100,99,7,1700,0,0,28,33,22,0,0.8,0,0,0,0,86,95,Asia
Australia,106,2.7,1.9,2,3,0,92,0,4.2,3.8,3.4,2.9,1.9,-0.2,0,100,100,100,1,0,0,13,22606,2917,5190,1504,0,1,0,0,99,92,71,77,82,92,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0.1,0.1,0.1,0.2,0,6,0,0,0,0,16,0,92,0,21,9,6,4,5,5,165,0,0,0,0,7,9,7,7,0,92,20,15,14,0,307,0,0,0,0,0,0,0,8,4,31,0,100,100,100,94,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,51,27,0,0,0,0,0,0,0,7,8100,0,0,0,0,0,0,0,0,0,0,0,0,92,Oceania
Austria,107,2.3,1.5,1.4,3,0,83,0,5.6,5.2,3.8,2.6,2.4,0.3,0,100,100,100,1,0,0,11,8413,929,1512,381,0,0,0,0,0,0,70,75,81,83,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.4,0,8,0,0,0,0,10,0,83,0,29,9,6,4,5,4,169,0,0,0,0,4,13,11,9,0,93,15,11,9,0,74,0,0,0,0,0,0,0,8,4,24,0,100,100,100,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,25,0,0,0,0,0,0,0,7,18200,0,0,0,0,0,0,0,0,0,0,0,0,83,Europe
