Country or Area,Subgroup,Year,Source,Unit,Adolescent birth rate,Adolescent birth rate Footnotes
Afghanistan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",90.0,1.0
Albania,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",11.0,1.0
Algeria,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",4.0,1.0
Andorra,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",5.0,1.0
Angola,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",165.0,2.0
Antigua and Barbuda,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",67.0,2.0
Argentina,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",68.0,1.0
Armenia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",28.0,1.0
Australia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Austria,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",10.0,1.0
Azerbaijan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",41.0,1.0
Bahamas,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",41.0,1.0
Bahrain,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",12.0,1.0
Bangladesh,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",133.0,2.0
Barbados,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",50.0,1.0
Belarus,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",21.0,1.0
Belgium,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",11.0,1.0
Belize,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",90.0,2.0
Benin,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",114.0,2.0
Bhutan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",59.0,1.0
Bolivia (Plurinational State of),Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",89.0,2.0
Bosnia and Herzegovina,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",17.0,1.0
Botswana,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",51.0,1.0
Brazil,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",71.0,1.0
Brunei Darussalam,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",18.0,1.0
Bulgaria,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",48.0,1.0
Burkina Faso,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",130.0,1.0
Burundi,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",65.0,1.0
Cambodia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",48.0,1.0
Cameroon,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",127.0,1.0
Canada,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",14.0,1.0
Cape Verde,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",92.0,2.0
CEE/CIS,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",31.0,3.0
Central African Republic,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",133.0,2.0
Chad,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",193.0,2.0
Chile,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",54.0,1.0
China,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",6.0,1.0
Colombia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",85.0,1.0
Comoros,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",95.0,2.0
Congo,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",132.0,2.0
Cook Islands,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",47.0,2.0
Costa Rica,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",67.0,1.0
Côte d'Ivoire,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",111.0,1.0
Croatia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",13.0,1.0
Cuba,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",51.0,1.0
Cyprus,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",4.0,1.0
Czech Republic,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",11.0,1.0
Democratic People's Republic of Korea,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",1.0,1.0
Democratic Republic of the Congo,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",135.0,1.0
Denmark,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",6.0,1.0
Djibouti,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",27.0,2.0
Dominica,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",48.0,1.0
Dominican Republic,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",98.0,2.0
East Asia and Pacific,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",14.0,3.0
Eastern and Southern Africa,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",102.0,3.0
Ecuador,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",100.0,2.0
Egypt,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",50.0,2.0
El Salvador,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",65.0,1.0
Equatorial Guinea,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",128.0,2.0
Estonia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",21.0,1.0
Ethiopia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",79.0,1.0
Fiji,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",31.0,2.0
Finland,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",8.0,1.0
France,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",12.0,1.0
Gambia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",104.0,2.0
Georgia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",44.0,1.0
Germany,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",9.0,1.0
Ghana,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",70.0,1.0
Greece,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",12.0,1.0
Grenada,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",53.0,2.0
Guatemala,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",92.0,1.0
Guinea,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",153.0,2.0
Guinea-Bissau,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",137.0,1.0
Guyana,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",97.0,1.0
Haiti,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",69.0,2.0
Honduras,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",108.0,2.0
Hungary,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",19.0,1.0
Iceland,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",15.0,1.0
India,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",39.0,1.0
Indonesia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",52.0,2.0
Iran (Islamic Republic of),Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",31.0,1.0
Iraq,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",68.0,1.0
Ireland,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Israel,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",14.0,1.0
Italy,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",7.0,1.0
Jamaica,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",72.0,1.0
Japan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",5.0,1.0
Jordan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",32.0,1.0
Kazakhstan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",31.0,1.0
Kenya,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",106.0,1.0
Kiribati,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",39.0,2.0
Kuwait,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",14.0,1.0
Kyrgyzstan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",31.0,1.0
Lao People's Democratic Republic,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",110.0,2.0
Latin America and Caribbean,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",77.0,3.0
Latvia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",15.0,1.0
Least Developed Countries/Territories,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",106.0,3.0
Lebanon,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",18.0,2.0
Lesotho,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",92.0,1.0
Liberia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",177.0,1.0
Libya,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",4.0,2.0
Liechtenstein,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",4.0,1.0
Lithuania,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",17.0,1.0
Luxembourg,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",7.0,1.0
Madagascar,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",147.0,1.0
Malawi,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",157.0,1.0
Malaysia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",14.0,1.0
Maldives,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",19.0,1.0
Mali,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",190.0,2.0
Malta,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",20.0,1.0
Marshall Islands,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",105.0,1.0
Mauritania,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",88.0,2.0
Mauritius,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",31.0,1.0
Mexico,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",87.0,1.0
Micronesia (Federated States of),Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",52.0,2.0
Middle East and North Africa,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",37.0,3.0
Mongolia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",20.0,1.0
Montenegro,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",24.0,1.0
Morocco,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",18.0,2.0
Mozambique,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",193.0,1.0
Myanmar,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",17.0,2.0
Namibia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",74.0,2.0
Nauru,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",84.0,2.0
Nepal,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",81.0,1.0
Netherlands,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",5.0,1.0
New Zealand,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",29.0,1.0
Nicaragua,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",109.0,2.0
Niger,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",199.0,2.0
Nigeria,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",123.0,1.0
Niue,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Norway,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",10.0,1.0
Oman,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",12.0,1.0
Pakistan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Palau,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",27.0,2.0
Panama,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",88.0,1.0
Papua New Guinea,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",70.0,2.0
Paraguay,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",63.0,1.0
Peru,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",72.0,1.0
Philippines,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",53.0,1.0
Poland,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Portugal,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Qatar,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",15.0,1.0
Republic of Korea,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",2.0,1.0
Republic of Moldova,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",26.0,1.0
Romania,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",41.0,1.0
Russian Federation,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",30.0,1.0
Rwanda,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",41.0,1.0
Saint Kitts and Nevis,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",67.0,2.0
Saint Lucia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",49.0,2.0
Saint Vincent and the Grenadines,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",70.0,1.0
Samoa,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",29.0,1.0
San Marino,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",1.0,2.0
Sao Tome and Principe,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",110.0,1.0
Saudi Arabia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",7.0,1.0
Senegal,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",93.0,1.0
Serbia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",22.0,1.0
Seychelles,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",62.0,1.0
Sierra Leone,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",98.0,2.0
Singapore,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",6.0,1.0
Slovakia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",21.0,1.0
Slovenia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",5.0,1.0
Solomon Islands,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",70.0,2.0
Somalia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",123.0,2.0
South Africa,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",54.0,1.0
South Asia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",38.0,3.0
Spain,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",13.0,1.0
Sri Lanka,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",24.0,1.0
State of Palestine,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",60.0,1.0
Sub-Saharan Africa,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",109.0,3.0
Sudan (pre-cession),Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",70.0,4.0
Suriname,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",66.0,1.0
Swaziland,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",111.0,2.0
Sweden,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",6.0,1.0
Switzerland,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",4.0,1.0
Syrian Arab Republic,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",75.0,2.0
Tajikistan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",27.0,2.0
Thailand,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",47.0,1.0
The former Yugoslav Republic of Macedonia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",20.0,1.0
Timor-Leste,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",54.0,1.0
Tonga,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",16.0,1.0
Trinidad and Tobago,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",33.0,1.0
Tunisia,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",6.0,1.0
Turkey,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",38.0,1.0
Turkmenistan,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",21.0,1.0
Tuvalu,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",28.0,2.0
Uganda,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",159.0,2.0
Ukraine,Total 15-19 yr,2006-2010,UN_United Nations Population Division,"Per 1,000 women",30.0,1.0
