Country or Area,Subgroup,Year,Source,Unit,Adult literacy rate,Adult literacy rate Footnotes
Albania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Algeria,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Angola,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Antigua and Barbuda,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Argentina,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Armenia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Azerbaijan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bahrain,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Bangladesh,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,1.0
Belarus,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Benin,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,42.0,1.0
Bhutan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,53.0,2.0
Bolivia (Plurinational State of),Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Bosnia and Herzegovina,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Botswana,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Brazil,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Brunei Darussalam,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Bulgaria,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Burkina Faso,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,1.0
Burundi,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Cambodia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Cameroon,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Cape Verde,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
CEE/CIS,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,3.0
Central African Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Chad,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,34.0,1.0
Chile,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
China,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Colombia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Comoros,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Costa Rica,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Côte d'Ivoire,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Croatia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Cuba,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cyprus,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Democratic People's Republic of Korea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Democratic Republic of the Congo,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Dominican Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
East Asia and Pacific,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,3.0
Eastern and Southern Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,3.0
Ecuador,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Egypt,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
El Salvador,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Equatorial Guinea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Eritrea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Estonia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Ethiopia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,39.0,1.0
Gabon,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Gambia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Georgia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Ghana,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Greece,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Guatemala,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Guinea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,41.0,1.0
Guinea-Bissau,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,1.0
Haiti,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,2.0
Honduras,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Hungary,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
India,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,63.0,1.0
Indonesia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Iran (Islamic Republic of),Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Iraq,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Italy,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Jamaica,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Jordan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Kazakhstan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kenya,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Kuwait,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Kyrgyzstan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Lao People's Democratic Republic,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,2.0
Latin America and Caribbean,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,3.0
Latvia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Least Developed Countries/Territories,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,60.0,3.0
Lebanon,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Lesotho,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Liberia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,1.0
Libya,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Lithuania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Madagascar,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,1.0
Malawi,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Malaysia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Maldives,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,2.0
Mali,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,31.0,1.0
Malta,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,2.0
Mauritania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,58.0,1.0
Mauritius,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Mexico,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Middle East and North Africa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,3.0
Mongolia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Montenegro,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Morocco,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Mozambique,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Myanmar,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Namibia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Nepal,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,60.0,1.0
Nicaragua,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,2.0
Niger,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,2.0
Nigeria,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,1.0
Oman,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Pakistan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,55.0,1.0
Panama,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Papua New Guinea,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,1.0
Paraguay,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Peru,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Philippines,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Poland,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Portugal,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Qatar,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Republic of Moldova,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Romania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Russian Federation,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Rwanda,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Samoa,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sao Tome and Principe,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Saudi Arabia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Senegal,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Serbia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Seychelles,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Sierra Leone,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,42.0,1.0
