Country or Area,Subgroup,Year,Source,Unit,Adult support for learning,Adult support for learning Footnotes
Afghanistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Afghanistan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Afghanistan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Afghanistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,72.0,1.0
Afghanistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,80.0,1.0
Albania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Albania,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,87.0,1.0
Albania,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,85.0,1.0
Albania,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,68.0,1.0
Albania,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,96.0,1.0
Bangladesh,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Bangladesh,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,60.0,1.0
Bangladesh,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
Bangladesh,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Bangladesh,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,85.0,1.0
Belarus,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,97.0,1.0
Belarus,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,96.0,1.0
Belarus,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,97.0,1.0
Belarus,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,95.0,1.0
