Country or Area,Subgroup,Year,Source,Unit,Annual number of births (Births),Annual number of births (Births) Footnotes
Afghanistan,Total,2011.0,UN_United Nations Population Division,Thousand,1408.0,
Albania,Total,2011.0,UN_United Nations Population Division,Thousand,41.0,
Algeria,Total,2011.0,UN_United Nations Population Division,Thousand,712.0,
Angola,Total,2011.0,UN_United Nations Population Division,Thousand,803.0,
Argentina,Total,2011.0,UN_United Nations Population Division,Thousand,693.0,
Armenia,Total,2011.0,UN_United Nations Population Division,Thousand,47.0,
Australia,Total,2011.0,UN_United Nations Population Division,Thousand,307.0,
Austria,Total,2011.0,UN_United Nations Population Division,Thousand,74.0,
Azerbaijan,Total,2011.0,UN_United Nations Population Division,Thousand,184.0,
Bahamas,Total,2011.0,UN_United Nations Population Division,Thousand,5.0,
Bahrain,Total,2011.0,UN_United Nations Population Division,Thousand,23.0,
Bangladesh,Total,2011.0,UN_United Nations Population Division,Thousand,3016.0,
Barbados,Total,2011.0,UN_United Nations Population Division,Thousand,3.0,
Belarus,Total,2011.0,UN_United Nations Population Division,Thousand,107.0,
Belgium,Total,2011.0,UN_United Nations Population Division,Thousand,123.0,
Belize,Total,2011.0,UN_United Nations Population Division,Thousand,8.0,
Benin,Total,2011.0,UN_United Nations Population Division,Thousand,356.0,
Bhutan,Total,2011.0,UN_United Nations Population Division,Thousand,15.0,
Bolivia (Plurinational State of),Total,2011.0,UN_United Nations Population Division,Thousand,264.0,
Bosnia and Herzegovina,Total,2011.0,UN_United Nations Population Division,Thousand,32.0,
Botswana,Total,2011.0,UN_United Nations Population Division,Thousand,47.0,
Brazil,Total,2011.0,UN_United Nations Population Division,Thousand,2996.0,
Brunei Darussalam,Total,2011.0,UN_United Nations Population Division,Thousand,8.0,
Bulgaria,Total,2011.0,UN_United Nations Population Division,Thousand,75.0,
Burkina Faso,Total,2011.0,UN_United Nations Population Division,Thousand,730.0,
Burundi,Total,2011.0,UN_United Nations Population Division,Thousand,288.0,
Cambodia,Total,2011.0,UN_United Nations Population Division,Thousand,317.0,
Cameroon,Total,2011.0,UN_United Nations Population Division,Thousand,716.0,
Canada,Total,2011.0,UN_United Nations Population Division,Thousand,388.0,
Cape Verde,Total,2011.0,UN_United Nations Population Division,Thousand,10.0,
CEE/CIS,Total,2011.0,UN_United Nations Population Division,Thousand,5823.0,1.0
Central African Republic,Total,2011.0,UN_United Nations Population Division,Thousand,156.0,
Chad,Total,2011.0,UN_United Nations Population Division,Thousand,511.0,
Chile,Total,2011.0,UN_United Nations Population Division,Thousand,245.0,
China,Total,2011.0,UN_United Nations Population Division,Thousand,16364.0,
Colombia,Total,2011.0,UN_United Nations Population Division,Thousand,910.0,
Comoros,Total,2011.0,UN_United Nations Population Division,Thousand,28.0,
Congo,Total,2011.0,UN_United Nations Population Division,Thousand,145.0,
Costa Rica,Total,2011.0,UN_United Nations Population Division,Thousand,73.0,
Côte d'Ivoire,Total,2011.0,UN_United Nations Population Division,Thousand,679.0,
Croatia,Total,2011.0,UN_United Nations Population Division,Thousand,43.0,
Cuba,Total,2011.0,UN_United Nations Population Division,Thousand,110.0,
Cyprus,Total,2011.0,UN_United Nations Population Division,Thousand,13.0,
Czech Republic,Total,2011.0,UN_United Nations Population Division,Thousand,116.0,
Democratic People's Republic of Korea,Total,2011.0,UN_United Nations Population Division,Thousand,348.0,
Democratic Republic of the Congo,Total,2011.0,UN_United Nations Population Division,Thousand,2912.0,
Denmark,Total,2011.0,UN_United Nations Population Division,Thousand,64.0,
Djibouti,Total,2011.0,UN_United Nations Population Division,Thousand,26.0,
Dominican Republic,Total,2011.0,UN_United Nations Population Division,Thousand,216.0,
East Asia and Pacific,Total,2011.0,UN_United Nations Population Division,Thousand,28448.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_United Nations Population Division,Thousand,14399.0,1.0
Ecuador,Total,2011.0,UN_United Nations Population Division,Thousand,298.0,
Egypt,Total,2011.0,UN_United Nations Population Division,Thousand,1886.0,
El Salvador,Total,2011.0,UN_United Nations Population Division,Thousand,126.0,
Equatorial Guinea,Total,2011.0,UN_United Nations Population Division,Thousand,26.0,
Eritrea,Total,2011.0,UN_United Nations Population Division,Thousand,193.0,
Estonia,Total,2011.0,UN_United Nations Population Division,Thousand,16.0,
Ethiopia,Total,2011.0,UN_United Nations Population Division,Thousand,2613.0,
Fiji,Total,2011.0,UN_United Nations Population Division,Thousand,18.0,
Finland,Total,2011.0,UN_United Nations Population Division,Thousand,61.0,
France,Total,2011.0,UN_United Nations Population Division,Thousand,792.0,
Gabon,Total,2011.0,UN_United Nations Population Division,Thousand,42.0,
Gambia,Total,2011.0,UN_United Nations Population Division,Thousand,67.0,
Georgia,Total,2011.0,UN_United Nations Population Division,Thousand,51.0,
Germany,Total,2011.0,UN_United Nations Population Division,Thousand,699.0,
Ghana,Total,2011.0,UN_United Nations Population Division,Thousand,776.0,
Greece,Total,2011.0,UN_United Nations Population Division,Thousand,117.0,
Grenada,Total,2011.0,UN_United Nations Population Division,Thousand,2.0,
Guatemala,Total,2011.0,UN_United Nations Population Division,Thousand,473.0,
Guinea,Total,2011.0,UN_United Nations Population Division,Thousand,394.0,
Guinea-Bissau,Total,2011.0,UN_United Nations Population Division,Thousand,59.0,
Guyana,Total,2011.0,UN_United Nations Population Division,Thousand,13.0,
Haiti,Total,2011.0,UN_United Nations Population Division,Thousand,266.0,
Honduras,Total,2011.0,UN_United Nations Population Division,Thousand,205.0,
Hungary,Total,2011.0,UN_United Nations Population Division,Thousand,100.0,
Iceland,Total,2011.0,UN_United Nations Population Division,Thousand,5.0,
India,Total,2011.0,UN_United Nations Population Division,Thousand,27098.0,
Indonesia,Total,2011.0,UN_United Nations Population Division,Thousand,4331.0,
Iran (Islamic Republic of),Total,2011.0,UN_United Nations Population Division,Thousand,1255.0,
Iraq,Total,2011.0,UN_United Nations Population Division,Thousand,1144.0,
Ireland,Total,2011.0,UN_United Nations Population Division,Thousand,72.0,
Israel,Total,2011.0,UN_United Nations Population Division,Thousand,156.0,
Italy,Total,2011.0,UN_United Nations Population Division,Thousand,557.0,
Jamaica,Total,2011.0,UN_United Nations Population Division,Thousand,50.0,
Japan,Total,2011.0,UN_United Nations Population Division,Thousand,1073.0,
Jordan,Total,2011.0,UN_United Nations Population Division,Thousand,154.0,
Kazakhstan,Total,2011.0,UN_United Nations Population Division,Thousand,345.0,
Kenya,Total,2011.0,UN_United Nations Population Division,Thousand,1560.0,
Kuwait,Total,2011.0,UN_United Nations Population Division,Thousand,50.0,
Kyrgyzstan,Total,2011.0,UN_United Nations Population Division,Thousand,131.0,
Lao People's Democratic Republic,Total,2011.0,UN_United Nations Population Division,Thousand,140.0,
Latin America and Caribbean,Total,2011.0,UN_United Nations Population Division,Thousand,10790.0,1.0
Latvia,Total,2011.0,UN_United Nations Population Division,Thousand,24.0,
Least Developed Countries/Territories,Total,2011.0,UN_United Nations Population Division,Thousand,28334.0,1.0
Lebanon,Total,2011.0,UN_United Nations Population Division,Thousand,65.0,
Lesotho,Total,2011.0,UN_United Nations Population Division,Thousand,60.0,
Liberia,Total,2011.0,UN_United Nations Population Division,Thousand,157.0,
Libya,Total,2011.0,UN_United Nations Population Division,Thousand,144.0,
