Country or Area,Subgroup,Year,Source,Unit,Average annual population growth rate,Average annual population growth rate Footnotes
Afghanistan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.1,1.0
Afghanistan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,5.6,
Afghanistan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
Afghanistan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,
Albania,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Albania,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Albania,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Albania,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,
Algeria,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Algeria,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.3,
Algeria,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Algeria,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Andorra,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Andorra,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Andorra,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Andorra,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,
Angola,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.3,1.0
Angola,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,5.3,
Angola,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,1.0
Angola,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.1,
Antigua and Barbuda,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Antigua and Barbuda,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
Antigua and Barbuda,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Antigua and Barbuda,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Argentina,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Argentina,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Argentina,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Argentina,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,
Armenia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Armenia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.9,
Armenia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Armenia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.6,
Australia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Australia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Australia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Australia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Austria,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Austria,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Austria,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Austria,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Azerbaijan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Azerbaijan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Azerbaijan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Azerbaijan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Bahamas,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Bahamas,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Bahamas,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Bahamas,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Bahrain,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Bahrain,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.7,
Bahrain,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Bahrain,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.7,
Bangladesh,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,1.0
Bangladesh,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,
Bangladesh,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Bangladesh,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Barbados,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Barbados,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Barbados,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Barbados,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Belarus,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Belarus,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Belarus,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.4,1.0
Belarus,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.3,
Belgium,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Belgium,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Belgium,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,1.0
Belgium,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Belize,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,1.0
Belize,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,
Belize,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Belize,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Benin,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.7,1.0
Benin,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,
Benin,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,1.0
Benin,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.1,
Bhutan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
