Country or Area,Subgroup,Year,Source,Unit,Birth registration,Birth registration Footnotes
Afghanistan,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,33.0,1.0
Afghanistan,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,60.0,1.0
Afghanistan,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,37.0,1.0
Afghanistan,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.8,1.0
Afghanistan,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,31.0,1.0
Afghanistan,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.9,1.0
Afghanistan,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,58.0,1.0
Albania,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,98.0,1.0
Albania,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Albania,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Albania,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Albania,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,98.0,1.0
Albania,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Albania,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Algeria,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Algeria,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Algeria,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Algeria,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Angola,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,19.0,2.0
Angola,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,34.0,2.0
Angola,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,29.0,3.0
Angola,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.7,2.0
Angola,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,17.0,4.0
Angola,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,2.8,5.0
Angola,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,48.0,6.0
Argentina,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,91.0,7.0
Armenia,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Armenia,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Armenia,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Armenia,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Armenia,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Armenia,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Armenia,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Azerbaijan,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,92.0,1.0
Azerbaijan,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,96.0,1.0
Azerbaijan,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,94.0,1.0
Azerbaijan,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Azerbaijan,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,92.0,1.0
Azerbaijan,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.1,1.0
Azerbaijan,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,97.0,1.0
Bangladesh,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,9.0,1.0
Bangladesh,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,13.0,1.0
Bangladesh,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,10.0,1.0
Bangladesh,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.5,1.0
Bangladesh,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,6.0,1.0
Bangladesh,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,3.0,1.0
Bangladesh,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,19.0,1.0
Belize,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,96.0,1.0
Belize,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,95.0,1.0
Belize,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,95.0,1.0
Belize,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Belize,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,95.0,1.0
Belize,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Belize,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,97.0,1.0
Benin,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,56.0,1.0
Benin,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,68.0,1.0
Benin,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,60.0,1.0
Benin,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.2,1.0
Benin,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,46.0,1.0
Benin,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.6,1.0
Benin,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,75.0,1.0
Bhutan,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bhutan,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bhutan,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bhutan,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Bhutan,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bhutan,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Bhutan,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bolivia (Plurinational State of),Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,72.0,8.0
Bolivia (Plurinational State of),Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,79.0,8.0
Bolivia (Plurinational State of),Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,76.0,8.0
Bolivia (Plurinational State of),Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.1,8.0
Bolivia (Plurinational State of),Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,68.0,9.0
Bolivia (Plurinational State of),Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.3,10.0
Bolivia (Plurinational State of),Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,90.0,9.0
Bosnia and Herzegovina,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bosnia and Herzegovina,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Bosnia and Herzegovina,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Bosnia and Herzegovina,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Bosnia and Herzegovina,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,99.0,1.0
Bosnia and Herzegovina,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,1.0
Bosnia and Herzegovina,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,100.0,1.0
Botswana,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,67.0,1.0
Botswana,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,78.0,1.0
Botswana,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,72.0,1.0
Botswana,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.2,1.0
Brazil,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,93.0,8.0
Burkina Faso,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,74.0,1.0
Burkina Faso,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,93.0,1.0
Burkina Faso,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,77.0,1.0
Burkina Faso,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.3,1.0
Burkina Faso,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,62.0,1.0
Burkina Faso,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.5,1.0
Burkina Faso,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,95.0,1.0
Burundi,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,74.0,1.0
Burundi,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,87.0,1.0
Burundi,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,75.0,1.0
Burundi,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.2,1.0
Burundi,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,64.0,1.0
Burundi,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.4,1.0
Burundi,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,87.0,1.0
Cambodia,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,60.0,1.0
Cambodia,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,74.0,1.0
Cambodia,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,62.0,1.0
Cambodia,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.2,1.0
Cambodia,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,48.0,1.0
Cambodia,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.6,1.0
Cambodia,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,78.0,1.0
Cameroon,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,58.0,1.0
Cameroon,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,86.0,1.0
Cameroon,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,70.0,1.0
Cameroon,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.5,1.0
Cameroon,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,51.0,1.0
Cameroon,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.8,1.0
Cameroon,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,91.0,1.0
Cape Verde,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,91.0,1.0
CEE/CIS,Rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,96.0,11.0
CEE/CIS,Urban,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,97.0,11.0
CEE/CIS,Total,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,96.0,12.0
CEE/CIS,Ratio of urban to rural,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,11.0
CEE/CIS,Poorest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,94.0,11.0
CEE/CIS,Ratio of richest to poorest,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Ratio,1.0,11.0
CEE/CIS,Richest 20%,2005-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and vital registration systems",Percent,98.0,11.0
