Country or Area,Subgroup,Year,Source,Unit,Caesarean section,Caesarean section Footnotes
Afghanistan,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,4.0,1.0
Albania,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,19.0,1.0
Armenia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,13.0,1.0
Australia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,31.0,1.0
Austria,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,24.0,1.0
Azerbaijan,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,5.0,2.0
Bangladesh,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,17.0,1.0
Belarus,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,22.0,1.0
Belgium,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,18.0,1.0
Benin,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,4.0,2.0
Bhutan,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,12.0,1.0
Bolivia (Plurinational State of),Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,19.0,1.0
Brazil,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,50.0,1.0
Bulgaria,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,31.0,1.0
Burkina Faso,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,2.0,1.0
Burundi,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,4.0,1.0
Cambodia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,3.0,1.0
Cameroon,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,2.0,2.0
Canada,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,26.0,1.0
Cape Verde,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,11.0,2.0
Central African Republic,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,5.0,1.0
Chad,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,2.0,1.0
China,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,27.0,1.0
Colombia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,43.0,1.0
Congo,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,3.0,2.0
Costa Rica,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,21.0,3.0
Côte d'Ivoire,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,6.0,2.0
Croatia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,19.0,1.0
Czech Republic,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,20.0,1.0
Democratic People's Republic of Korea,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,13.0,1.0
Democratic Republic of the Congo,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,7.0,1.0
Denmark,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,21.0,1.0
Djibouti,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,12.0,1.0
Dominican Republic,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,42.0,1.0
East Asia and Pacific,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,23.0,4.0
Eastern and Southern Africa,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,4.0,4.0
Ecuador,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,26.0,2.0
Egypt,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,28.0,1.0
El Salvador,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,25.0,1.0
Eritrea,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,3.0,2.0
Ethiopia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,2.0,1.0
Finland,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,16.0,1.0
France,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,21.0,1.0
Gabon,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,6.0,2.0
Gambia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,3.0,1.0
Georgia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,24.0,1.0
Germany,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,29.0,1.0
Ghana,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,11.0,1.0
Guatemala,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,16.0,1.0
Guinea,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,2.0,1.0
Guyana,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,13.0,1.0
Haiti,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,3.0,2.0
Honduras,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,13.0,2.0
Hungary,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,31.0,1.0
Iceland,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,17.0,1.0
India,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,9.0,2.0
Indonesia,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,15.0,1.0
Iran (Islamic Republic of),Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,40.0,2.0
Iraq,Total,2007-2012,UN_Demographic and Health Surveys (DHS) and other national surveys,Percent,21.0,2.0
