Country or Area,Subgroup,Year,Source,Unit,Female genital mutilationcutting,Female genital mutilationcutting Footnotes
Benin,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,13.0,1.0
Burkina Faso,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,76.0,1.0
Cameroon,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Central African Republic,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,24.0,1.0
Chad,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,44.0,1.0
Côte d'Ivoire,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,36.0,1.0
Djibouti,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93.0,1.0
Eastern and Southern Africa,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,42.0,2.0
Egypt,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,91.0,1.0
Eritrea,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,89.0,1.0
Ethiopia,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,74.0,1.0
Gambia,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,76.0,1.0
Ghana,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,4.0,1.0
Guinea,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96.0,1.0
Guinea-Bissau,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,50.0,1.0
Kenya,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,27.0,1.0
Liberia,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,58.0,1.0
Mali,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,89.0,1.0
Mauritania,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,72.0,1.0
Niger,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Nigeria,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,30.0,1.0
Senegal,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,26.0,1.0
Sierra Leone,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,88.0,1.0
Somalia,Total 15-49 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98.0,1.0
