Country or Area,Subgroup,Year,Source,Unit,GNI per capita (PPP),GNI per capita (PPP) Footnotes
Afghanistan,Total,2011.0,UN_World Bank,US$,910.0,1.0
Albania,Total,2011.0,UN_World Bank,US$,8900.0,
Algeria,Total,2011.0,UN_World Bank,US$,8370.0,2.0
Angola,Total,2011.0,UN_World Bank,US$,5290.0,
Antigua and Barbuda,Total,2011.0,UN_World Bank,US$,15670.0,2.0
Argentina,Total,2011.0,UN_World Bank,US$,17250.0,
Armenia,Total,2011.0,UN_World Bank,US$,6140.0,
Australia,Total,2011.0,UN_World Bank,US$,36910.0,3.0
Austria,Total,2011.0,UN_World Bank,US$,41970.0,
Azerbaijan,Total,2011.0,UN_World Bank,US$,9020.0,
Bahamas,Total,2011.0,UN_World Bank,US$,29850.0,1.0
Bahrain,Total,2011.0,UN_World Bank,US$,21240.0,3.0
Bangladesh,Total,2011.0,UN_World Bank,US$,1940.0,
Barbados,Total,2011.0,UN_World Bank,US$,18850.0,1.0
Belarus,Total,2011.0,UN_World Bank,US$,14560.0,
Belgium,Total,2011.0,UN_World Bank,US$,39300.0,
Belize,Total,2011.0,UN_World Bank,US$,6070.0,2.0
Benin,Total,2011.0,UN_World Bank,US$,1630.0,
Bhutan,Total,2011.0,UN_World Bank,US$,5480.0,
Bolivia (Plurinational State of),Total,2011.0,UN_World Bank,US$,4920.0,
Bosnia and Herzegovina,Total,2011.0,UN_World Bank,US$,9200.0,
Botswana,Total,2011.0,UN_World Bank,US$,14560.0,
Brazil,Total,2011.0,UN_World Bank,US$,11500.0,
Brunei Darussalam,Total,2011.0,UN_World Bank,US$,49790.0,3.0
Bulgaria,Total,2011.0,UN_World Bank,US$,13980.0,
Burkina Faso,Total,2011.0,UN_World Bank,US$,1310.0,
Burundi,Total,2011.0,UN_World Bank,US$,610.0,
Cambodia,Total,2011.0,UN_World Bank,US$,2260.0,
Cameroon,Total,2011.0,UN_World Bank,US$,2360.0,
Canada,Total,2011.0,UN_World Bank,US$,39830.0,
Cape Verde,Total,2011.0,UN_World Bank,US$,4000.0,
CEE/CIS,Total,2011.0,UN_World Bank,US$,14216.0,4.0
Central African Republic,Total,2011.0,UN_World Bank,US$,810.0,
Chad,Total,2011.0,UN_World Bank,US$,1370.0,
Chile,Total,2011.0,UN_World Bank,US$,16160.0,
China,Total,2011.0,UN_World Bank,US$,8430.0,
Colombia,Total,2011.0,UN_World Bank,US$,9640.0,
Comoros,Total,2011.0,UN_World Bank,US$,1120.0,
Congo,Total,2011.0,UN_World Bank,US$,3280.0,
Costa Rica,Total,2011.0,UN_World Bank,US$,11950.0,2.0
Côte d'Ivoire,Total,2011.0,UN_World Bank,US$,1730.0,
