Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio in pre-primary education,Gross enrolment ratio in pre-primary education Footnotes
Albania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,55.0,1.0
Albania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Algeria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Algeria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Andorra,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Andorra,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Angola,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Angola,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Antigua and Barbuda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Antigua and Barbuda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Argentina,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Argentina,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Armenia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,34.0,1.0
Armenia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,1.0
Australia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Australia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Austria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Austria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Azerbaijan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,25.0,1.0
Azerbaijan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,26.0,1.0
Bangladesh,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,1.0
Bangladesh,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Barbados,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Barbados,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Belarus,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Belarus,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belgium,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,118.0,1.0
Belgium,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,118.0,1.0
Belize,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Belize,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Benin,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Benin,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,18.0,1.0
Bhutan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,2.0,1.0
Bhutan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,2.0,1.0
Bolivia (Plurinational State of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Bolivia (Plurinational State of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Bosnia and Herzegovina,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,17.0,1.0
Bosnia and Herzegovina,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,17.0,1.0
Botswana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Botswana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Brunei Darussalam,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Brunei Darussalam,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Bulgaria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Bulgaria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Burkina Faso,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,3.0,1.0
Burkina Faso,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,3.0,1.0
Burundi,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Burundi,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Cambodia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,1.0
Cambodia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,1.0
Cameroon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,1.0
Cameroon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,28.0,1.0
Canada,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Canada,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Cape Verde,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
Cape Verde,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
CEE/CIS,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,2.0
CEE/CIS,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,2.0
Central African Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,6.0,1.0
Central African Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,6.0,1.0
Chad,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,2.0,1.0
Chad,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,2.0,1.0
Chile,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,58.0,1.0
Chile,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,55.0,1.0
China,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,1.0
China,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,1.0
Colombia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
Colombia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,49.0,1.0
Comoros,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,21.0,1.0
Comoros,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,1.0
Congo,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,13.0,1.0
Congo,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,12.0,1.0
Cook Islands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,149.0,1.0
Cook Islands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,166.0,1.0
Costa Rica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Costa Rica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Côte d'Ivoire,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,4.0,1.0
Côte d'Ivoire,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,4.0,1.0
Croatia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,1.0
Croatia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Cuba,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cuba,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cyprus,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Cyprus,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Czech Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Czech Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Democratic Republic of the Congo,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,3.0,1.0
Democratic Republic of the Congo,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,3.0,1.0
Denmark,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Denmark,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Djibouti,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,4.0,1.0
Djibouti,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,4.0,1.0
Dominica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Dominica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Dominican Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,38.0,1.0
Dominican Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,38.0,1.0
East Asia and Pacific,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,2.0
East Asia and Pacific,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,2.0
Eastern and Southern Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,2.0
