Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio in primary education,Gross enrolment ratio in primary education Footnotes
Afghanistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Afghanistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Albania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Albania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Algeria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Algeria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Andorra,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Andorra,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Angola,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,137.0,1.0
Angola,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,1.0
Antigua and Barbuda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Antigua and Barbuda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Argentina,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,118.0,1.0
Argentina,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,117.0,1.0
Armenia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Armenia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Australia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Australia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Austria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Austria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Azerbaijan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Azerbaijan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Bahamas,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Bahamas,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Barbados,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Barbados,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,122.0,1.0
Belarus,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belarus,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belgium,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Belgium,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Belize,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,127.0,1.0
Belize,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Benin,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,135.0,1.0
Benin,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,117.0,1.0
Bhutan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,110.0,1.0
Bhutan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,1.0
Bolivia (Plurinational State of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Bolivia (Plurinational State of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Bosnia and Herzegovina,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Bosnia and Herzegovina,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Botswana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,112.0,1.0
Botswana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,108.0,1.0
Brunei Darussalam,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Brunei Darussalam,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Bulgaria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Bulgaria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
