Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio of girls to boys in primary education,Gross enrolment ratio of girls to boys in primary education Footnotes
Afghanistan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
Albania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Algeria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Andorra,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Angola,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Antigua and Barbuda,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Argentina,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Armenia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Australia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Austria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Azerbaijan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Bahamas,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Barbados,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Belarus,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belgium,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belize,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Benin,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Bhutan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Bolivia (Plurinational State of),Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Bosnia and Herzegovina,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Botswana,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Brunei Darussalam,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Bulgaria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Burkina Faso,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Burundi,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Cambodia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Cameroon,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Canada,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cape Verde,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
CEE/CIS,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Central African Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Chad,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Chile,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
China,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Colombia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Comoros,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Congo,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Cook Islands,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Costa Rica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Côte d'Ivoire,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Croatia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Cuba,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Cyprus,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Czech Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Democratic Republic of the Congo,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Denmark,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Djibouti,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Dominica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Dominican Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
East Asia and Pacific,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,2.0
Eastern and Southern Africa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,2.0
Ecuador,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Egypt,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
El Salvador,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Equatorial Guinea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Eritrea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Estonia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Ethiopia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Fiji,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Finland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
France,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
