Country or Area,Adolescent birth rate,Adolescent birth rate Footnotes
Afghanistan,90,1
Albania,11,1
Algeria,4,1
Andorra,5,1
Angola,165,2
Antigua and Barbuda,67,2
Argentina,68,1
Armenia,28,1
Australia,16,1
Austria,10,1
Azerbaijan,41,1
Bahamas,41,1
Bahrain,12,1
Bangladesh,133,2
Barbados,50,1
Belarus,21,1
Belgium,11,1
Belize,90,2
Benin,114,2
Bhutan,59,1
Bolivia (Plurinational State of),89,2
Bosnia and Herzegovina,17,1
Botswana,51,1
Brazil,71,1
Brunei Darussalam,18,1
Bulgaria,48,1
Burkina Faso,130,1
Burundi,65,1
Cambodia,48,1
Cameroon,127,1
Canada,14,1
Cape Verde,92,2
CEE/CIS,31,3
Central African Republic,133,2
Chad,193,2
Chile,54,1
China,6,1
Colombia,85,1
Comoros,95,2
Congo,132,2
Cook Islands,47,2
Costa Rica,67,1
Côte d'Ivoire,111,1
Croatia,13,1
Cuba,51,1
Cyprus,4,1
Czech Republic,11,1
Democratic People's Republic of Korea,1,1
Democratic Republic of the Congo,135,1
Denmark,6,1
Djibouti,27,2
Dominica,48,1
Dominican Republic,98,2
East Asia and Pacific,14,3
Eastern and Southern Africa,102,3
Ecuador,100,2
Egypt,50,2
El Salvador,65,1
Equatorial Guinea,128,2
Estonia,21,1
Ethiopia,79,1
Fiji,31,2
Finland,8,1
France,12,1
Gambia,104,2
Georgia,44,1
Germany,9,1
Ghana,70,1
Greece,12,1
Grenada,53,2
Guatemala,92,1
Guinea,153,2
Guinea-Bissau,137,1
Guyana,97,1
Haiti,69,2
Honduras,108,2
Hungary,19,1
Iceland,15,1
India,39,1
Indonesia,52,2
Iran (Islamic Republic of),31,1
Iraq,68,1
Ireland,16,1
Israel,14,1
Italy,7,1
Jamaica,72,1
Japan,5,1
Jordan,32,1
Kazakhstan,31,1
Kenya,106,1
Kiribati,39,2
Kuwait,14,1
Kyrgyzstan,31,1
Lao People's Democratic Republic,110,2
Latin America and Caribbean,77,3
Latvia,15,1
Least Developed Countries/Territories,106,3
Lebanon,18,2
Lesotho,92,1
Liberia,177,1
Libya,4,2
Liechtenstein,4,1
Lithuania,17,1
Luxembourg,7,1
Madagascar,147,1
Malawi,157,1
Malaysia,14,1
Maldives,19,1
Mali,190,2
Malta,20,1
Marshall Islands,105,1
Mauritania,88,2
Mauritius,31,1
Mexico,87,1
Micronesia (Federated States of),52,2
Middle East and North Africa,37,3
Mongolia,20,1
Montenegro,24,1
Morocco,18,2
Mozambique,193,1
Myanmar,17,2
Namibia,74,2
Nauru,84,2
Nepal,81,1
Netherlands,5,1
New Zealand,29,1
Nicaragua,109,2
Niger,199,2
Nigeria,123,1
Niue,16,1
Norway,10,1
Oman,12,1
Pakistan,16,1
Palau,27,2
Panama,88,1
Papua New Guinea,70,2
Paraguay,63,1
Peru,72,1
Philippines,53,1
Poland,16,1
Portugal,16,1
Qatar,15,1
Republic of Korea,2,1
Republic of Moldova,26,1
Romania,41,1
Russian Federation,30,1
Rwanda,41,1
Saint Kitts and Nevis,67,2
Saint Lucia,49,2
Saint Vincent and the Grenadines,70,1
Samoa,29,1
San Marino,1,2
Sao Tome and Principe,110,1
Saudi Arabia,7,1
Senegal,93,1
Serbia,22,1
Seychelles,62,1
Sierra Leone,98,2
Singapore,6,1
Slovakia,21,1
Slovenia,5,1
Solomon Islands,70,2
Somalia,123,2
South Africa,54,1
South Asia,38,3
Spain,13,1
Sri Lanka,24,1
State of Palestine,60,1
Sub-Saharan Africa,109,3
Sudan (pre-cession),70,4
Suriname,66,1
Swaziland,111,2
Sweden,6,1
Switzerland,4,1
Syrian Arab Republic,75,2
Tajikistan,27,2
Thailand,47,1
The former Yugoslav Republic of Macedonia,20,1
Timor-Leste,54,1
Tonga,16,1
Trinidad and Tobago,33,1
Tunisia,6,1
Turkey,38,1
Turkmenistan,21,1
Tuvalu,28,2
Uganda,159,2
Ukraine,30,1
United Arab Emirates,34,1
United Kingdom,25,1
United Republic of Tanzania,128,1
United States,39,1
Uruguay,60,1
Uzbekistan,26,1
Venezuela (Bolivarian Republic of),101,1
Viet Nam,35,1
Western and Central Africa,121,3
World,43,3
Yemen,80,2
Zambia,151,2
