Country or Area,Annual number of births (Births),Annual number of births (Births) Footnotes
Afghanistan,1408,
Albania,41,
Algeria,712,
Angola,803,
Argentina,693,
Armenia,47,
Australia,307,
Austria,74,
Azerbaijan,184,
Bahamas,5,
Bahrain,23,
Bangladesh,3016,
Barbados,3,
Belarus,107,
Belgium,123,
Belize,8,
Benin,356,
Bhutan,15,
Bolivia (Plurinational State of),264,
Bosnia and Herzegovina,32,
Botswana,47,
Brazil,2996,
Brunei Darussalam,8,
Bulgaria,75,
Burkina Faso,730,
Burundi,288,
Cambodia,317,
Cameroon,716,
Canada,388,
Cape Verde,10,
CEE/CIS,5823,1
Central African Republic,156,
Chad,511,
Chile,245,
China,16364,
Colombia,910,
Comoros,28,
Congo,145,
Costa Rica,73,
Côte d'Ivoire,679,
Croatia,43,
Cuba,110,
Cyprus,13,
Czech Republic,116,
Democratic People's Republic of Korea,348,
Democratic Republic of the Congo,2912,
Denmark,64,
Djibouti,26,
Dominican Republic,216,
East Asia and Pacific,28448,1
Eastern and Southern Africa,14399,1
Ecuador,298,
Egypt,1886,
El Salvador,126,
Equatorial Guinea,26,
Eritrea,193,
Estonia,16,
Ethiopia,2613,
Fiji,18,
Finland,61,
France,792,
Gabon,42,
Gambia,67,
Georgia,51,
Germany,699,
Ghana,776,
Greece,117,
Grenada,2,
Guatemala,473,
Guinea,394,
Guinea-Bissau,59,
Guyana,13,
Haiti,266,
Honduras,205,
Hungary,100,
Iceland,5,
India,27098,
Indonesia,4331,
Iran (Islamic Republic of),1255,
Iraq,1144,
Ireland,72,
Israel,156,
Italy,557,
Jamaica,50,
Japan,1073,
Jordan,154,
Kazakhstan,345,
Kenya,1560,
Kuwait,50,
Kyrgyzstan,131,
Lao People's Democratic Republic,140,
Latin America and Caribbean,10790,1
Latvia,24,
Least Developed Countries/Territories,28334,1
Lebanon,65,
Lesotho,60,
Liberia,157,
Libya,144,
Lithuania,35,
Luxembourg,6,
Madagascar,747,
Malawi,686,
Malaysia,579,
Maldives,5,
Mali,728,
Malta,4,
Mauritania,118,
Mauritius,16,
Mexico,2195,
Micronesia (Federated States of),3,
Middle East and North Africa,10017,1
Mongolia,65,
Montenegro,8,
Morocco,620,
Mozambique,889,
Myanmar,824,
Namibia,60,
Nepal,722,
Netherlands,181,
New Zealand,64,
Nicaragua,138,
Niger,777,
Nigeria,6458,
Norway,61,
Oman,50,
Pakistan,4764,
Panama,70,
Papua New Guinea,208,
Paraguay,158,
Peru,591,
Philippines,2358,
Poland,410,
Portugal,97,
Qatar,21,
Republic of Korea,479,
Republic of Moldova,44,
Romania,221,
Russian Federation,1689,
Rwanda,449,
Saint Lucia,3,
Saint Vincent and the Grenadines,2,
Samoa,4,
Sao Tome and Principe,5,
Saudi Arabia,605,
Senegal,471,
Serbia,110,
Sierra Leone,227,
Singapore,47,
Slovakia,58,
Slovenia,20,
Solomon Islands,17,
Somalia,416,
South Africa,1052,
South Asia,37402,1
Spain,499,
Sri Lanka,373,
State of Palestine,137,
Sub-Saharan Africa,32584,1
Sudan (pre-cession),1447,2
Suriname,10,
Swaziland,35,
Sweden,113,
Switzerland,77,
Syrian Arab Republic,466,
Tajikistan,194,
Thailand,824,
The former Yugoslav Republic of Macedonia,22,
Timor-Leste,44,
Togo,195,
Tonga,3,
Trinidad and Tobago,20,
Tunisia,179,
Turkey,1289,
Turkmenistan,109,
Uganda,1545,
Ukraine,494,
United Arab Emirates,94,
United Kingdom,761,
United Republic of Tanzania,1913,
United States,4322,
Uruguay,49,
Uzbekistan,589,
Vanuatu,7,
Venezuela (Bolivarian Republic of),598,
Viet Nam,1458,
Western and Central Africa,16712,1
World,135056,1
Yemen,940,
Zambia,622,
Zimbabwe,377,
