Country or Area,Antenatal care coverage (ANC),Antenatal care coverage (ANC) Footnotes
Afghanistan,48,1
Albania,97,1
Algeria,89,2
Angola,80,1
Antigua and Barbuda,100,1
Argentina,99,2
Armenia,99,1
Australia,98,1
Azerbaijan,77,2
Bahamas,98,1
Bahrain,100,1
Bangladesh,55,1
Barbados,100,1
Belarus,99,2
Belize,94,2
Benin,86,1
Bhutan,97,1
Bolivia (Plurinational State of),86,1
Bosnia and Herzegovina,99,2
Botswana,94,1
Brazil,98,1
Brunei Darussalam,99,1
Burkina Faso,94,1
Burundi,99,1
Cambodia,89,1
Cameroon,85,1
Canada,100,1
Cape Verde,98,2
Central African Republic,68,1
Chad,53,1
China,94,1
Colombia,97,1
Comoros,75,2
Congo,94,1
Cook Islands,100,1
Costa Rica,90,1
Côte d'Ivoire,91,1
Cuba,100,1
Cyprus,99,1
Democratic People's Republic of Korea,100,1
Democratic Republic of the Congo,89,1
Djibouti,92,2
Dominica,100,1
Dominican Republic,99,1
East Asia and Pacific,93,3
Eastern and Southern Africa,81,3
Ecuador,84,2
Egypt,74,1
El Salvador,94,1
Equatorial Guinea,86,2
Eritrea,70,2
Ethiopia,43,1
Fiji,100,1
Finland,100,2
France,100,2
Gabon,94,2
Gambia,98,1
Georgia,98,1
Germany,100,2
Ghana,96,1
Grenada,100,1
Guatemala,93,1
Guinea,88,1
Guinea-Bissau,93,1
Guyana,92,1
Haiti,85,2
Honduras,92,2
India,74,2
Indonesia,93,1
Iran (Islamic Republic of),98,2
Iraq,84,2
Ireland,100,2
Italy,99,2
Jamaica,99,1
Jordan,99,1
Kazakhstan,100,2
Kenya,92,1
Kiribati,88,1
Kuwait,100,1
Kyrgyzstan,97,2
Lao People's Democratic Republic,35,2
Latin America and Caribbean,96,3
Latvia,92,2
Least Developed Countries/Territories,74,3
Lebanon,96,2
Lesotho,92,1
Liberia,79,1
Libya,93,1
Lithuania,100,2
Madagascar,86,1
Malawi,95,1
Malaysia,91,1
Maldives,99,1
Mali,70,2
Malta,100,2
Marshall Islands,81,1
Mauritania,75,1
Mexico,96,1
Micronesia (Federated States of),80,1
Middle East and North Africa,77,3
Mongolia,99,1
Montenegro,97,2
Morocco,77,1
Mozambique,92,1
Myanmar,83,1
Namibia,95,1
Nauru,95,1
Nepal,58,1
Nicaragua,90,1
Niger,46,2
Nigeria,58,1
Niue,100,1
Oman,99,1
Pakistan,61,1
Palau,90,1
Panama,96,1
Papua New Guinea,79,2
Paraguay,96,1
Peru,95,1
Philippines,91,1
Portugal,100,2
Qatar,100,1
Republic of Moldova,98,2
Romania,94,2
Rwanda,98,1
Saint Kitts and Nevis,100,1
Saint Lucia,99,1
Saint Vincent and the Grenadines,100,1
Samoa,93,1
Sao Tome and Principe,98,1
Saudi Arabia,97,1
Senegal,93,1
Serbia,99,1
Sierra Leone,93,1
Slovakia,97,2
Slovenia,100,2
Solomon Islands,74,1
Somalia,26,2
South Africa,97,1
South Asia,70,3
South Sudan,40,4
Sri Lanka,99,1
State of Palestine,99,2
Sub-Saharan Africa,77,3
Sudan,56,4
Suriname,90,2
Swaziland,97,1
Sweden,100,2
Syrian Arab Republic,88,1
Tajikistan,89,1
Thailand,99,1
The former Yugoslav Republic of Macedonia,99,1
Timor-Leste,84,1
Togo,72,1
Tonga,98,1
Trinidad and Tobago,96,2
Tunisia,96,2
Turkey,92,1
Turkmenistan,99,2
Tuvalu,97,1
Uganda,93,1
Ukraine,99,1
United Arab Emirates,100,1
United Republic of Tanzania,88,1
Uruguay,96,1
Uzbekistan,99,2
Vanuatu,84,1
Venezuela (Bolivarian Republic of),94,2
Viet Nam,94,1
Western and Central Africa,74,3
World,81,3
Yemen,47,2
Zambia,94,1
Zimbabwe,90,1
