Country or Area,Year,Average annual rate of reduction of total fertility rate,Average annual rate of reduction of total fertility rate Footnotes
Afghanistan,1990-2011,1.2,
Afghanistan,1970-1990,-0.2,
Albania,1990-2011,3.6,
Albania,1970-1990,2.1,
Algeria,1990-2011,3.6,
Algeria,1970-1990,2.3,
Angola,1990-2011,1.4,
Angola,1970-1990,0.1,
Argentina,1990-2011,1.5,
Argentina,1970-1990,0.1,
Armenia,1990-2011,1.8,
Armenia,1970-1990,1.2,
Australia,1990-2011,-0.2,
Australia,1970-1990,1.9,
Austria,1990-2011,0.3,
Austria,1970-1990,2.4,
Azerbaijan,1990-2011,1.5,
Azerbaijan,1970-1990,2.2,
Bahamas,1990-2011,1.6,
Bahamas,1970-1990,1.5,
Bahrain,1990-2011,1.9,
Bahrain,1970-1990,2.8,
Bangladesh,1990-2011,3.4,
Bangladesh,1970-1990,2.1,
Barbados,1990-2011,0.5,
Barbados,1970-1990,2.9,
Belarus,1990-2011,1.2,
Belarus,1970-1990,1,
Belgium,1990-2011,-0.7,
Belgium,1970-1990,1.7,
Belize,1990-2011,2.4,
Belize,1970-1990,1.7,
Benin,1990-2011,1.2,
Benin,1970-1990,0,
Bhutan,1990-2011,4.3,
Bhutan,1970-1990,0.7,
Bolivia (Plurinational State of),1990-2011,1.9,
Bolivia (Plurinational State of),1970-1990,1.5,
Bosnia and Herzegovina,1990-2011,1.9,
Bosnia and Herzegovina,1970-1990,2.6,
Botswana,1990-2011,2.6,
Botswana,1970-1990,1.7,
Brazil,1990-2011,2.1,
Brazil,1970-1990,2.9,
Brunei Darussalam,1990-2011,2.7,
Brunei Darussalam,1970-1990,2.4,
Bulgaria,1990-2011,0.6,
Bulgaria,1970-1990,1.1,
Burkina Faso,1990-2011,0.8,
Burkina Faso,1970-1990,-0.2,
Burundi,1990-2011,2.1,
Burundi,1970-1990,0.2,
Cambodia,1990-2011,3.9,
Cambodia,1970-1990,0.2,
Cameroon,1990-2011,1.4,
Cameroon,1970-1990,0.2,
Canada,1990-2011,-0.1,
Canada,1970-1990,1.5,
Cape Verde,1990-2011,3.9,
Cape Verde,1970-1990,1.3,
