Country or Area,Subgroup,Birth registration,Birth registration Footnotes
Afghanistan,Rural,33,1
Afghanistan,Urban,60,1
Afghanistan,Total,37,1
Afghanistan,Ratio of urban to rural,1.8,1
Afghanistan,Poorest 20%,31,1
Afghanistan,Ratio of richest to poorest,1.9,1
Afghanistan,Richest 20%,58,1
Albania,Rural,98,1
Albania,Urban,99,1
Albania,Total,99,1
Albania,Ratio of urban to rural,1,1
Albania,Poorest 20%,98,1
Albania,Ratio of richest to poorest,1,1
Albania,Richest 20%,99,1
Algeria,Rural,99,1
Algeria,Urban,99,1
Algeria,Total,99,1
Algeria,Ratio of urban to rural,1,1
Angola,Rural,19,2
Angola,Urban,34,2
Angola,Total,29,3
Angola,Ratio of urban to rural,1.7,2
Angola,Poorest 20%,17,4
Angola,Ratio of richest to poorest,2.8,5
Angola,Richest 20%,48,6
Argentina,Total,91,7
Armenia,Rural,100,1
Armenia,Urban,99,1
Armenia,Total,100,1
Armenia,Ratio of urban to rural,1,1
Armenia,Poorest 20%,100,1
Armenia,Ratio of richest to poorest,1,1
Armenia,Richest 20%,100,1
Azerbaijan,Rural,92,1
Azerbaijan,Urban,96,1
Azerbaijan,Total,94,1
Azerbaijan,Ratio of urban to rural,1,1
Azerbaijan,Poorest 20%,92,1
Azerbaijan,Ratio of richest to poorest,1.1,1
Azerbaijan,Richest 20%,97,1
Bangladesh,Rural,9,1
Bangladesh,Urban,13,1
Bangladesh,Total,10,1
Bangladesh,Ratio of urban to rural,1.5,1
Bangladesh,Poorest 20%,6,1
Bangladesh,Ratio of richest to poorest,3,1
Bangladesh,Richest 20%,19,1
Belize,Rural,96,1
Belize,Urban,95,1
Belize,Total,95,1
Belize,Ratio of urban to rural,1,1
Belize,Poorest 20%,95,1
Belize,Ratio of richest to poorest,1,1
Belize,Richest 20%,97,1
Benin,Rural,56,1
Benin,Urban,68,1
Benin,Total,60,1
Benin,Ratio of urban to rural,1.2,1
Benin,Poorest 20%,46,1
Benin,Ratio of richest to poorest,1.6,1
Benin,Richest 20%,75,1
Bhutan,Rural,100,1
Bhutan,Urban,100,1
Bhutan,Total,100,1
Bhutan,Ratio of urban to rural,1,1
Bhutan,Poorest 20%,100,1
Bhutan,Ratio of richest to poorest,1,1
Bhutan,Richest 20%,100,1
Bolivia (Plurinational State of),Rural,72,8
Bolivia (Plurinational State of),Urban,79,8
Bolivia (Plurinational State of),Total,76,8
Bolivia (Plurinational State of),Ratio of urban to rural,1.1,8
Bolivia (Plurinational State of),Poorest 20%,68,9
Bolivia (Plurinational State of),Ratio of richest to poorest,1.3,10
Bolivia (Plurinational State of),Richest 20%,90,9
Bosnia and Herzegovina,Rural,100,1
Bosnia and Herzegovina,Urban,99,1
Bosnia and Herzegovina,Total,100,1
Bosnia and Herzegovina,Ratio of urban to rural,1,1
Bosnia and Herzegovina,Poorest 20%,99,1
Bosnia and Herzegovina,Ratio of richest to poorest,1,1
Bosnia and Herzegovina,Richest 20%,100,1
Botswana,Rural,67,1
Botswana,Urban,78,1
Botswana,Total,72,1
Botswana,Ratio of urban to rural,1.2,1
Brazil,Total,93,8
Burkina Faso,Rural,74,1
Burkina Faso,Urban,93,1
Burkina Faso,Total,77,1
Burkina Faso,Ratio of urban to rural,1.3,1
Burkina Faso,Poorest 20%,62,1
Burkina Faso,Ratio of richest to poorest,1.5,1
Burkina Faso,Richest 20%,95,1
Burundi,Rural,74,1
Burundi,Urban,87,1
Burundi,Total,75,1
Burundi,Ratio of urban to rural,1.2,1
Burundi,Poorest 20%,64,1
Burundi,Ratio of richest to poorest,1.4,1
Burundi,Richest 20%,87,1
Cambodia,Rural,60,1
Cambodia,Urban,74,1
Cambodia,Total,62,1
Cambodia,Ratio of urban to rural,1.2,1
Cambodia,Poorest 20%,48,1
Cambodia,Ratio of richest to poorest,1.6,1
Cambodia,Richest 20%,78,1
Cameroon,Rural,58,1
Cameroon,Urban,86,1
Cameroon,Total,70,1
Cameroon,Ratio of urban to rural,1.5,1
Cameroon,Poorest 20%,51,1
Cameroon,Ratio of richest to poorest,1.8,1
Cameroon,Richest 20%,91,1
Cape Verde,Total,91,1
CEE/CIS,Rural,96,11
CEE/CIS,Urban,97,11
CEE/CIS,Total,96,12
CEE/CIS,Ratio of urban to rural,1,11
CEE/CIS,Poorest 20%,94,11
CEE/CIS,Ratio of richest to poorest,1,11
CEE/CIS,Richest 20%,98,11
Central African Republic,Rural,52,1
Central African Republic,Urban,78,1
Central African Republic,Total,61,1
Central African Republic,Ratio of urban to rural,1.5,1
Central African Republic,Poorest 20%,46,1
Central African Republic,Ratio of richest to poorest,1.8,1
Central African Republic,Richest 20%,85,1
Chad,Rural,9,1
Chad,Urban,42,1
Chad,Total,16,1
Chad,Ratio of urban to rural,4.9,1
