Country or Area,Caesarean section,Caesarean section Footnotes
Afghanistan,4,1
Albania,19,1
Armenia,13,1
Australia,31,1
Austria,24,1
Azerbaijan,5,2
Bangladesh,17,1
Belarus,22,1
Belgium,18,1
Benin,4,2
Bhutan,12,1
Bolivia (Plurinational State of),19,1
Brazil,50,1
Bulgaria,31,1
Burkina Faso,2,1
Burundi,4,1
Cambodia,3,1
Cameroon,2,2
Canada,26,1
Cape Verde,11,2
Central African Republic,5,1
Chad,2,1
China,27,1
Colombia,43,1
Congo,3,2
Costa Rica,21,3
Côte d'Ivoire,6,2
Croatia,19,1
Czech Republic,20,1
Democratic People's Republic of Korea,13,1
Democratic Republic of the Congo,7,1
Denmark,21,1
Djibouti,12,1
Dominican Republic,42,1
East Asia and Pacific,23,4
Eastern and Southern Africa,4,4
Ecuador,26,2
Egypt,28,1
El Salvador,25,1
Eritrea,3,2
Ethiopia,2,1
Finland,16,1
France,21,1
Gabon,6,2
Gambia,3,1
Georgia,24,1
Germany,29,1
Ghana,11,1
Guatemala,16,1
Guinea,2,1
Guyana,13,1
Haiti,3,2
Honduras,13,2
Hungary,31,1
Iceland,17,1
India,9,2
Indonesia,15,1
Iran (Islamic Republic of),40,2
Iraq,21,2
Ireland,25,1
Italy,40,1
Jamaica,15,1
Jordan,19,1
Kenya,6,1
Kiribati,10,1
Lao People's Democratic Republic,2,1
Latin America and Caribbean,40,4
Least Developed Countries/Territories,6,4
Lesotho,7,1
Liberia,4,1
Luxembourg,29,1
Madagascar,2,1
Malawi,5,1
Maldives,32,1
Mali,2,2
Marshall Islands,9,1
Mauritania,3,2
Mexico,43,1
Mongolia,21,1
Morocco,16,1
Mozambique,2,2
Namibia,13,1
Nauru,8,1
Nepal,5,1
Netherlands,14,1
New Zealand,23,1
Nicaragua,20,1
Niger,1,2
Nigeria,2,1
Norway,16,1
Oman,14,1
Pakistan,7,1
Paraguay,33,1
Peru,23,1
Philippines,10,1
Poland,21,1
Portugal,31,1
Republic of Korea,32,1
Republic of Moldova,9,2
Romania,19,2
Rwanda,7,1
Samoa,13,1
Sao Tome and Principe,5,1
Senegal,6,1
Serbia,25,1
Sierra Leone,5,1
Slovakia,24,1
Solomon Islands,6,1
South Africa,21,2
South Asia,9,4
South Sudan,1,5
Spain,26,1
Sri Lanka,24,1
State of Palestine,15,2
Sub-Saharan Africa,4,4
Sudan,7,5
Swaziland,12,1
Switzerland,30,1
Syrian Arab Republic,26,1
Thailand,24,1
The former Yugoslav Republic of Macedonia,25,1
Timor-Leste,2,1
Togo,9,1
Tunisia,21,2
Turkey,37,1
Turkmenistan,3,2
Tuvalu,7,1
Uganda,5,1
Ukraine,10,1
United Kingdom,26,1
United Republic of Tanzania,5,1
United States,31,1
Uruguay,34,1
Viet Nam,20,1
Western and Central Africa,4,4
World,16,4
Yemen,9,2
Zambia,3,1
Zimbabwe,5,1
