Country or Area,Subgroup,Child discipline,Child discipline Footnotes
Afghanistan,Total,74,1
Afghanistan,Male,75,1
Afghanistan,Female,74,1
Albania,Total,75,1
Albania,Male,78,1
Albania,Female,71,1
Algeria,Total,88,1
Algeria,Male,89,1
Algeria,Female,87,1
Armenia,Total,70,1
Armenia,Male,72,1
Armenia,Female,67,1
Azerbaijan,Total,75,1
Azerbaijan,Male,79,1
Azerbaijan,Female,71,1
Belarus,Total,84,1
Belarus,Male,87,1
Belarus,Female,80,1
Belize,Total,71,1
Belize,Male,71,1
Belize,Female,70,1
Bosnia and Herzegovina,Total,38,1
Bosnia and Herzegovina,Male,40,1
Bosnia and Herzegovina,Female,36,1
Burkina Faso,Total,83,1
Burkina Faso,Male,84,1
Burkina Faso,Female,82,1
Cameroon,Total,93,1
Cameroon,Male,93,1
Cameroon,Female,93,1
Central African Republic,Total,92,1
Central African Republic,Male,92,1
Central African Republic,Female,92,1
Chad,Total,84,1
Chad,Male,85,1
Chad,Female,84,1
Côte d'Ivoire,Total,91,1
Côte d'Ivoire,Male,91,1
Côte d'Ivoire,Female,91,1
Democratic Republic of the Congo,Total,92,1
Democratic Republic of the Congo,Male,92,1
Democratic Republic of the Congo,Female,91,1
Djibouti,Total,72,1
Djibouti,Male,73,1
Djibouti,Female,71,1
Dominican Republic,Total,67,1
Dominican Republic,Male,69,1
Dominican Republic,Female,65,1
Egypt,Total,92,2
Fiji,Total,72,2
Gambia,Total,90,1
Gambia,Male,90,1
Gambia,Female,91,1
Georgia,Total,67,1
Georgia,Male,70,1
Georgia,Female,63,1
Ghana,Total,94,1
Ghana,Male,94,1
Ghana,Female,94,1
Guinea-Bissau,Total,82,1
Guinea-Bissau,Male,82,1
Guinea-Bissau,Female,81,1
Guyana,Total,76,1
Guyana,Male,79,1
Guyana,Female,74,1
Iraq,Total,86,1
Iraq,Male,87,1
Iraq,Female,84,1
Jamaica,Total,89,1
Jamaica,Male,90,1
Jamaica,Female,87,1
Kazakhstan,Total,49,1
Kazakhstan,Male,54,1
Kazakhstan,Female,45,1
Kiribati,Total,81,2
Kyrgyzstan,Total,54,2
Kyrgyzstan,Male,58,2
Kyrgyzstan,Female,49,2
Lao People's Democratic Republic,Total,74,1
Lao People's Democratic Republic,Male,75,1
Lao People's Democratic Republic,Female,72,1
Lebanon,Total,82,1
Lebanon,Male,82,1
Lebanon,Female,82,1
Liberia,Total,94,1
Liberia,Male,94,1
Liberia,Female,94,1
Middle East and North Africa,Total,90,3
Mongolia,Total,46,1
Mongolia,Male,48,1
Mongolia,Female,43,1
Montenegro,Total,63,1
Montenegro,Male,64,1
Montenegro,Female,61,1
Morocco,Total,91,1
Morocco,Male,92,1
Morocco,Female,90,1
Serbia,Total,67,1
Serbia,Male,70,1
Serbia,Female,64,1
Sierra Leone,Total,82,1
Sierra Leone,Male,81,1
Sierra Leone,Female,82,1
Solomon Islands,Total,72,2
State of Palestine,Total,95,1
Suriname,Total,86,1
Suriname,Male,87,1
Suriname,Female,85,1
Swaziland,Total,89,1
Swaziland,Male,90,1
Swaziland,Female,88,1
Syrian Arab Republic,Total,89,1
Syrian Arab Republic,Male,90,1
Syrian Arab Republic,Female,88,1
Tajikistan,Total,78,1
Tajikistan,Male,80,1
Tajikistan,Female,75,1
The former Yugoslav Republic of Macedonia,Total,69,1
The former Yugoslav Republic of Macedonia,Male,71,1
The former Yugoslav Republic of Macedonia,Female,67,1
Togo,Total,93,1
Togo,Male,94,1
Togo,Female,93,1
Trinidad and Tobago,Total,77,1
Trinidad and Tobago,Male,78,1
Trinidad and Tobago,Female,77,1
Ukraine,Total,70,1
Ukraine,Male,76,1
Ukraine,Female,65,1
Vanuatu,Total,78,2
Viet Nam,Total,74,1
Viet Nam,Male,76,1
Viet Nam,Female,71,1
Yemen,Total,95,1
Yemen,Male,95,1
Yemen,Female,95,1
