Country or Area,Subgroup,Year,Source,Unit,Children left in inadequate care,Children left in inadequate care Footnotes
Afghanistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,40.0,1.0
Afghanistan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,39.0,1.0
Afghanistan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Afghanistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,43.0,1.0
Afghanistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,27.0,1.0
Albania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Albania,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Albania,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Albania,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,9.0,1.0
Albania,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,16.0,1.0
Belize,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Belize,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Belize,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Belize,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,4.0,1.0
Belize,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Bhutan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,14.0,1.0
Bhutan,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Bhutan,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Bhutan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Bhutan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,7.0,1.0
