Country or Area,Subgroup,Year,Source,Unit,Children orphaned due to all causes,Children orphaned due to all causes Footnotes
Angola,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,1300.0,
Benin,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,380.0,
Botswana,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,140.0,
Burkina Faso,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,880.0,
Burundi,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,610.0,
Cameroon,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,1300.0,
CEE/CIS,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,6500.0,1.0
Central African Republic,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,350.0,
Chad,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,880.0,
Congo,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,230.0,
Côte d'Ivoire,Total 0-17 yr,2011.0,"UN_Joint United Nations Programme on HIV/AIDS (UNAIDS), Report on the Global AIDS Epidemic estimates, 2012",Thousand,1200.0,
