Country or Area,Subgroup,Year,Source,Unit,Continued breastfeeding rate,Continued breastfeeding rate Footnotes
Afghanistan,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,54.0,1.0
Albania,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,31.0,2.0
Algeria,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,22.0,1.0
Angola,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,37.0,1.0
Argentina,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,28.0,2.0
Armenia,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,23.0,2.0
Azerbaijan,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,16.0,1.0
Bangladesh,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,90.0,2.0
Belarus,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,4.0,1.0
Belize,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,27.0,1.0
Benin,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,92.0,2.0
Bhutan,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,66.0,2.0
Bolivia (Plurinational State of),Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,40.0,2.0
Bosnia and Herzegovina,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,10.0,1.0
Botswana,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,6.0,2.0
Brazil,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,1.0
Burkina Faso,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,80.0,2.0
Burundi,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,79.0,2.0
Cambodia,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,43.0,2.0
Cameroon,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,24.0,2.0
Cape Verde,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,13.0,1.0
Central African Republic,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,32.0,2.0
Chad,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,59.0,2.0
Colombia,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,33.0,2.0
Comoros,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,45.0,1.0
Congo,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,21.0,1.0
Costa Rica,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,40.0,2.0
Côte d'Ivoire,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,37.0,1.0
Cuba,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,17.0,2.0
Democratic People's Republic of Korea,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,36.0,2.0
Democratic Republic of the Congo,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,53.0,2.0
Djibouti,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,18.0,1.0
Dominican Republic,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,12.0,2.0
East Asia and Pacific,Total 20-23 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,42.0,3.0
