Country or Area,Subgroup,Year,Source,Unit,Crude birth rate (CBR),Crude birth rate (CBR) Footnotes
Afghanistan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,43.0,
Afghanistan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,52.0,
Afghanistan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,52.0,
Albania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Albania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,25.0,
Albania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,33.0,
Algeria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Algeria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,32.0,
Algeria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,49.0,
Angola,Total,2011.0,UN_United Nations Population Division,Per 1000 population,41.0,
Angola,Total,1990.0,UN_United Nations Population Division,Per 1000 population,53.0,
Angola,Total,1970.0,UN_United Nations Population Division,Per 1000 population,52.0,
Argentina,Total,2011.0,UN_United Nations Population Division,Per 1000 population,17.0,
Argentina,Total,1990.0,UN_United Nations Population Division,Per 1000 population,22.0,
Argentina,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Armenia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Armenia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,21.0,
Armenia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Australia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Australia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,15.0,
Australia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Austria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Austria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Austria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Azerbaijan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Azerbaijan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,27.0,
Azerbaijan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,29.0,
Bahamas,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Bahamas,Total,1990.0,UN_United Nations Population Division,Per 1000 population,24.0,
Bahamas,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Bahrain,Total,2011.0,UN_United Nations Population Division,Per 1000 population,19.0,
Bahrain,Total,1990.0,UN_United Nations Population Division,Per 1000 population,29.0,
Bahrain,Total,1970.0,UN_United Nations Population Division,Per 1000 population,38.0,
Bangladesh,Total,2011.0,UN_United Nations Population Division,Per 1000 population,20.0,
Bangladesh,Total,1990.0,UN_United Nations Population Division,Per 1000 population,36.0,
Bangladesh,Total,1970.0,UN_United Nations Population Division,Per 1000 population,47.0,
Barbados,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Barbados,Total,1990.0,UN_United Nations Population Division,Per 1000 population,16.0,
Barbados,Total,1970.0,UN_United Nations Population Division,Per 1000 population,22.0,
Belarus,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Belarus,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Belarus,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Belgium,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Belgium,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
