Country or Area,Subgroup,Year,Source,Unit,Crude death rate (CDR),Crude death rate (CDR) Footnotes
Afghanistan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Afghanistan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,22.0,
Afghanistan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,29.0,
Albania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Albania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Albania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Algeria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Algeria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Algeria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Angola,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Angola,Total,1990.0,UN_United Nations Population Division,Per 1000 population,23.0,
Angola,Total,1970.0,UN_United Nations Population Division,Per 1000 population,27.0,
Argentina,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Argentina,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Argentina,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Armenia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Armenia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Armenia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,5.0,
Australia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Australia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Australia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Austria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Austria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Austria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Azerbaijan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Azerbaijan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Azerbaijan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Bahamas,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Bahamas,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Bahamas,Total,1970.0,UN_United Nations Population Division,Per 1000 population,6.0,
Bahrain,Total,2011.0,UN_United Nations Population Division,Per 1000 population,3.0,
Bahrain,Total,1990.0,UN_United Nations Population Division,Per 1000 population,3.0,
Bahrain,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Bangladesh,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Bangladesh,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Bangladesh,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Barbados,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Barbados,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Barbados,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Belarus,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Belarus,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Belarus,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Belgium,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Belgium,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Belgium,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
Belize,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Belize,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Belize,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Benin,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Benin,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Benin,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Bhutan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Bhutan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Bhutan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Bolivia (Plurinational State of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Bolivia (Plurinational State of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Bolivia (Plurinational State of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Bosnia and Herzegovina,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Bosnia and Herzegovina,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Bosnia and Herzegovina,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Botswana,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
