Country or Area,Subgroup,Year,Source,Unit,Maternal mortality ratio (MMR),Maternal mortality ratio (MMR) Footnotes
Afghanistan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",460.0,1.0
Albania,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",27.0,1.0
Algeria,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",97.0,1.0
Angola,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",450.0,1.0
Argentina,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",77.0,1.0
Armenia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",30.0,1.0
Australia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",7.0,1.0
Austria,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",4.0,1.0
Azerbaijan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",43.0,1.0
Bahamas,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",47.0,1.0
Bahrain,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",20.0,1.0
Bangladesh,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",240.0,1.0
Barbados,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",51.0,1.0
Belarus,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",4.0,1.0
Belgium,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Belize,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",53.0,1.0
Benin,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",350.0,1.0
Bhutan,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",180.0,1.0
Bolivia (Plurinational State of),Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",190.0,1.0
Bosnia and Herzegovina,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",8.0,1.0
Botswana,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",160.0,1.0
Brazil,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",56.0,1.0
Brunei Darussalam,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",24.0,1.0
Bulgaria,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",11.0,1.0
Burkina Faso,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",300.0,1.0
Burundi,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",800.0,1.0
Cambodia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",250.0,1.0
Cameroon,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",690.0,1.0
Canada,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",12.0,1.0
Cape Verde,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",79.0,1.0
CEE/CIS,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",32.0,2.0
Central African Republic,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",890.0,1.0
Chad,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",1100.0,1.0
Chile,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",25.0,1.0
China,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",37.0,1.0
Colombia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",92.0,1.0
Comoros,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",280.0,1.0
Congo,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",560.0,1.0
Costa Rica,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",40.0,1.0
Côte d'Ivoire,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",400.0,1.0
Croatia,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",17.0,1.0
Cuba,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",73.0,1.0
Cyprus,Total,2010.0,"UN_WHO, UNICEF, UNFPA and World Bank","Deaths per 100,000 live births",10.0,1.0
