Country or Area,Subgroup,Year,Source,Unit,Maternal mortality ratio reported,Maternal mortality ratio reported Footnotes
Afghanistan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",330.0,1.0
Albania,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",21.0,1.0
Antigua and Barbuda,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Argentina,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",44.0,1.0
Armenia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",9.0,1.0
Azerbaijan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",24.0,1.0
Bahamas,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Bangladesh,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",220.0,1.0
Barbados,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,2.0
Belarus,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",1.0,1.0
Belize,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",55.0,1.0
Benin,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",400.0,2.0
Bhutan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",260.0,2.0
Bolivia (Plurinational State of),Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",310.0,1.0
Bosnia and Herzegovina,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",3.0,1.0
Botswana,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",160.0,1.0
Brazil,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",75.0,1.0
Bulgaria,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",8.0,1.0
Burkina Faso,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",340.0,1.0
Burundi,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",500.0,1.0
Cambodia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",210.0,1.0
Cameroon,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",670.0,2.0
Cape Verde,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",54.0,1.0
Central African Republic,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",540.0,2.0
Chad,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",1100.0,2.0
Chile,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",20.0,1.0
China,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",30.0,1.0
Colombia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",63.0,1.0
Comoros,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",380.0,2.0
Congo,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",780.0,2.0
Cook Islands,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Costa Rica,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",23.0,1.0
Côte d'Ivoire,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",540.0,2.0
Croatia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",9.0,1.0
Cuba,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",41.0,1.0
Czech Republic,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",2.0,1.0
Democratic People's Republic of Korea,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",77.0,1.0
Democratic Republic of the Congo,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",550.0,1.0
Djibouti,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",550.0,2.0
Dominica,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Dominican Republic,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",160.0,1.0
Ecuador,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",61.0,1.0
Egypt,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",55.0,1.0
El Salvador,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",56.0,1.0
Estonia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",7.0,2.0
Ethiopia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",680.0,1.0
Fiji,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",23.0,1.0
Gabon,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",520.0,2.0
Gambia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",730.0,2.0
Georgia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",19.0,1.0
Ghana,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",450.0,1.0
Grenada,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Guatemala,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",140.0,1.0
Guinea,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",980.0,2.0
Guinea-Bissau,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",410.0,2.0
Guyana,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",86.0,1.0
Haiti,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",630.0,2.0
Hungary,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",19.0,1.0
India,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",210.0,1.0
Indonesia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",230.0,1.0
Iran (Islamic Republic of),Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",25.0,2.0
Iraq,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",84.0,2.0
Jamaica,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",95.0,2.0
Jordan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",19.0,1.0
Kazakhstan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",17.0,1.0
Kenya,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",490.0,1.0
Kiribati,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Kyrgyzstan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",64.0,1.0
Lao People's Democratic Republic,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",410.0,2.0
Latvia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",32.0,1.0
Lesotho,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",1200.0,1.0
Liberia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",990.0,1.0
Lithuania,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",9.0,1.0
Madagascar,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",500.0,1.0
Malawi,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",680.0,1.0
Malaysia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",30.0,1.0
Maldives,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",140.0,2.0
Mali,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",460.0,2.0
Marshall Islands,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",140.0,1.0
Mauritania,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",690.0,1.0
Mauritius,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",22.0,2.0
Mexico,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",52.0,1.0
Micronesia (Federated States of),Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Mongolia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",47.0,1.0
Montenegro,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",13.0,1.0
Morocco,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",130.0,1.0
Mozambique,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",500.0,1.0
Myanmar,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",320.0,2.0
Namibia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",450.0,1.0
Nauru,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",300.0,2.0
Nepal,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",280.0,2.0
Nicaragua,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",63.0,1.0
Niger,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",650.0,2.0
Nigeria,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",550.0,1.0
Niue,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,2.0
Oman,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",26.0,1.0
Pakistan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",280.0,1.0
Palau,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Panama,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",60.0,1.0
Papua New Guinea,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",730.0,2.0
Paraguay,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",100.0,1.0
Peru,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",93.0,1.0
Philippines,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",160.0,2.0
Poland,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",2.0,1.0
Republic of Moldova,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",15.0,1.0
Romania,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",21.0,1.0
Russian Federation,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",17.0,1.0
Rwanda,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",480.0,1.0
Saint Kitts and Nevis,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
Saint Lucia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,2.0
Saint Vincent and the Grenadines,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,2.0
Samoa,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",29.0,2.0
Sao Tome and Principe,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",160.0,1.0
Senegal,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",390.0,1.0
Serbia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",9.0,1.0
Seychelles,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",57.0,2.0
Sierra Leone,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",860.0,1.0
Slovakia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",10.0,1.0
Slovenia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",10.0,1.0
Solomon Islands,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",150.0,1.0
Somalia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",1000.0,2.0
South Africa,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",400.0,2.0
South Sudan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",2100.0,3.0
Sri Lanka,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",39.0,2.0
Sudan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",94.0,3.0
Suriname,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",180.0,1.0
Swaziland,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",590.0,2.0
Syrian Arab Republic,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",65.0,2.0
Tajikistan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",45.0,1.0
Thailand,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",12.0,2.0
The former Yugoslav Republic of Macedonia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",4.0,1.0
Timor-Leste,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",560.0,1.0
Tonga,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",36.0,1.0
Turkey,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",29.0,2.0
Turkmenistan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",12.0,1.0
Tuvalu,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,2.0
Uganda,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",440.0,1.0
Ukraine,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",16.0,1.0
United Arab Emirates,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",0.0,1.0
United Republic of Tanzania,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",450.0,1.0
United States,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",13.0,1.0
Uruguay,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",34.0,1.0
Uzbekistan,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",21.0,1.0
Vanuatu,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",86.0,1.0
Venezuela (Bolivarian Republic of),Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",63.0,1.0
Viet Nam,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",69.0,1.0
Yemen,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",370.0,2.0
Zambia,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",590.0,1.0
Zimbabwe,Total,2007-2011,"UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births",960.0,1.0
