Country or Area,Subgroup,Year,Source,Unit,Neonatal mortality rate,Neonatal mortality rate Footnotes
Afghanistan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,36.0,
Albania,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Algeria,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,17.0,
Andorra,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,1.0,
Angola,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,43.0,
Antigua and Barbuda,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Argentina,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Armenia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,
Australia,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Austria,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Azerbaijan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,19.0,
Bahamas,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Bahrain,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Bangladesh,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,26.0,
Barbados,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
Belarus,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,3.0,
Belgium,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,2.0,
Belize,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,8.0,
Benin,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,31.0,
Bhutan,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,25.0,
Bolivia (Plurinational State of),Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,22.0,
Bosnia and Herzegovina,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,5.0,
Botswana,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,11.0,
Brazil,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,10.0,
Brunei Darussalam,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,4.0,
Bulgaria,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,7.0,
Burkina Faso,Total,2011.0,"UN_World Health Organization (WHO), using civil registrations, surveillance systems and household surveys",Deaths per 1000 live births,34.0,
