Country or Area,Subgroup,Year,Source,Unit,Population size,Population size Footnotes
Afghanistan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,17219.0,
Afghanistan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,5686.0,
Afghanistan,Total,2011.0,UN_United Nations Population Division,Thousand,32358.0,
Afghanistan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,8015.0,
Afghanistan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,25.0,
Albania,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,877.0,
Albania,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,203.0,
Albania,Total,2011.0,UN_United Nations Population Division,Thousand,3216.0,
Albania,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,551.0,
Albania,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,17.0,
Algeria,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,11641.0,
Algeria,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3464.0,
Algeria,Total,2011.0,UN_United Nations Population Division,Thousand,35980.0,
Algeria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,6425.0,
Algeria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Andorra,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,16.0,
Andorra,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,4.0,
Andorra,Total,2011.0,UN_United Nations Population Division,Thousand,86.0,
Angola,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,10399.0,
Angola,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3393.0,
Angola,Total,2011.0,UN_United Nations Population Division,Thousand,19618.0,
Angola,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,4720.0,
Angola,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Antigua and Barbuda,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,28.0,
Antigua and Barbuda,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,8.0,
Antigua and Barbuda,Total,2011.0,UN_United Nations Population Division,Thousand,90.0,
Argentina,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,12105.0,
Argentina,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3423.0,
Argentina,Total,2011.0,UN_United Nations Population Division,Thousand,40765.0,
