Country or Area,Subgroup,Year,Source,Unit,Proportion of households consuming iodized salt,Proportion of households consuming iodized salt Footnotes
Afghanistan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,28.0,1.0
Albania,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,2.0
Algeria,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,61.0,1.0
Angola,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,45.0,3.0
Armenia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,97.0,1.0
Azerbaijan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,54.0,1.0
Bangladesh,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,84.0,1.0
Belarus,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,94.0,2.0
Benin,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,3.0
Bhutan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,96.0,1.0
Bolivia (Plurinational State of),Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,89.0,2.0
Bosnia and Herzegovina,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,62.0,1.0
Botswana,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,65.0,3.0
Brazil,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,96.0,1.0
Bulgaria,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,100.0,1.0
Burkina Faso,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,34.0,1.0
Burundi,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,98.0,1.0
Cambodia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,83.0,2.0
Cameroon,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,49.0,1.0
Cape Verde,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,75.0,3.0
Central African Republic,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,65.0,3.0
Chad,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,54.0,3.0
China,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,97.0,2.0
Comoros,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,82.0,1.0
Congo,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,82.0,1.0
Côte d'Ivoire,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,84.0,1.0
Cuba,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,88.0,1.0
Democratic People's Republic of Korea,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,25.0,2.0
