Country or Area,Subgroup,Year,Source,Unit,Proportion of population with sustainable access to an improved water source,Proportion of population with sustainable access to an improved water source Footnotes
Afghanistan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,42.0,
Afghanistan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Afghanistan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,
Albania,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Albania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Albania,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Algeria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Algeria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Algeria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Andorra,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Andorra,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Andorra,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Angola,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,38.0,
Angola,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,60.0,
Angola,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Antigua and Barbuda,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Argentina,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Armenia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Armenia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Armenia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Australia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Australia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Australia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Austria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Austria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Austria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Azerbaijan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Azerbaijan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Azerbaijan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Bahamas,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
