Country or Area,Subgroup,Year,Source,Unit,Proportion of pupils starting grade 1 who reach grade 5 (survey data),Proportion of pupils starting grade 1 who reach grade 5 (survey data) Footnotes
Afghanistan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Albania,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,2.0
Algeria,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Angola,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Armenia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Azerbaijan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bahrain,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Bangladesh,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Belarus,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belize,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Benin,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Bhutan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,2.0
Bolivia (Plurinational State of),Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,2.0
Bosnia and Herzegovina,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Brazil,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Burkina Faso,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Burundi,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Cambodia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Cameroon,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Central African Republic,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Chad,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Colombia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,2.0
Comoros,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,19.0,1.0
Congo,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Côte d'Ivoire,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Democratic Republic of the Congo,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,2.0
Djibouti,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Dominican Republic,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,2.0
Egypt,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Ethiopia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Gambia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,2.0
Georgia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Ghana,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,2.0
Guinea,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Guinea-Bissau,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,2.0
Guyana,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,2.0
Haiti,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
India,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Iraq,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Jamaica,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Kazakhstan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kenya,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,2.0
Kyrgyzstan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Lao People's Democratic Republic,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Lebanon,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Lesotho,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Madagascar,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,2.0
Malawi,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Maldives,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Mali,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Mauritania,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,2.0
Mongolia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Montenegro,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Mozambique,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,60.0,2.0
Myanmar,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,2.0
Namibia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Nepal,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Nicaragua,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,1.0
Niger,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Nigeria,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,2.0
Peru,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,2.0
Philippines,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Republic of Moldova,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Rwanda,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Sao Tome and Principe,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,2.0
Senegal,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Serbia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Sierra Leone,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,2.0
Somalia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
South Asia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,3.0
South Sudan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,4.0
Sudan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,4.0
Suriname,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Swaziland,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,2.0
Syrian Arab Republic,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Tajikistan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Thailand,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
The former Yugoslav Republic of Macedonia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Timor-Leste,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,2.0
Togo,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,2.0
Trinidad and Tobago,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Turkey,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Turkmenistan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Uganda,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Ukraine,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,2.0
United Republic of Tanzania,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Uzbekistan,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Vanuatu,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,2.0
Venezuela (Bolivarian Republic of),Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Viet Nam,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Western and Central Africa,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,3.0
Yemen,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,1.0
Zambia,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,2.0
Zimbabwe,Total,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
