Country or Area,Subgroup,Year,Source,Unit,Routine EPI vaccines financed by government,Routine EPI vaccines financed by government Footnotes
Azerbaijan,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,78.0,
Bahrain,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Bangladesh,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,30.0,
Benin,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,17.0,
Bhutan,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,4.0,
Botswana,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Burkina Faso,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,32.0,
Burundi,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,3.0,
Cambodia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,23.0,
Cameroon,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,9.0,
Cape Verde,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Chad,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,11.0,
China,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Congo,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,9.0,
Côte d'Ivoire,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,30.0,
Democratic Republic of the Congo,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,0.0,
Djibouti,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,0.0,
East Asia and Pacific,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Eastern and Southern Africa,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,39.0,1.0
Egypt,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Equatorial Guinea,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Eritrea,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,3.0,
Estonia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Finland,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Gabon,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Gambia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
Georgia,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,78.0,
Guinea,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,24.0,
Hungary,Total,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,100.0,
