Country or Area,Subgroup,Year,Source,Unit,Timely complementary feeding rate,Timely complementary feeding rate Footnotes
Afghanistan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,29.0,1.0
Albania,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,78.0,2.0
Algeria,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,39.0,3.0
Angola,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,77.0,1.0
Armenia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,48.0,4.0
Azerbaijan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,83.0,1.0
Bangladesh,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,71.0,2.0
Belarus,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,38.0,1.0
Benin,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,76.0,4.0
Bhutan,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,67.0,2.0
Bolivia (Plurinational State of),Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,83.0,2.0
Bosnia and Herzegovina,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,29.0,1.0
Botswana,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,46.0,4.0
Brazil,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,70.0,1.0
Burkina Faso,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,61.0,2.0
Burundi,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,70.0,4.0
Cambodia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,82.0,4.0
Cameroon,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,63.0,3.0
Cape Verde,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,80.0,1.0
Central African Republic,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,56.0,3.0
Chad,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,46.0,2.0
China,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,43.0,4.0
Colombia,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,86.0,2.0
Comoros,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,34.0,1.0
Congo,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,78.0,1.0
Costa Rica,Total 6-8 mo,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys and UNICEF",Percent,92.0,2.0
