Country or Area,Subgroup,Year,Source,Unit,Vitamin A supplementation coverage (full),Vitamin A supplementation coverage (full) Footnotes
Afghanistan,Total 6-59 mo,2011.0,UN_UNICEF,Percent,100.0,1.0
Angola,Total 6-59 mo,2011.0,UN_UNICEF,Percent,55.0,1.0
Bangladesh,Total 6-59 mo,2011.0,UN_UNICEF,Percent,94.0,1.0
Benin,Total 6-59 mo,2011.0,UN_UNICEF,Percent,98.0,1.0
Bolivia (Plurinational State of),Total 6-59 mo,2011.0,UN_UNICEF,Percent,21.0,1.0
Botswana,Total 6-59 mo,2011.0,UN_UNICEF,Percent,75.0,1.0
Burkina Faso,Total 6-59 mo,2011.0,UN_UNICEF,Percent,87.0,1.0
Burundi,Total 6-59 mo,2011.0,UN_UNICEF,Percent,83.0,1.0
Cambodia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,92.0,1.0
Central African Republic,Total 6-59 mo,2011.0,UN_UNICEF,Percent,0.0,1.0
Côte d'Ivoire,Total 6-59 mo,2011.0,UN_UNICEF,Percent,100.0,1.0
Democratic People's Republic of Korea,Total 6-59 mo,2011.0,UN_UNICEF,Percent,100.0,1.0
Democratic Republic of the Congo,Total 6-59 mo,2011.0,UN_UNICEF,Percent,98.0,1.0
Djibouti,Total 6-59 mo,2011.0,UN_UNICEF,Percent,95.0,1.0
East Asia and Pacific,Total 6-59 mo,2011.0,UN_UNICEF,Percent,85.0,2.0
Eastern and Southern Africa,Total 6-59 mo,2011.0,UN_UNICEF,Percent,72.0,2.0
Eritrea,Total 6-59 mo,2011.0,UN_UNICEF,Percent,46.0,1.0
Ethiopia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,71.0,1.0
Gambia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,93.0,1.0
Guatemala,Total 6-59 mo,2011.0,UN_UNICEF,Percent,28.0,1.0
Guinea,Total 6-59 mo,2011.0,UN_UNICEF,Percent,88.0,1.0
Guinea-Bissau,Total 6-59 mo,2011.0,UN_UNICEF,Percent,100.0,1.0
Haiti,Total 6-59 mo,2011.0,UN_UNICEF,Percent,36.0,1.0
India,Total 6-59 mo,2011.0,UN_UNICEF,Percent,66.0,1.0
Indonesia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,76.0,1.0
Lao People's Democratic Republic,Total 6-59 mo,2011.0,UN_UNICEF,Percent,92.0,1.0
Least Developed Countries/Territories,Total 6-59 mo,2011.0,UN_UNICEF,Percent,82.0,2.0
Liberia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,96.0,1.0
Madagascar,Total 6-59 mo,2011.0,UN_UNICEF,Percent,91.0,1.0
Malawi,Total 6-59 mo,2011.0,UN_UNICEF,Percent,96.0,1.0
Mali,Total 6-59 mo,2011.0,UN_UNICEF,Percent,96.0,1.0
Mauritania,Total 6-59 mo,2011.0,UN_UNICEF,Percent,100.0,1.0
Mongolia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,85.0,1.0
Mozambique,Total 6-59 mo,2011.0,UN_UNICEF,Percent,100.0,1.0
Myanmar,Total 6-59 mo,2011.0,UN_UNICEF,Percent,96.0,1.0
Nepal,Total 6-59 mo,2011.0,UN_UNICEF,Percent,91.0,1.0
Nicaragua,Total 6-59 mo,2011.0,UN_UNICEF,Percent,2.0,1.0
Niger,Total 6-59 mo,2011.0,UN_UNICEF,Percent,95.0,1.0
Nigeria,Total 6-59 mo,2011.0,UN_UNICEF,Percent,73.0,1.0
Pakistan,Total 6-59 mo,2011.0,UN_UNICEF,Percent,90.0,1.0
Papua New Guinea,Total 6-59 mo,2011.0,UN_UNICEF,Percent,12.0,1.0
Philippines,Total 6-59 mo,2011.0,UN_UNICEF,Percent,91.0,1.0
Rwanda,Total 6-59 mo,2011.0,UN_UNICEF,Percent,76.0,1.0
Sao Tome and Principe,Total 6-59 mo,2011.0,UN_UNICEF,Percent,44.0,1.0
Sierra Leone,Total 6-59 mo,2011.0,UN_UNICEF,Percent,99.0,1.0
Somalia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,12.0,1.0
South Africa,Total 6-59 mo,2011.0,UN_UNICEF,Percent,44.0,1.0
South Asia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,73.0,2.0
Sub-Saharan Africa,Total 6-59 mo,2011.0,UN_UNICEF,Percent,78.0,2.0
Swaziland,Total 6-59 mo,2011.0,UN_UNICEF,Percent,41.0,1.0
Tajikistan,Total 6-59 mo,2011.0,UN_UNICEF,Percent,99.0,1.0
Timor-Leste,Total 6-59 mo,2011.0,UN_UNICEF,Percent,59.0,1.0
Togo,Total 6-59 mo,2011.0,UN_UNICEF,Percent,22.0,1.0
Uganda,Total 6-59 mo,2011.0,UN_UNICEF,Percent,60.0,1.0
United Republic of Tanzania,Total 6-59 mo,2011.0,UN_UNICEF,Percent,97.0,1.0
Uzbekistan,Total 6-59 mo,2011.0,UN_UNICEF,Percent,95.0,1.0
Viet Nam,Total 6-59 mo,2011.0,UN_UNICEF,Percent,99.0,3.0
Western and Central Africa,Total 6-59 mo,2011.0,UN_UNICEF,Percent,83.0,2.0
World,Total 6-59 mo,2011.0,UN_UNICEF,Percent,75.0,2.0
Yemen,Total 6-59 mo,2011.0,UN_UNICEF,Percent,9.0,1.0
Zambia,Total 6-59 mo,2011.0,UN_UNICEF,Percent,72.0,1.0
Zimbabwe,Total 6-59 mo,2011.0,UN_UNICEF,Percent,56.0,1.0
