Country or Area,Subgroup,Year,Source,Unit,Learning materials at home - Children's books,Learning materials at home - Children's books Footnotes
Afghanistan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Afghanistan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Afghanistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Albania,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Albania,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,16.0,1.0
Albania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Belize,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,73.0,1.0
Belize,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,17.0,1.0
Belize,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,40.0,1.0
Bhutan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,24.0,1.0
Bhutan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Bhutan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Bosnia and Herzegovina,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,88.0,1.0
Bosnia and Herzegovina,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,52.0,1.0
Bosnia and Herzegovina,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,70.0,1.0
Cameroon,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,22.0,1.0
Cameroon,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Cameroon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,8.0,1.0
Central African Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Central African Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Central African Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Chad,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Chad,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Chad,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Côte d'Ivoire,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,13.0,1.0
Côte d'Ivoire,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Côte d'Ivoire,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Democratic People's Republic of Korea,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,79.0,1.0
Democratic Republic of the Congo,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Democratic Republic of the Congo,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Democratic Republic of the Congo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Djibouti,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,15.0,1.0
Gambia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,5.0,1.0
Gambia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Gambia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Georgia,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,91.0,1.0
Georgia,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Georgia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,72.0,1.0
Ghana,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,23.0,1.0
Ghana,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Ghana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,6.0,1.0
Guyana,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,86.0,1.0
Guyana,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,28.0,1.0
Guyana,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,54.0,1.0
Jamaica,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,1.0
Kazakhstan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Kazakhstan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,24.0,1.0
Kazakhstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,48.0,1.0
Kyrgyzstan,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,85.0,1.0
Kyrgyzstan,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Kyrgyzstan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,76.0,1.0
Lao People's Democratic Republic,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,11.0,1.0
Lao People's Democratic Republic,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,1.0,1.0
Lao People's Democratic Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,3.0,1.0
Lebanon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,29.0,1.0
Mali,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,2.0,1.0
Mali,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
Mali,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,0.0,1.0
