Country or Area,Subgroup,Year,Source,Unit,Life expectancy at birth,Life expectancy at birth Footnotes
Afghanistan,Total,2011.0,UN_United Nations Population Division,Years,49.0,
Afghanistan,Total,1990.0,UN_United Nations Population Division,Years,42.0,
Afghanistan,Total,1970.0,UN_United Nations Population Division,Years,35.0,
Albania,Total,2011.0,UN_United Nations Population Division,Years,77.0,
Albania,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Albania,Total,1970.0,UN_United Nations Population Division,Years,67.0,
Algeria,Total,2011.0,UN_United Nations Population Division,Years,73.0,
Algeria,Total,1990.0,UN_United Nations Population Division,Years,67.0,
Algeria,Total,1970.0,UN_United Nations Population Division,Years,53.0,
Angola,Total,2011.0,UN_United Nations Population Division,Years,51.0,
Angola,Total,1990.0,UN_United Nations Population Division,Years,41.0,
Angola,Total,1970.0,UN_United Nations Population Division,Years,37.0,
Argentina,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Argentina,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Argentina,Total,1970.0,UN_United Nations Population Division,Years,66.0,
Armenia,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Armenia,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Armenia,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Australia,Total,2011.0,UN_United Nations Population Division,Years,82.0,
Australia,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Australia,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Austria,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Austria,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Austria,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Azerbaijan,Total,2011.0,UN_United Nations Population Division,Years,71.0,
Azerbaijan,Total,1990.0,UN_United Nations Population Division,Years,65.0,
Azerbaijan,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Bahamas,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Bahamas,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Bahamas,Total,1970.0,UN_United Nations Population Division,Years,66.0,
Bahrain,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Bahrain,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Bahrain,Total,1970.0,UN_United Nations Population Division,Years,64.0,
Bangladesh,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Bangladesh,Total,1990.0,UN_United Nations Population Division,Years,59.0,
Bangladesh,Total,1970.0,UN_United Nations Population Division,Years,42.0,
Barbados,Total,2011.0,UN_United Nations Population Division,Years,77.0,
Barbados,Total,1990.0,UN_United Nations Population Division,Years,75.0,
Barbados,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Belarus,Total,2011.0,UN_United Nations Population Division,Years,70.0,
Belarus,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Belarus,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Belgium,Total,2011.0,UN_United Nations Population Division,Years,80.0,
Belgium,Total,1990.0,UN_United Nations Population Division,Years,76.0,
