Country or Area,Subgroup,Year,Source,Unit,Literacy rate of 15-24 year-olds,Literacy rate of 15-24 year-olds Footnotes
Albania,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Albania,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Algeria,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,2.0
Algeria,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,2.0
Angola,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
Angola,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Argentina,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Argentina,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Armenia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Armenia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Azerbaijan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Azerbaijan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bahrain,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bahrain,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Bangladesh,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Bangladesh,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Belarus,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Belarus,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Benin,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Benin,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,66.0,1.0
