Country or Area,Subgroup,Year,Source,Unit,Net enrolment ratio in secondary education,Net enrolment ratio in secondary education Footnotes
Andorra,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Andorra,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Angola,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,12.0,1.0
Angola,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,11.0,1.0
Antigua and Barbuda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Antigua and Barbuda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Argentina,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Argentina,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Armenia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Armenia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Australia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Australia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Bahamas,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Bahamas,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Bangladesh,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,45.0,1.0
Bangladesh,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Barbados,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Barbados,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Bhutan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,50.0,1.0
Bhutan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,54.0,1.0
Bolivia (Plurinational State of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Bolivia (Plurinational State of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
Botswana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,1.0
Botswana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Brunei Darussalam,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Brunei Darussalam,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Bulgaria,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Bulgaria,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Burkina Faso,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,18.0,1.0
Burkina Faso,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Burundi,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,18.0,1.0
Burundi,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,15.0,1.0
Cape Verde,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,1.0
Cape Verde,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
CEE/CIS,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,2.0
CEE/CIS,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,2.0
Central African Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,18.0,1.0
Central African Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,10.0,1.0
Chile,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
Chile,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Colombia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,72.0,1.0
Colombia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,77.0,1.0
Cook Islands,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Cook Islands,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Croatia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Croatia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Cuba,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Cuba,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Cyprus,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Cyprus,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Denmark,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Denmark,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Djibouti,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,28.0,1.0
Djibouti,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,20.0,1.0
Dominican Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,58.0,1.0
Dominican Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
East Asia and Pacific,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,2.0
East Asia and Pacific,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,2.0
Eastern and Southern Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,33.0,2.0
Eastern and Southern Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,30.0,2.0
Egypt,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Egypt,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
El Salvador,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,57.0,1.0
El Salvador,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,59.0,1.0
Eritrea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,32.0,1.0
Eritrea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,25.0,1.0
Estonia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Estonia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Finland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Finland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
France,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
France,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Ghana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,51.0,1.0
Ghana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,47.0,1.0
Grenada,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Grenada,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Guatemala,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,43.0,1.0
Guatemala,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,40.0,1.0
Guinea,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,36.0,1.0
Guinea,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,1.0
Guyana,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Guyana,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Hungary,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Hungary,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Iceland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Iceland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Indonesia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Indonesia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Iran (Islamic Republic of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Iran (Islamic Republic of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Ireland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Ireland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Israel,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Israel,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Italy,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Italy,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Jamaica,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Jamaica,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Japan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Japan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Jordan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Jordan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Kazakhstan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Kazakhstan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Kenya,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,52.0,1.0
Kenya,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,1.0
Kuwait,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Kuwait,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Kyrgyzstan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Kyrgyzstan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Lao People's Democratic Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,42.0,1.0
Lao People's Democratic Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,38.0,1.0
Latin America and Caribbean,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,2.0
Latin America and Caribbean,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,2.0
Latvia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Latvia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Least Developed Countries/Territories,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,35.0,2.0
Least Developed Countries/Territories,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,29.0,2.0
Lebanon,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Lebanon,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Lesotho,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,23.0,1.0
Lesotho,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,37.0,1.0
Liechtenstein,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,1.0
Liechtenstein,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,64.0,1.0
Lithuania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Lithuania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Luxembourg,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Luxembourg,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Madagascar,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,23.0,1.0
Madagascar,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,24.0,1.0
Malawi,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,28.0,1.0
Malawi,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,27.0,1.0
Malaysia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,65.0,1.0
Malaysia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Mali,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,35.0,1.0
Mali,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,24.0,1.0
Malta,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
