Country or Area,Subgroup,Year,Source,Unit,ODA inflow,ODA inflow Footnotes
Afghanistan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,6374.0,
Albania,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,338.0,
Algeria,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,199.0,
Angola,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,239.0,
Antigua and Barbuda,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,19.0,
Argentina,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,155.0,
Armenia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,340.0,
Azerbaijan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,156.0,
Bangladesh,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1417.0,
Barbados,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,16.0,
Belarus,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,137.0,
Belize,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,25.0,
Benin,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,691.0,
Bhutan,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,131.0,
Bolivia (Plurinational State of),Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,676.0,
Bosnia and Herzegovina,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,492.0,
Botswana,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,157.0,
Brazil,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,664.0,
Burkina Faso,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,1065.0,
Burundi,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,632.0,
Cambodia,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,737.0,
Cameroon,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,538.0,
Cape Verde,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,329.0,
CEE/CIS,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,6582.0,1.0
Central African Republic,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,264.0,
Chad,Total,2010.0,OECD_Organisation for Economic Co-operation and Development (OECD),US$ million,490.0,
