Country or Area,Subgroup,Year,Source,Unit,Proportion of households owning at least one ITN,Proportion of households owning at least one ITN Footnotes
Angola,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,35.0,1.0
Benin,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,80.0,1.0
Burkina Faso,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,57.0,1.0
Burundi,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,52.0,1.0
Cambodia,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,5.0,2.0
Cameroon,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,36.0,1.0
Central African Republic,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,47.0,1.0
Chad,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,42.0,1.0
Colombia,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,3.0,2.0
Congo,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,27.0,1.0
Côte d'Ivoire,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,68.0,1.0
Democratic Republic of the Congo,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,51.0,1.0
Djibouti,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,30.0,1.0
Eastern and Southern Africa,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,54.0,3.0
Eritrea,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,71.0,1.0
Ethiopia,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,53.0,1.0
Gabon,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,70.0,1.0
Gambia,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,51.0,1.0
Ghana,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,48.0,1.0
Guinea,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,8.0,1.0
Guinea-Bissau,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,53.0,1.0
Guyana,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,26.0,1.0
Indonesia,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,3.0,1.0
Kenya,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,56.0,1.0
Lao People's Democratic Republic,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,45.0,2.0
Least Developed Countries/Territories,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,53.0,3.0
Liberia,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,50.0,1.0
Madagascar,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,57.0,1.0
Malawi,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,57.0,1.0
Mali,Total,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,85.0,1.0
