Country or Area,Subgroup,Year,Source,Unit,Proportion of income received by the 40 percent of households with lowest income,Proportion of income received by the 40 percent of households with lowest income Footnotes
Afghanistan,Total,2005-2011,UN_World Bank,Percent,23.0,1.0
Albania,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Angola,Total,2005-2011,UN_World Bank,Percent,8.0,2.0
Argentina,Total,2005-2011,UN_World Bank,Percent,14.0,1.0
Armenia,Total,2005-2011,UN_World Bank,Percent,22.0,1.0
Austria,Total,2005-2011,UN_World Bank,Percent,22.0,2.0
Azerbaijan,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Bangladesh,Total,2005-2011,UN_World Bank,Percent,21.0,1.0
Belarus,Total,2005-2011,UN_World Bank,Percent,23.0,1.0
Belgium,Total,2005-2011,UN_World Bank,Percent,21.0,2.0
Benin,Total,2005-2011,UN_World Bank,Percent,18.0,2.0
Bhutan,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Bolivia (Plurinational State of),Total,2005-2011,UN_World Bank,Percent,9.0,1.0
Bosnia and Herzegovina,Total,2005-2011,UN_World Bank,Percent,18.0,1.0
Brazil,Total,2005-2011,UN_World Bank,Percent,10.0,1.0
Bulgaria,Total,2005-2011,UN_World Bank,Percent,22.0,1.0
Burkina Faso,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Burundi,Total,2005-2011,UN_World Bank,Percent,21.0,1.0
Cambodia,Total,2005-2011,UN_World Bank,Percent,19.0,1.0
Cameroon,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Canada,Total,2005-2011,UN_World Bank,Percent,20.0,2.0
Cape Verde,Total,2005-2011,UN_World Bank,Percent,12.0,2.0
CEE/CIS,Total,2005-2011,UN_World Bank,Percent,19.0,2.0
Central African Republic,Total,2005-2011,UN_World Bank,Percent,10.0,1.0
Chad,Total,2005-2011,UN_World Bank,Percent,17.0,2.0
Chile,Total,2005-2011,UN_World Bank,Percent,12.0,1.0
China,Total,2005-2011,UN_World Bank,Percent,15.0,1.0
Colombia,Total,2005-2011,UN_World Bank,Percent,10.0,1.0
Comoros,Total,2005-2011,UN_World Bank,Percent,8.0,2.0
Congo,Total,2005-2011,UN_World Bank,Percent,13.0,1.0
Costa Rica,Total,2005-2011,UN_World Bank,Percent,12.0,1.0
Côte d'Ivoire,Total,2005-2011,UN_World Bank,Percent,16.0,1.0
Croatia,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Democratic Republic of the Congo,Total,2005-2011,UN_World Bank,Percent,15.0,1.0
Djibouti,Total,2005-2011,UN_World Bank,Percent,17.0,2.0
Dominican Republic,Total,2005-2011,UN_World Bank,Percent,13.0,1.0
East Asia and Pacific,Total,2005-2011,UN_World Bank,Percent,16.0,2.0
Eastern and Southern Africa,Total,2005-2011,UN_World Bank,Percent,16.0,2.0
Ecuador,Total,2005-2011,UN_World Bank,Percent,13.0,1.0
Egypt,Total,2005-2011,UN_World Bank,Percent,22.0,1.0
El Salvador,Total,2005-2011,UN_World Bank,Percent,13.0,1.0
Estonia,Total,2005-2011,UN_World Bank,Percent,18.0,2.0
Ethiopia,Total,2005-2011,UN_World Bank,Percent,22.0,1.0
Fiji,Total,2005-2011,UN_World Bank,Percent,16.0,1.0
Finland,Total,2005-2011,UN_World Bank,Percent,24.0,2.0
Gabon,Total,2005-2011,UN_World Bank,Percent,16.0,1.0
Gambia,Total,2005-2011,UN_World Bank,Percent,13.0,2.0
Georgia,Total,2005-2011,UN_World Bank,Percent,16.0,1.0
Germany,Total,2005-2011,UN_World Bank,Percent,22.0,2.0
Ghana,Total,2005-2011,UN_World Bank,Percent,15.0,1.0
Greece,Total,2005-2011,UN_World Bank,Percent,19.0,2.0
Guatemala,Total,2005-2011,UN_World Bank,Percent,10.0,1.0
Guinea,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Guinea-Bissau,Total,2005-2011,UN_World Bank,Percent,19.0,2.0
Haiti,Total,2005-2011,UN_World Bank,Percent,9.0,2.0
