Country or Area,Subgroup,Year,Source,Unit,Proportion of population 15-19 year-olds who use at least one type of information media at least once a week,Proportion of population 15-19 year-olds who use at least one type of information media at least once a week Footnotes
Albania,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
Albania,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,1.0
Armenia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,92.0,1.0
Armenia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,94.0,1.0
Azerbaijan,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,95.0,1.0
Azerbaijan,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,1.0
Bangladesh,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,63.0,2.0
Benin,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,64.0,1.0
Benin,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,83.0,1.0
Bolivia (Plurinational State of),Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,1.0
Bolivia (Plurinational State of),Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,100.0,1.0
Burkina Faso,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,55.0,1.0
Burkina Faso,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,61.0,1.0
Burundi,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,69.0,1.0
Burundi,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,83.0,1.0
Cambodia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,76.0,1.0
Cambodia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,73.0,1.0
Cameroon,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,61.0,1.0
Cameroon,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,77.0,1.0
Cape Verde,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Cape Verde,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Chad,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,24.0,1.0
Chad,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,55.0,1.0
Congo,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,63.0,1.0
Congo,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,75.0,1.0
Côte d'Ivoire,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,75.0,1.0
Côte d'Ivoire,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,86.0,1.0
Democratic Republic of the Congo,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,43.0,1.0
Democratic Republic of the Congo,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,55.0,1.0
Dominican Republic,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,98.0,1.0
Dominican Republic,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,98.0,1.0
East Asia and Pacific,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,85.0,3.0
Eastern and Southern Africa,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,64.0,4.0
Eastern and Southern Africa,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,71.0,4.0
Egypt,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,2.0
Eritrea,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,85.0,1.0
Ethiopia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,38.0,1.0
Ethiopia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,42.0,1.0
Gabon,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,83.0,5.0
Gabon,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,89.0,5.0
Ghana,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,85.0,1.0
Ghana,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,90.0,1.0
Guinea,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,55.0,1.0
Guinea,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,66.0,1.0
Guyana,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,94.0,1.0
Guyana,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,94.0,1.0
Haiti,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,83.0,1.0
Haiti,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Honduras,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,98.0,1.0
India,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,72.0,1.0
India,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,88.0,1.0
Indonesia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,79.0,2.0
Jordan,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,97.0,2.0
Kazakhstan,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
Kazakhstan,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,99.0,1.0
Kenya,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,81.0,1.0
Kenya,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,91.0,1.0
Kiribati,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,57.0,1.0
Kiribati,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,58.0,1.0
Least Developed Countries/Territories,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,61.0,4.0
Least Developed Countries/Territories,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,68.0,4.0
Lesotho,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,69.0,1.0
Lesotho,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,64.0,1.0
Liberia,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,63.0,1.0
Liberia,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,73.0,1.0
Madagascar,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,60.0,1.0
Madagascar,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,61.0,1.0
Malawi,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,65.0,1.0
Malawi,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,82.0,1.0
Maldives,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,100.0,1.0
Mali,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,79.0,1.0
Mali,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,81.0,1.0
Marshall Islands,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,85.0,1.0
Marshall Islands,Male 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,86.0,1.0
Mauritania,Female 15-19 yr,2002-2011,"UN_AIDS Indicator Surveys (AIS), Demographic and Health Surveys (DHS) and other national surveys",Percent,44.0,5.0
