Country or Area,Subgroup,Year,Source,Unit,Proportion of population below $1.25 (PPP) per day,Proportion of population below $1.25 (PPP) per day Footnotes
Albania,Total,2006-2011,UN_World Bank,Percent,1.0,1.0
Angola,Total,2006-2011,UN_World Bank,Percent,54.0,2.0
Argentina,Total,2006-2011,UN_World Bank,Percent,1.0,1.0
Armenia,Total,2006-2011,UN_World Bank,Percent,1.0,1.0
Azerbaijan,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Bangladesh,Total,2006-2011,UN_World Bank,Percent,43.0,1.0
Belarus,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Benin,Total,2006-2011,UN_World Bank,Percent,47.0,2.0
Bhutan,Total,2006-2011,UN_World Bank,Percent,10.0,1.0
Bolivia (Plurinational State of),Total,2006-2011,UN_World Bank,Percent,16.0,1.0
Bosnia and Herzegovina,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Brazil,Total,2006-2011,UN_World Bank,Percent,6.0,1.0
Bulgaria,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Burkina Faso,Total,2006-2011,UN_World Bank,Percent,45.0,1.0
Burundi,Total,2006-2011,UN_World Bank,Percent,81.0,1.0
Cambodia,Total,2006-2011,UN_World Bank,Percent,23.0,1.0
Cameroon,Total,2006-2011,UN_World Bank,Percent,10.0,1.0
Cape Verde,Total,2006-2011,UN_World Bank,Percent,21.0,2.0
CEE/CIS,Total,2006-2011,UN_World Bank,Percent,0.0,3.0
Central African Republic,Total,2006-2011,UN_World Bank,Percent,63.0,1.0
Chad,Total,2006-2011,UN_World Bank,Percent,62.0,2.0
Chile,Total,2006-2011,UN_World Bank,Percent,1.0,1.0
China,Total,2006-2011,UN_World Bank,Percent,13.0,1.0
Colombia,Total,2006-2011,UN_World Bank,Percent,8.0,1.0
Comoros,Total,2006-2011,UN_World Bank,Percent,46.0,2.0
Congo,Total,2006-2011,UN_World Bank,Percent,54.0,2.0
Costa Rica,Total,2006-2011,UN_World Bank,Percent,3.0,1.0
Côte d'Ivoire,Total,2006-2011,UN_World Bank,Percent,24.0,1.0
Croatia,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Democratic Republic of the Congo,Total,2006-2011,UN_World Bank,Percent,88.0,1.0
Djibouti,Total,2006-2011,UN_World Bank,Percent,19.0,2.0
Dominican Republic,Total,2006-2011,UN_World Bank,Percent,2.0,1.0
