Country or Area,Subgroup,Year,Source,Unit,Proportion of population who are currently married or in union,Proportion of population who are currently married or in union Footnotes
Afghanistan,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,20.0,1.0
Albania,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,8.0,1.0
Albania,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Algeria,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Armenia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,8.0,1.0
Armenia,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Azerbaijan,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Azerbaijan,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,0.0,1.0
Bangladesh,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,46.0,1.0
Belarus,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,4.0,1.0
Belize,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,15.0,1.0
Benin,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,22.0,1.0
Benin,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Bhutan,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,15.0,1.0
Bolivia (Plurinational State of),Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,13.0,1.0
Bolivia (Plurinational State of),Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,4.0,1.0
Bosnia and Herzegovina,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,1.0
Brazil,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,25.0,1.0
Burkina Faso,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,32.0,1.0
Burkina Faso,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Burundi,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,9.0,1.0
Burundi,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Cambodia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,10.0,1.0
Cambodia,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Cameroon,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,22.0,1.0
Cape Verde,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,8.0,1.0
Cape Verde,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
CEE/CIS,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,2.0
Central African Republic,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,55.0,1.0
Central African Republic,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,1.0
Chad,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,48.0,1.0
Colombia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,14.0,1.0
Congo,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Congo,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Costa Rica,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,1.0
Costa Rica,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,1.0
Côte d'Ivoire,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,20.0,1.0
Côte d'Ivoire,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Cuba,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,20.0,1.0
Democratic Republic of the Congo,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,25.0,1.0
Djibouti,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,4.0,1.0
Dominican Republic,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,17.0,1.0
East Asia and Pacific,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,3.0
Eastern and Southern Africa,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,2.0
Eastern and Southern Africa,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,2.0
Ecuador,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,16.0,1.0
Egypt,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,13.0,1.0
El Salvador,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,21.0,1.0
Eritrea,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,29.0,1.0
Ethiopia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Ethiopia,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Gabon,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,18.0,4.0
Gabon,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,4.0
Gambia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,24.0,1.0
Georgia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,1.0
Ghana,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,1.0
Ghana,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Guatemala,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,20.0,1.0
Guinea,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,36.0,1.0
Guinea,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,1.0
Guinea-Bissau,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Guyana,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,16.0,1.0
Guyana,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Haiti,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,17.0,1.0
Haiti,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Honduras,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,20.0,1.0
India,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,30.0,1.0
India,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Indonesia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,14.0,1.0
Iran (Islamic Republic of),Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,16.0,1.0
Iraq,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Jamaica,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Jordan,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,7.0,1.0
Kazakhstan,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Kazakhstan,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Kenya,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,12.0,1.0
Kenya,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,0.0,1.0
Kiribati,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,16.0,1.0
Kiribati,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,5.0,1.0
Kyrgyzstan,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,8.0,1.0
Latin America and Caribbean,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,18.0,2.0
Least Developed Countries/Territories,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,27.0,2.0
Lebanon,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,1.0
Lesotho,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,16.0,1.0
Lesotho,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,1.0,1.0
Liberia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,19.0,1.0
Liberia,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,3.0,1.0
Madagascar,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,34.0,1.0
Madagascar,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,11.0,1.0
Malawi,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,23.0,1.0
Malawi,Male 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,2.0,1.0
Malaysia,Female 15-19 yr,2002-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,6.0,1.0
