Country or Area,Subgroup,Year,Source,Unit,Proportion of women 20-24 year-olds who gave birth before age 18,Proportion of women 20-24 year-olds who gave birth before age 18 Footnotes
Afghanistan,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,26.0,1.0
Albania,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,3.0,1.0
Armenia,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,2.0,1.0
Azerbaijan,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,4.0,2.0
Bangladesh,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,40.0,1.0
Belarus,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,3.0,2.0
Belize,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,19.0,2.0
Benin,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,23.0,2.0
Bhutan,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,15.0,1.0
Bolivia (Plurinational State of),Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,20.0,1.0
Burkina Faso,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,28.0,1.0
Burundi,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,11.0,1.0
Cambodia,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,7.0,1.0
Cameroon,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,33.0,2.0
Cape Verde,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,22.0,2.0
Central African Republic,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,45.0,1.0
Chad,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,47.0,1.0
Colombia,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,20.0,1.0
Congo,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,29.0,2.0
Costa Rica,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,9.0,1.0
Côte d'Ivoire,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,29.0,2.0
Cuba,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,9.0,1.0
Democratic Republic of the Congo,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,25.0,1.0
Dominican Republic,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,25.0,1.0
East Asia and Pacific,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,8.0,3.0
Eastern and Southern Africa,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,26.0,4.0
Egypt,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,7.0,1.0
Eritrea,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,25.0,2.0
Ethiopia,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,22.0,1.0
Gabon,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,35.0,2.0
Gambia,Total,2007-2011,UN_Demographic and Health Surveys (DHS),Percent,23.0,1.0
