Country or Area,Subgroup,Year,Source,Unit,Ratio of girls to boys starting grade 1 who reach grade 5,Ratio of girls to boys starting grade 1 who reach grade 5 Footnotes
Albania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Algeria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,104.0,1.0
Angola,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,73.0,1.0
Argentina,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Austria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,1.0
Azerbaijan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,1.0
Bahamas,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Bangladesh,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,114.0,1.0
Belgium,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,1.0
Belize,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,1.0
Bhutan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,105.0,1.0
Bosnia and Herzegovina,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Botswana,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,104.0,1.0
Brunei Darussalam,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Bulgaria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Burkina Faso,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,109.0,1.0
Burundi,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,118.0,1.0
Cameroon,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
CEE/CIS,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,2.0
Central African Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Chad,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Colombia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Costa Rica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,1.0
Côte d'Ivoire,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Croatia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Cuba,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,1.0
Czech Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Democratic Republic of the Congo,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,88.0,1.0
Denmark,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Djibouti,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Dominica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,105.0,1.0
Eastern and Southern Africa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,2.0
El Salvador,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Equatorial Guinea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,108.0,1.0
Eritrea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Estonia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Ethiopia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Fiji,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,95.0,1.0
Finland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Gambia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Georgia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,105.0,1.0
Germany,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Ghana,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,91.0,1.0
Guinea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,76.0,1.0
Guyana,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Hungary,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Iran (Islamic Republic of),Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Israel,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,98.0,1.0
Italy,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Jamaica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,1.0
Japan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Kazakhstan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Kuwait,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Kyrgyzstan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Latin America and Caribbean,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,2.0
Latvia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Least Developed Countries/Territories,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,2.0
Lebanon,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,1.0
Lesotho,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,124.0,1.0
Liechtenstein,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,96.0,1.0
Lithuania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Madagascar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,105.0,1.0
Malawi,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,103.0,1.0
Malaysia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Mali,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,95.0,1.0
Malta,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,91.0,1.0
Marshall Islands,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,91.0,1.0
Mauritania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Mauritius,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Mexico,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,1.0
Mongolia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,102.0,1.0
Morocco,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Mozambique,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Myanmar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,107.0,1.0
Namibia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,107.0,1.0
Niger,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,94.0,1.0
Nigeria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,107.0,1.0
Norway,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Pakistan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,92.0,1.0
Panama,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Paraguay,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,106.0,1.0
Peru,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Philippines,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,111.0,1.0
Poland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Republic of Korea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Republic of Moldova,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,104.0,1.0
Romania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Saint Kitts and Nevis,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,90.0,1.0
Saint Lucia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Sao Tome and Principe,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,121.0,1.0
Senegal,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,105.0,1.0
Serbia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Singapore,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Slovakia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Slovenia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Spain,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
