Country or Area,Antenatal care coverage (ANC)
Afghanistan,48
Albania,97
Algeria,89
Angola,80
Antigua and Barbuda,100
Argentina,99
Armenia,99
Australia,98
Azerbaijan,77
Bahamas,98
Bahrain,100
Bangladesh,55
Barbados,100
Belarus,99
Belize,94
Benin,86
Bhutan,97
Bolivia (Plurinational State of),86
Bosnia and Herzegovina,99
Botswana,94
Brazil,98
Brunei Darussalam,99
Burkina Faso,94
Burundi,99
Cambodia,89
Cameroon,85
Canada,100
Cape Verde,98
Central African Republic,68
Chad,53
China,94
Colombia,97
Comoros,75
Congo,94
Cook Islands,100
Costa Rica,90
Côte d'Ivoire,91
Cuba,100
Cyprus,99
Democratic People's Republic of Korea,100
Democratic Republic of the Congo,89
Djibouti,92
Dominica,100
Dominican Republic,99
East Asia and Pacific,93
Eastern and Southern Africa,81
Ecuador,84
Egypt,74
El Salvador,94
Equatorial Guinea,86
Eritrea,70
Ethiopia,43
Fiji,100
Finland,100
France,100
Gabon,94
Gambia,98
Georgia,98
Germany,100
Ghana,96
Grenada,100
Guatemala,93
Guinea,88
Guinea-Bissau,93
Guyana,92
Haiti,85
Honduras,92
India,74
Indonesia,93
Iran (Islamic Republic of),98
Iraq,84
Ireland,100
Italy,99
Jamaica,99
Jordan,99
Kazakhstan,100
Kenya,92
Kiribati,88
Kuwait,100
Kyrgyzstan,97
Lao People's Democratic Republic,35
Latin America and Caribbean,96
Latvia,92
Least Developed Countries/Territories,74
Lebanon,96
Lesotho,92
Liberia,79
Libya,93
Lithuania,100
Madagascar,86
Malawi,95
Malaysia,91
Maldives,99
Mali,70
Malta,100
Marshall Islands,81
Mauritania,75
Mexico,96
Micronesia (Federated States of),80
Middle East and North Africa,77
Mongolia,99
Montenegro,97
Morocco,77
Mozambique,92
Myanmar,83
Namibia,95
Nauru,95
Nepal,58
Nicaragua,90
Niger,46
Nigeria,58
Niue,100
Oman,99
Pakistan,61
Palau,90
Panama,96
Papua New Guinea,79
Paraguay,96
Peru,95
Philippines,91
Portugal,100
Qatar,100
Republic of Moldova,98
Romania,94
Rwanda,98
Saint Kitts and Nevis,100
Saint Lucia,99
Saint Vincent and the Grenadines,100
Samoa,93
Sao Tome and Principe,98
Saudi Arabia,97
Senegal,93
Serbia,99
Sierra Leone,93
Slovakia,97
Slovenia,100
Solomon Islands,74
Somalia,26
South Africa,97
South Asia,70
South Sudan,40
Sri Lanka,99
State of Palestine,99
Sub-Saharan Africa,77
Sudan,56
Suriname,90
Swaziland,97
Sweden,100
Syrian Arab Republic,88
Tajikistan,89
Thailand,99
The former Yugoslav Republic of Macedonia,99
Timor-Leste,84
Togo,72
Tonga,98
Trinidad and Tobago,96
Tunisia,96
Turkey,92
Turkmenistan,99
Tuvalu,97
Uganda,93
Ukraine,99
United Arab Emirates,100
United Republic of Tanzania,88
Uruguay,96
Uzbekistan,99
Vanuatu,84
Venezuela (Bolivarian Republic of),94
Viet Nam,94
Western and Central Africa,74
World,81
Yemen,47
Zambia,94
Zimbabwe,90
