Country or Area,Antenatal care coverage for at least four visits
Afghanistan,15
Albania,67
Argentina,89
Armenia,93
Australia,92
Azerbaijan,45
Bangladesh,26
Benin,61
Bhutan,77
Bolivia (Plurinational State of),72
Botswana,73
Brazil,91
Burkina Faso,34
Burundi,33
Cambodia,59
Canada,99
Cape Verde,72
Central African Republic,38
Chad,23
Colombia,89
Costa Rica,86
Cuba,100
Democratic People's Republic of Korea,94
Democratic Republic of the Congo,45
Dominican Republic,95
East Asia and Pacific,77
Eastern and Southern Africa,44
Ecuador,58
Egypt,66
El Salvador,78
Eritrea,41
Ethiopia,19
Gabon,63
Gambia,72
Georgia,90
Ghana,87
Guinea,50
Guinea-Bissau,70
Guyana,79
Haiti,54
Honduras,81
India,37
Indonesia,82
Iran (Islamic Republic of),94
Italy,68
Jamaica,87
Jordan,94
Kenya,47
Kiribati,71
Latin America and Caribbean,89
Least Developed Countries/Territories,38
Lesotho,70
Liberia,66
Madagascar,49
Malawi,46
Maldives,85
Mali,35
Marshall Islands,77
Mauritania,16
Mexico,86
Namibia,70
Nauru,40
Nepal,50
Nicaragua,78
Niger,15
Nigeria,45
Oman,96
Pakistan,28
Palau,81
Papua New Guinea,55
Paraguay,91
Peru,94
Philippines,78
Republic of Moldova,89
Romania,76
Rwanda,35
Samoa,58
Sao Tome and Principe,72
Senegal,50
Serbia,94
Sierra Leone,75
Solomon Islands,65
Somalia,6
South Africa,87
South Asia,35
South Sudan,17
Sri Lanka,93
Sub-Saharan Africa,46
Sudan,47
Swaziland,77
Syrian Arab Republic,64
Tajikistan,49
Thailand,80
The former Yugoslav Republic of Macedonia,94
Timor-Leste,55
Togo,55
Tunisia,68
Turkey,74
Turkmenistan,83
Tuvalu,67
Uganda,48
Ukraine,75
United Republic of Tanzania,43
Uruguay,90
Viet Nam,60
Western and Central Africa,47
World,50
Yemen,14
Zambia,60
Zimbabwe,65
