Country or Area,Year,Average annual rate of reduction of under-five mortality rate
Afghanistan,2000-2011,2.7
Afghanistan,1990-2011,3.1
Afghanistan,1990-2000,3.4
Afghanistan,1970-1990,2.4
Albania,2000-2011,5.5
Albania,1990-2011,5.0
Albania,1990-2000,4.5
Algeria,2000-2011,3.9
Algeria,1990-2011,3.8
Algeria,1990-2000,3.6
Algeria,1970-1990,5.5
Andorra,2000-2011,3.8
Andorra,1990-2011,4.4
Andorra,1990-2000,5.1
Angola,2000-2011,2.1
Angola,1990-2011,2.1
Angola,1990-2000,2.0
Antigua and Barbuda,2000-2011,6.1
Antigua and Barbuda,1990-2011,6.0
Antigua and Barbuda,1990-2000,5.9
Argentina,2000-2011,3.3
Argentina,1990-2011,3.2
Argentina,1990-2000,3.1
Argentina,1970-1990,3.7
Armenia,2000-2011,4.8
Armenia,1990-2011,4.7
Armenia,1990-2000,4.6
Australia,2000-2011,2.9
Australia,1990-2011,3.4
Australia,1990-2000,3.8
Australia,1970-1990,4.2
Austria,2000-2011,2.6
Austria,1990-2011,3.8
Austria,1990-2000,5.2
Austria,1970-1990,5.6
Azerbaijan,2000-2011,3.9
Azerbaijan,1990-2011,3.6
Azerbaijan,1990-2000,3.2
Bahamas,2000-2011,0.4
Bahamas,1990-2011,1.4
Bahamas,1990-2000,2.6
Bahamas,1970-1990,1.8
Bahrain,2000-2011,2.0
Bahrain,1990-2011,3.4
Bahrain,1990-2000,5.0
Bahrain,1970-1990,6.9
Bangladesh,2000-2011,5.5
Bangladesh,1990-2011,5.3
Bangladesh,1990-2000,5.0
Bangladesh,1970-1990,2.4
Barbados,2000-2011,-1.2
Barbados,1990-2011,-0.5
Barbados,1990-2000,0.4
Barbados,1970-1990,4.8
Belarus,2000-2011,8.1
Belarus,1990-2011,5.3
Belarus,1990-2000,2.3
Belgium,2000-2011,2.7
Belgium,1990-2011,4.0
Belgium,1990-2000,5.4
Belgium,1970-1990,4.3
Belize,2000-2011,4.0
Belize,1990-2011,4.5
Belize,1990-2000,5.1
Benin,2000-2011,2.5
Benin,1990-2011,2.4
Benin,1990-2000,2.4
Benin,1970-1990,1.9
Bhutan,2000-2011,4.6
Bhutan,1990-2011,4.5
Bhutan,1990-2000,4.4
Bhutan,1970-1990,3.6
Bolivia (Plurinational State of),2000-2011,4.3
Bolivia (Plurinational State of),1990-2011,4.1
Bolivia (Plurinational State of),1990-2000,3.9
Bolivia (Plurinational State of),1970-1990,3.2
Bosnia and Herzegovina,2000-2011,2.0
Bosnia and Herzegovina,1990-2011,4.3
Bosnia and Herzegovina,1990-2000,6.7
Botswana,2000-2011,10.4
Botswana,1990-2011,3.4
Botswana,1990-2000,-4.3
Botswana,1970-1990,4.5
Brazil,2000-2011,7.5
Brazil,1990-2011,6.3
Brazil,1990-2000,4.9
Brazil,1970-1990,4.0
Brunei Darussalam,2000-2011,2.6
Brunei Darussalam,1990-2011,2.6
Brunei Darussalam,1990-2000,2.5
Bulgaria,2000-2011,4.9
Bulgaria,1990-2011,2.9
Bulgaria,1990-2000,0.7
Bulgaria,1970-1990,2.9
Burkina Faso,2000-2011,2.0
Burkina Faso,1990-2011,1.7
Burkina Faso,1990-2000,1.4
Burkina Faso,1970-1990,1.7
Burundi,2000-2011,1.5
Burundi,1990-2011,1.3
Burundi,1990-2000,1.0
Burundi,1970-1990,1.1
Cambodia,2000-2011,7.9
Cambodia,1990-2011,4.8
Cambodia,1990-2000,1.4
Cameroon,2000-2011,0.8
Cameroon,1990-2011,0.6
Cameroon,1990-2000,0.4
Cameroon,1970-1990,1.8
Canada,2000-2011,0.9
Canada,1990-2011,1.9
Canada,1990-2000,2.9
Canada,1970-1990,4.9
Cape Verde,2000-2011,5.5
Cape Verde,1990-2011,4.8
Cape Verde,1990-2000,4.0
Cape Verde,1970-1990,5.1
CEE/CIS,2000-2011,4.6
CEE/CIS,1990-2011,3.9
CEE/CIS,1990-2000,3.2
CEE/CIS,1970-1990,3.1
Central African Republic,2000-2011,0.5
Central African Republic,1990-2011,0.2
Central African Republic,1990-2000,-0.2
Central African Republic,1970-1990,1.5
Chad,2000-2011,1.0
Chad,1990-2011,1.0
Chad,1990-2000,1.0
Chad,1970-1990,1.1
Chile,2000-2011,2.0
Chile,1990-2011,3.6
Chile,1990-2000,5.5
Chile,1970-1990,7.4
China,2000-2011,7.9
China,1990-2011,5.8
China,1990-2000,3.3
China,1970-1990,4.3
Colombia,2000-2011,3.1
Colombia,1990-2011,3.2
Colombia,1990-2000,3.2
Colombia,1970-1990,5.6
Comoros,2000-2011,2.1
Comoros,1990-2011,2.0
Comoros,1990-2000,2.0
Comoros,1970-1990,2.9
Congo,2000-2011,0.9
Congo,1990-2011,0.9
Congo,1990-2000,0.9
Congo,1970-1990,1.2
Cook Islands,2000-2011,5.3
Cook Islands,1990-2011,3.3
Cook Islands,1990-2000,1.1
Cook Islands,1970-1990,5.8
Costa Rica,2000-2011,2.2
Costa Rica,1990-2011,2.5
Costa Rica,1990-2000,2.9
Costa Rica,1970-1990,7.1
Côte d'Ivoire,2000-2011,1.7
Côte d'Ivoire,1990-2011,1.3
Côte d'Ivoire,1990-2000,0.9
Côte d'Ivoire,1970-1990,2.2
Croatia,2000-2011,4.5
Croatia,1990-2011,4.4
Croatia,1990-2000,4.3
Cuba,2000-2011,3.5
Cuba,1990-2011,4.0
Cuba,1990-2000,4.5
Cuba,1970-1990,5.6
Cyprus,2000-2011,6.7
Cyprus,1990-2011,6.0
Cyprus,1990-2000,5.3
Czech Republic,2000-2011,4.9
Czech Republic,1990-2011,6.2
Czech Republic,1990-2000,7.6
Democratic People's Republic of Korea,2000-2011,5.0
Democratic People's Republic of Korea,1990-2011,1.4
Democratic People's Republic of Korea,1990-2000,-2.5
Democratic Republic of the Congo,2000-2011,0.7
Democratic Republic of the Congo,1990-2011,0.4
Democratic Republic of the Congo,1990-2000,0.0
Democratic Republic of the Congo,1970-1990,1.5
Denmark,2000-2011,3.8
Denmark,1990-2011,4.1
Denmark,1990-2000,4.4
Denmark,1970-1990,3.2
Djibouti,2000-2011,1.5
Djibouti,1990-2011,1.5
Djibouti,1990-2000,1.4
Dominica,2000-2011,2.1
Dominica,1990-2011,1.8
Dominica,1990-2000,1.6
Dominica,1970-1990,5.7
Dominican Republic,2000-2011,4.0
Dominican Republic,1990-2011,4.1
Dominican Republic,1990-2000,4.1
Dominican Republic,1970-1990,3.7
East Asia and Pacific,2000-2011,5.9
East Asia and Pacific,1990-2011,4.7
East Asia and Pacific,1990-2000,3.4
East Asia and Pacific,1970-1990,3.9
Eastern and Southern Africa,2000-2011,4.3
