Country or Area,Subgroup,Birth registration
Afghanistan,Rural,33.0
Afghanistan,Urban,60.0
Afghanistan,Total,37.0
Afghanistan,Ratio of urban to rural,1.8
Afghanistan,Poorest 20%,31.0
Afghanistan,Ratio of richest to poorest,1.9
Afghanistan,Richest 20%,58.0
Albania,Rural,98.0
Albania,Urban,99.0
Albania,Total,99.0
Albania,Ratio of urban to rural,1.0
Albania,Poorest 20%,98.0
Albania,Ratio of richest to poorest,1.0
Albania,Richest 20%,99.0
Algeria,Rural,99.0
Algeria,Urban,99.0
Algeria,Total,99.0
Algeria,Ratio of urban to rural,1.0
Angola,Rural,19.0
Angola,Urban,34.0
Angola,Total,29.0
Angola,Ratio of urban to rural,1.7
Angola,Poorest 20%,17.0
Angola,Ratio of richest to poorest,2.8
Angola,Richest 20%,48.0
Argentina,Total,91.0
Armenia,Rural,100.0
Armenia,Urban,99.0
Armenia,Total,100.0
Armenia,Ratio of urban to rural,1.0
Armenia,Poorest 20%,100.0
Armenia,Ratio of richest to poorest,1.0
Armenia,Richest 20%,100.0
Azerbaijan,Rural,92.0
Azerbaijan,Urban,96.0
Azerbaijan,Total,94.0
Azerbaijan,Ratio of urban to rural,1.0
Azerbaijan,Poorest 20%,92.0
Azerbaijan,Ratio of richest to poorest,1.1
Azerbaijan,Richest 20%,97.0
Bangladesh,Rural,9.0
Bangladesh,Urban,13.0
Bangladesh,Total,10.0
Bangladesh,Ratio of urban to rural,1.5
Bangladesh,Poorest 20%,6.0
Bangladesh,Ratio of richest to poorest,3.0
Bangladesh,Richest 20%,19.0
Belize,Rural,96.0
Belize,Urban,95.0
Belize,Total,95.0
Belize,Ratio of urban to rural,1.0
Belize,Poorest 20%,95.0
Belize,Ratio of richest to poorest,1.0
Belize,Richest 20%,97.0
Benin,Rural,56.0
Benin,Urban,68.0
Benin,Total,60.0
Benin,Ratio of urban to rural,1.2
Benin,Poorest 20%,46.0
Benin,Ratio of richest to poorest,1.6
Benin,Richest 20%,75.0
Bhutan,Rural,100.0
Bhutan,Urban,100.0
Bhutan,Total,100.0
Bhutan,Ratio of urban to rural,1.0
Bhutan,Poorest 20%,100.0
Bhutan,Ratio of richest to poorest,1.0
Bhutan,Richest 20%,100.0
Bolivia (Plurinational State of),Rural,72.0
Bolivia (Plurinational State of),Urban,79.0
Bolivia (Plurinational State of),Total,76.0
Bolivia (Plurinational State of),Ratio of urban to rural,1.1
Bolivia (Plurinational State of),Poorest 20%,68.0
Bolivia (Plurinational State of),Ratio of richest to poorest,1.3
Bolivia (Plurinational State of),Richest 20%,90.0
Bosnia and Herzegovina,Rural,100.0
Bosnia and Herzegovina,Urban,99.0
