Country or Area,Subgroup,Child discipline
Afghanistan,Total,74
Afghanistan,Male,75
Afghanistan,Female,74
Albania,Total,75
Albania,Male,78
Albania,Female,71
Algeria,Total,88
Algeria,Male,89
Algeria,Female,87
Armenia,Total,70
Armenia,Male,72
Armenia,Female,67
Azerbaijan,Total,75
Azerbaijan,Male,79
Azerbaijan,Female,71
Belarus,Total,84
Belarus,Male,87
Belarus,Female,80
Belize,Total,71
Belize,Male,71
Belize,Female,70
Bosnia and Herzegovina,Total,38
Bosnia and Herzegovina,Male,40
Bosnia and Herzegovina,Female,36
Burkina Faso,Total,83
Burkina Faso,Male,84
Burkina Faso,Female,82
Cameroon,Total,93
Cameroon,Male,93
Cameroon,Female,93
Central African Republic,Total,92
Central African Republic,Male,92
Central African Republic,Female,92
Chad,Total,84
Chad,Male,85
Chad,Female,84
Côte d'Ivoire,Total,91
Côte d'Ivoire,Male,91
Côte d'Ivoire,Female,91
Democratic Republic of the Congo,Total,92
Democratic Republic of the Congo,Male,92
Democratic Republic of the Congo,Female,91
Djibouti,Total,72
Djibouti,Male,73
Djibouti,Female,71
Dominican Republic,Total,67
Dominican Republic,Male,69
Dominican Republic,Female,65
Egypt,Total,92
Fiji,Total,72
Gambia,Total,90
Gambia,Male,90
Gambia,Female,91
Georgia,Total,67
Georgia,Male,70
Georgia,Female,63
Ghana,Total,94
Ghana,Male,94
Ghana,Female,94
Guinea-Bissau,Total,82
Guinea-Bissau,Male,82
Guinea-Bissau,Female,81
Guyana,Total,76
Guyana,Male,79
Guyana,Female,74
Iraq,Total,86
Iraq,Male,87
Iraq,Female,84
Jamaica,Total,89
Jamaica,Male,90
Jamaica,Female,87
Kazakhstan,Total,49
Kazakhstan,Male,54
Kazakhstan,Female,45
Kiribati,Total,81
Kyrgyzstan,Total,54
Kyrgyzstan,Male,58
Kyrgyzstan,Female,49
Lao People's Democratic Republic,Total,74
Lao People's Democratic Republic,Male,75
Lao People's Democratic Republic,Female,72
Lebanon,Total,82
Lebanon,Male,82
Lebanon,Female,82
Liberia,Total,94
Liberia,Male,94
Liberia,Female,94
Middle East and North Africa,Total,90
Mongolia,Total,46
Mongolia,Male,48
Mongolia,Female,43
Montenegro,Total,63
Montenegro,Male,64
Montenegro,Female,61
Morocco,Total,91
Morocco,Male,92
Morocco,Female,90
Serbia,Total,67
Serbia,Male,70
Serbia,Female,64
Sierra Leone,Total,82
Sierra Leone,Male,81
Sierra Leone,Female,82
Solomon Islands,Total,72
State of Palestine,Total,95
Suriname,Total,86
Suriname,Male,87
Suriname,Female,85
Swaziland,Total,89
Swaziland,Male,90
Swaziland,Female,88
Syrian Arab Republic,Total,89
Syrian Arab Republic,Male,90
Syrian Arab Republic,Female,88
Tajikistan,Total,78
Tajikistan,Male,80
Tajikistan,Female,75
The former Yugoslav Republic of Macedonia,Total,69
The former Yugoslav Republic of Macedonia,Male,71
The former Yugoslav Republic of Macedonia,Female,67
Togo,Total,93
Togo,Male,94
Togo,Female,93
Trinidad and Tobago,Total,77
Trinidad and Tobago,Male,78
Trinidad and Tobago,Female,77
Ukraine,Total,70
Ukraine,Male,76
Ukraine,Female,65
Vanuatu,Total,78
Viet Nam,Total,74
Viet Nam,Male,76
Viet Nam,Female,71
Yemen,Total,95
Yemen,Male,95
Yemen,Female,95
